trial,state,value,param_hidden_layer_sizes,param_activation,param_alpha,param_learning_rate_init,param_max_iter
0,COMPLETE,0.6890540920370433,64_32,relu,1.951722464144947e-05,0.005399484409787433,1000
1,COMPLETE,1.0664934443957528,64,tanh,0.00420515645091387,0.0007309539835912913,1000
2,COMPLETE,0.7643307315592469,128_64_32,tanh,0.009163741808778781,0.0001238513729886094,500
3,COMPLETE,0.7871621500120093,64_32,tanh,0.0015876781526923994,0.00017541893487450815,1500
4,COMPLETE,0.6902674523140947,64_32,relu,0.7045683638454499,0.0035503048581283078,500
5,PRUNED,2.144792639578024,64,tanh,0.00022737628102536837,0.004544383960336014,1500
6,COMPLETE,0.727587283455236,128_64_32,relu,1.0656401760606452e-05,0.004274869455295219,1500
7,PRUNED,0.8305886772040693,128_64_32,relu,2.078699690689778e-05,0.0004187594718900631,1000
8,PRUNED,0.8716503675053766,64,relu,0.07158728631500196,0.0009718319944817398,500
9,COMPLETE,0.7177830997855384,128_64,tanh,0.00017638479543546866,0.000661859559718348,500
10,COMPLETE,0.7035167755925743,64_32,relu,0.0001412876987310872,0.008095499356914079,1000
11,COMPLETE,0.6734033865590983,64_32,relu,0.6690450568141459,0.0024580508647168717,500
12,COMPLETE,0.6778417017120926,64_32,relu,0.5809925326196691,0.0020916272150147464,1000
13,PRUNED,0.7029747042859829,64_32,relu,0.9787219388242973,0.0017085065878018307,500
14,PRUNED,0.7326020290087716,128_64,relu,0.1302565912082958,0.002020051308295781,1000
15,COMPLETE,0.6733554475452684,64_32,relu,0.03629852778670353,0.002004617910720449,500
16,COMPLETE,0.6850220106084067,64_32,relu,0.05530612504523706,0.001571422636222643,500
17,PRUNED,0.7614890170011553,64_32,relu,0.03147718570880424,0.00028143379947234075,500
18,COMPLETE,0.7467837538758441,128_64,relu,0.2419472181035139,0.008976731415572118,500
19,COMPLETE,0.6795641789202078,64_32,relu,0.020215941147220955,0.0028923947271358532,500
20,PRUNED,0.7437208871119015,64_32,relu,0.24550840234887206,0.0010904784357084276,500
21,COMPLETE,0.6672186946155121,64_32,relu,0.5054023285044584,0.0022114189063235485,1000
22,PRUNED,0.7165673035047002,64_32,relu,0.217046414157012,0.0027412183132751273,1000
23,PRUNED,0.7427512217935719,64_32,relu,0.013860895651196177,0.0010976131124964023,1500
24,PRUNED,0.7249102527029719,64_32,relu,0.08911131278029519,0.001438786978992812,500
25,COMPLETE,0.7003948160925589,64_32,relu,0.36880649119453224,0.006168191635660836,1000
26,PRUNED,2.171361446515346,64,tanh,0.0013968169831582678,0.002818325982789846,500
27,PRUNED,0.7054980767567713,128_64_32,relu,0.03298443191524255,0.0005251119407575215,500
28,PRUNED,0.7335576264435137,128_64,relu,0.13069839320861884,0.002265432646576155,1500
29,COMPLETE,0.6865406142908291,64_32,relu,0.005157818374124241,0.006579846623469361,1000
30,COMPLETE,0.6933036079869679,64_32,relu,0.4560171178258221,0.004212513904813346,1000
31,PRUNED,0.7206186768442271,64_32,relu,0.95706911613751,0.0020776842557605995,1000
32,PRUNED,0.7378955471532753,64_32,relu,0.3410561563234837,0.0013241196404100077,1000
33,PRUNED,0.7367857692184733,64_32,relu,0.5839276330804132,0.0007868171777345908,1000
34,COMPLETE,0.6448618607181529,64_32,tanh,0.14155296256691935,0.0030855830275633503,1000
35,PRUNED,2.1661723491226637,64,tanh,0.1305126859450607,0.0034394750264802407,1000
36,COMPLETE,0.6334240267641464,64_32,tanh,0.05226206173438013,0.003296125206196739,500
37,COMPLETE,0.6339278794824637,128_64_32,tanh,0.005815539775016161,0.004937348386521818,1500
38,COMPLETE,0.6469884814790884,128_64_32,tanh,0.001796495397547304,0.005418196303943811,1500
39,COMPLETE,0.6469580210938386,128_64_32,tanh,0.001503515743871605,0.005430440007941459,1500
40,COMPLETE,0.6526172111634689,128_64_32,tanh,0.0006148967243785891,0.006943551558016135,1500
41,COMPLETE,0.6470191951252948,128_64_32,tanh,0.0025155924644379344,0.0053930447784091545,1500
42,COMPLETE,0.6442625232059684,128_64_32,tanh,0.0006295856714776395,0.0038068360395762126,1500
43,COMPLETE,0.6438715207964709,128_64_32,tanh,0.000588669606744977,0.003628024237447958,1500
44,COMPLETE,0.6432775457986969,128_64_32,tanh,0.0004688361676613214,0.003751651836652427,1500
45,PRUNED,0.7052498425318228,128_64_32,tanh,0.0004371204515433366,0.0041642041127536574,1500
46,PRUNED,0.6956012605206023,128_64_32,tanh,0.0001224856272839721,0.009655550019906249,1500
47,COMPLETE,0.6431880124196296,128_64_32,tanh,5.312214536222679e-05,0.0037443298571930316,1500
48,COMPLETE,0.6355195635523696,128_64_32,tanh,4.229867779847826e-05,0.004816770367033257,1500
49,PRUNED,0.7269138545582474,128_64_32,tanh,5.1085431218511775e-05,0.00786153121981678,1500
