feature,importance
d_mean_c,0.06122258983875402
atwt_geometric_mean_all,0.05963452455143041
r_mean_l,0.05510080663345611
chi_range_x_r_avg,0.049856553261817954
Vs_variance_c_l,0.04923861826611959
entropy_c_l,0.04847526553970892
mp_variance_c_l,0.047199310678008886
ir_mean_square_all,0.044205110150757884
rₐₗₗ (pm),0.03983337269219974
χ⁺(excl Li⁺) - χ⁻,0.03948214369006659
field_x_r_diff,0.03814104711106207
χₐₗₗ,0.0376749634914049
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.03183018396316754
r⁺(incl Li⁺) - r⁻,0.030909146817409684
s_mean_square_c,0.030653062198654615
r⁺(incl Li⁺) / r⁻,0.027593654301965802
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.02745628524829509
nₕₒₛₜ cₐₜᵢₒₙ,0.027187812378157056
r⁺(incl Li⁺) (pm),0.026441239296768226
n_Li,0.02501396170945078
r⁺(excl Li⁺) - r⁻,0.02378641832497397
χ⁺(excl Li⁺),0.022093580883423145
χ⁺(incl Li⁺) - χ⁻,0.022084989145549606
n_Li × r⁻ (pm),0.021311410478146144
r_ratio_x_chi_diff,0.021159486710449572
ρ⁺(excl Li⁺) (C m⁻³),0.0206051393948888
ρ⁺(incl Li⁺) (C m⁻³),0.01840372099605106
ρ⁺(incl Li⁺) / ρ⁻,0.013521734900093561
r⁺(excl Li⁺) (pm),0.01296478862715007
log_rho_ratio,0.010983665642869823
ρ⁻ (C m⁻³),0.005707433332585018
r⁻ (pm),0.004969586377448906
χ⁻,0.0034567918513742635
χₘₐₓ - χₘᵢₙ,0.0018016015163401218
