feature,importance
χ⁺(excl Li⁺) - χ⁻,0.05284354005591481
r⁺(excl Li⁺) - r⁻,0.052022058428281955
d_mean_c,0.051814465094198035
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.04812482999451009
atwt_geometric_mean_all,0.04589122489719777
r⁺(incl Li⁺) - r⁻,0.03931333525342346
ir_mean_square_all,0.03777250193694095
mp_variance_c_l,0.036395978996134226
r_mean_l,0.03565105440210308
χₐₗₗ,0.03536389495809211
log_rho_ratio,0.03388227807381454
ρ⁺(incl Li⁺) / ρ⁻,0.03266129951984168
field_x_r_diff,0.03263604587915282
rₐₗₗ (pm),0.032093171485540514
χ⁺(incl Li⁺) - χ⁻,0.03114402779160011
r⁺(excl Li⁺) (pm),0.031100850735620217
n_Li × r⁻ (pm),0.030298479324138462
ρ⁺(excl Li⁺) (C m⁻³),0.02840880897407092
χ⁺(excl Li⁺),0.027677942100541718
chi_range_x_r_avg,0.02611815867616383
n_Li,0.025641953720749903
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.02477004535271446
ρ⁺(incl Li⁺) (C m⁻³),0.024078235122590566
nₕₒₛₜ cₐₜᵢₒₙ,0.022525782990915098
entropy_c_l,0.022501165928958806
r_ratio_x_chi_diff,0.02245645315762485
r⁺(incl Li⁺) / r⁻,0.022139396680914924
s_mean_square_c,0.021711786440591598
r⁺(incl Li⁺) (pm),0.01908446699240074
Vs_variance_c_l,0.0184589943669572
r⁻ (pm),0.012872475834842061
χ⁻,0.00825395718182585
χₘₐₓ - χₘᵢₙ,0.00767445199415469
ρ⁻ (C m⁻³),0.006616887657477863
