trial,state,value,param_max_features_type,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.5702860157941747,log2,700,10.0,20,9,
1,COMPLETE,0.5577424339987094,sqrt,400,10.0,10,8,
2,COMPLETE,0.5426614352397875,float,700,10.0,15,5,0.42787024763199866
3,COMPLETE,0.5746441247006796,log2,1000,30.0,16,10,
4,COMPLETE,0.5242688450417157,float,300,15.0,12,2,0.4530955012311517
5,PRUNED,0.6019115152818234,float,300,5.0,4,9,0.8633468615779945
6,COMPLETE,0.5496655139120149,sqrt,400,10.0,16,6,
7,COMPLETE,0.5381390406402089,sqrt,500,30.0,6,5,
8,PRUNED,0.6120229450579125,sqrt,400,5.0,18,6,
9,COMPLETE,0.5126450141550669,log2,200,10.0,6,2,
10,COMPLETE,0.510452089246734,log2,200,20.0,2,1,
11,COMPLETE,0.5104520892467341,log2,200,20.0,2,1,
12,COMPLETE,0.5104520892467341,log2,200,20.0,2,1,
13,COMPLETE,0.5200147581228501,log2,1000,20.0,2,3,
14,COMPLETE,0.5161458768805722,log2,600,20.0,8,1,
15,PRUNED,0.561359156713742,log2,200,7.0,5,3,
16,PRUNED,0.5505646367089796,log2,300,,8,4,
17,COMPLETE,0.5058950516886518,log2,800,20.0,2,1,
18,PRUNED,0.552063855642815,log2,800,20.0,12,3,
19,PRUNED,0.5651977333440272,float,900,15.0,4,7,0.9970262359174216
20,PRUNED,0.5589554461611762,log2,800,7.0,8,2,
21,COMPLETE,0.5071640288204494,log2,600,20.0,2,1,
22,COMPLETE,0.506083899550586,log2,700,20.0,4,1,
23,COMPLETE,0.507474565729576,log2,600,20.0,4,2,
24,PRUNED,0.5527767755329799,log2,700,,4,4,
25,COMPLETE,0.5095125239841451,log2,800,20.0,6,1,
26,PRUNED,0.5518217426698532,log2,600,20.0,3,4,
27,PRUNED,0.5532026111326054,log2,900,20.0,10,3,
28,PRUNED,0.5205330882684348,sqrt,500,20.0,7,2,
29,PRUNED,0.5647980914879576,float,700,,20,1,0.6658098030519365
30,PRUNED,0.5898394027091711,log2,700,5.0,3,2,
31,COMPLETE,0.507474565729576,log2,600,20.0,4,2,
32,COMPLETE,0.5071731387952828,log2,500,20.0,5,1,
33,COMPLETE,0.5071731387952828,log2,500,20.0,5,1,
34,PRUNED,0.5484295259622897,log2,900,30.0,3,3,
35,PRUNED,0.5474733592828195,log2,800,15.0,10,1,
36,PRUNED,0.5718973237054749,float,500,7.0,5,8,0.6631591974836992
37,PRUNED,0.6052299314805798,sqrt,700,20.0,7,10,
38,PRUNED,0.5580154226356082,log2,600,10.0,14,2,
39,PRUNED,0.5578577331625018,float,700,30.0,3,5,0.8549891443867176
40,PRUNED,0.5998711538403281,sqrt,400,5.0,5,1,
41,COMPLETE,0.5071731387952829,log2,500,20.0,5,1,
42,PRUNED,0.5305336185436605,log2,500,20.0,3,2,
43,PRUNED,0.5402914205089271,log2,400,20.0,6,1,
44,PRUNED,0.5305336185436605,log2,500,20.0,2,2,
45,PRUNED,0.5444587239478149,log2,700,20.0,7,1,
46,PRUNED,0.5935254353452901,log2,600,15.0,2,9,
47,PRUNED,0.5574144877013806,log2,400,20.0,9,3,
48,PRUNED,0.5644290443565637,sqrt,300,10.0,14,1,
49,PRUNED,0.5394765509256486,log2,600,20.0,5,2,
