ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,family,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff,ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
86o,La0.61Li0.18TiO3,2,La1.22Li0.36Ti2.0O6.0,0.000412,,,P4/mmm,123,3.8695,3.8695,7.778,90.0,90.0,90.0,perovskites,10.1016/s0167-2738(98)00070-8,1,D2 - 97,not available,,,,,,,97.0,,0.000412,exact,0.000412,1.0,-3.3851027839668655,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6529018789144048,3.44,1.3337430167597766,1.373291925465839,-2.1062569832402236,-2.0667080745341613,2.46,116.87258176757132,138.2,81.12830540037244,82.651966873706,-55.54803312629399,-57.07169459962755,0.5980605417779017,0.587035494937572,175722701914.1429,28978758058.690765,421662272621.6047,454901616407.51166,14.55073650042596,392683514562.91394,0.047019457664164835,0.05061997674048969,0.0,0.33611691022964507,0.6263048016701461,0.037578288100208766,18.0,-1.236447610622142,1.1628849761381326,5.193319415448851,287.5065511482254,-2.6834801280493323,14699.679821387148,8.273743016759775,91.99349240780913,85.73184357541899,0.6635141518578722,22769542453817.184,131668.31526561477,25.666448349309885
f4x,Li1.2Cr0.2Ti1.8(PO4)3,6,Li7.2Cr1.2Ti10.8P18.0O72.0,1.82e-05,,,R-3c,167,8.5189,8.5189,20.8643,90.0,90.0,120.0,nasicon,10.1149/1.2086597,1,D2 - 134,not available,,,,,,,134.0,,1.82e-05,exact,1.82e-05,1.0,-4.739928612014925,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.864285714285714,3.44,1.7499999999999998,1.9348,-1.6900000000000002,-1.5051999999999999,2.46,105.03296703296704,138.2,40.83870967741935,34.440000000000005,-103.75999999999999,-97.36129032258063,0.24920405209840815,0.2955044115587508,6516793510941.982,28978758058.690765,19073854322974.16,23621734206385.855,658.2012343090696,19044875564915.47,0.16595081951258608,0.2022234606400512,0.0,0.2747252747252747,0.6593406593406593,0.06593406593406594,15.0,-0.49940245553428886,2.8183586923811976,9.112087912087912,258.3810989010989,-16.157185917835072,13344.520879120877,0.7419354838709677,79.43529411764706,39.322580645161295,0.8030448563658357,53427160090789.266,653556.9384000001,19.062303734569632
kh3,Li6.5La3Zr1.5Ta0.5O12 ,8,Li52.0La24.0Zr12.0Ta4.0O96.0,0.00092,,,Ia-3d ,230,12.945,12.945,12.945,90.0,90.0,90.0,unknown,10.1039/c2jm31413d,0,D2 - 205; D1 - 804,done,,,,Yes,10.2109/jcersj2.19094,25446.0,205.0,668.0,0.00092,exact,0.00092,1.0,-3.036212172654445,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.2848936170212766,3.44,1.0795652173913042,1.209,-2.3604347826086958,-2.231,2.46,110.87446808510637,138.2,82.36086956521739,101.67999999999999,-36.519999999999996,-55.839130434782604,0.7357452966714906,0.5959541936701692,90854414090.25603,28978758058.690765,155420316036.23718,195805475496.9441,5.363249719724495,126441557977.54642,0.02479153915291926,0.03776128079245503,0.0,0.2127659574468085,0.5106382978723404,0.2765957446808511,0.0,-1.4067110075805864,0.7294280187369824,38.225531914893615,272.75119148936164,-1.3843379884388782,13309.455673758863,8.043478260869566,91.02941176470588,61.95652173913044,0.8979457248567797,323201429960.7137,461712.36000000004,19.691566200277112
o9h,Li0.07Na0.43La0.5Nb2O6,1,Li0.07Na0.43La0.5Nb2.0O6.0,1.23e-05,,,Pmmm,47,3.923,3.9311,7.85,90.0,90.0,90.0,perovskites,10.1134/s002016851103006x,1,D2 - 60,done,180633-ICSD,,partial occupancy corrected,,,180633.0,60.0,,1.23e-05,exact,1.23e-05,1.0,-4.910094888560602,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Na"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Nb"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.7620555555555555,3.44,1.4061666666666668,1.4163481228668946,-2.033833333333333,-2.0236518771331053,2.51,118.85362433862434,138.2,80.16087301587301,80.46335121079149,-57.7366487892085,-58.03912698412698,0.5822239595571019,0.5800352606068959,189341903085.32553,28978758058.690765,510068193138.59503,519283188669.8537,17.60145110793059,481089435079.9043,0.058099762651735075,0.05913387403350451,0.0,0.32555555555555554,0.6666666666666666,0.007777777777777778,18.0,-1.1796950475309915,1.2455484736202984,1.0748888888888888,298.32259708994707,-3.37205950229169,15072.381548878808,12.833333333333332,89.36282194848825,81.79333333333334,0.8440080064374161,26740469232881.062,866333.9389355148,26.95967833591151
3sx,Li3.4Si0.4P0.6S4,6,Li20.4Si2.4P3.6S24.0,0.00421,,,P42/nmc ,137,8.644,8.644,12.504,90.0,90.0,90.0,lgps,10.1039/c4fd00143e,1,D2 - 105,not available,,,,,,,105.0,,0.00421,exact,0.00421,1.0,-2.3757179041643317,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.872142857142857,2.58,1.2286363636363635,2.074,-1.3513636363636365,-0.5060000000000002,1.6,117.72619047619047,184.0,57.477272727272734,23.400000000000002,-160.6,-126.52272727272727,0.12717391304347828,0.3123764822134388,3039045569280.478,12278644599.949677,5790651864444.596,25056061853776.402,471.60350780641767,5778373219844.646,0.06257404706602568,0.2249554367201426,0.0,0.11904761904761905,0.4761904761904762,0.40476190476190477,13.0,-0.42213421891843345,2.6735770267354035,74.47619047619048,188.36190476190475,-7.917039091285567,18038.60119047619,0.0,105.0,15.136363636363637,0.6730116670092565,234820391416.1032,450258.74159999995,17.108354240948575
hx7,Li2(OH)Br,1,Li2.0O1.0H1.0Br1.0,1.2e-06,,,Pm-3m,221,4.056,4.056,4.056,90.0,90.0,90.0,antiperovskite,10.1002/ange.201604554,1,D2 - 184,done,,,,Yes,10.1016/0022-5088(81)90132-6,200874.0,184.0,,1.2e-06,exact,1.2e-06,1.0,-5.920818753952375,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""H"", ""value"": 1.0}]",2.112,3.2,0.98,,-2.22,,2.46,93.84,167.1,67.5,,,-99.6,,0.40394973070017953,56553539381.64949,17029039695.353384,124354808758.77036,,7.302514468429029,107325769063.41698,0.014814814814814815,,0.2,0.0,0.2,0.4,1.0,-0.8967684021543987,0.8634724261115462,66.84,230.84640000000002,-1.4755555555555555,13325.548,0.0,69.66666666666666,9.0,0.0,0.0,0.0,9.090550782458326
mg4,Li1.3Al0.3Ti1.7(PO4)3,6,Li7.8Al1.8Ti10.2P18.0O72.0,0.0062,,,R-3c,167,8.4941,8.4941,20.8586,90.0,90.0,120.0,nasicon,10.1016/j.ssi.2014.07.018,1,D2 - 145,done,,,composition should be corrected,Yes,10.1016/j.jallcom.2020.155878,36778.0,145.0,19.0,0.0062,exact,0.0062,1.0,-2.207608310501746,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.853825136612022,3.44,1.7373015873015876,1.9342,-1.7026984126984124,-1.5058,2.46,104.58333333333334,138.2,40.551587301587304,33.544999999999995,-104.655,-97.64841269841268,0.24272793053545585,0.2934268256265362,6491708511136.674,28978758058.690765,18801669945570.926,23657771881142.082,648.8086862622562,18772691187512.234,0.16404259589048656,0.2028418189701612,0.0,0.273224043715847,0.6557377049180328,0.07103825136612021,15.0,-0.49961739023743706,2.812116655584286,9.817486338797814,257.27500000000003,-16.018499103633168,13270.226707650274,0.5396825396825397,79.46470588235294,37.98412698412699,0.8420953021316528,50315704950021.03,572202.28233876,18.763058445135815
11b,Li3P,2,Li6.0P2.0,0.000703,,,P63/mmc,194,4.273,4.273,7.594,90.0,90.0,120.0,phosphates,10.1016/0167-2738(89)90438-4,1,D2 - 157,done,ICSD ,,,,,642223.0,157.0,,0.000703,exact,0.000703,1.0,-3.153044674980176,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": -3.0}]",1.2825,2.19,0.98,,-1.21,,1.21,103.625,212.0,67.5,,,-144.5,,0.31839622641509435,96276529982.65248,12041693654.298868,124354808758.77034,,10.327019797117647,112313115104.47147,0.014814814814814815,,0.0,0.0,0.25,0.75,19.0,-0.38525943396226414,1.013975009573517,159.0,125.38624999999999,-2.140740740740741,14653.1875,0.0,111.00000000000001,9.0,0.0,0.0,0.0,10.088231102138472
c71,Li6.5La2.7Ba0.3Zr1.2Ta0.8O12,8,Li52.0La21.6Ba2.4Zr9.6Ta6.4O96.0,0.000492,,,Ia-3d ,230,12.964,12.964,12.964,90.0,90.0,90.0,garnet,10.3389/fenrg.2016.00028,1,D1 - 45,not available,,,,,,,,45.0,0.000492,exact,0.000492,1.0,-3.3080348972326394,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.2843829787234045,3.44,1.0785217391304347,1.2066000000000001,-2.361478260869565,-2.2333999999999996,2.55,111.12291793313071,138.2,82.86857142857143,102.84771428571428,-35.35228571428571,-55.33142857142856,0.7441947488112466,0.5996278685135416,93604963952.32692,28978758058.690765,161041004884.81683,208733059848.67725,5.5572086477501905,132062246826.12607,0.025040159865432735,0.03833310843123603,0.0,0.2127659574468085,0.5106382978723404,0.2765957446808511,7.0,-1.4160081761062824,0.7448567028615833,38.225531914893615,283.3634407294833,-1.3855078170113435,13389.359280937904,8.304347826086959,91.34705882352941,63.10434782608697,1.137266117847828,31094158694758.0,614957.6244,19.861592144835427
xnb,Li5PS4(BH4)2,4,Li20.0P4.0S16.0B8.0H32.0,0.0018,,,F-43m,216,10.01,10.01,10.01,90.0,90.0,90.0,argyrodites,10.1021/acsomega.8b00377,1,D1 - 583,not available,,,,,,,,583.0,0.0018,exact,0.0018,1.0,-2.744727494896694,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}, {""element"": ""H"", ""value"": -1.0}]",1.9545000000000001,2.3266666666666667,1.39625,2.09,-0.9304166666666667,-0.2366666666666668,1.6,111.125,154.66666666666666,45.8125,9.666666666666666,-145.0,-108.85416666666666,0.0625,0.29620150862068967,55103190687872.31,13384653356.6845,137737899739645.75,367093807957790.75,10290.733429480812,137724515086289.06,0.1710239651416122,0.43137254901960786,0.0,0.15,0.6,0.25,2.0,-0.27559082031250004,4.0124463284092124,38.666666666666664,177.8,-18.616671205519243,15768.3125,0.0,63.266666666666666,14.125,0.6365141682948128,4819300881.795722,917289.9755555555,4.907631176525847
