feature,importance
χ⁺(excl Li⁺) - χ⁻,0.24287055794630377
d_mean_c,0.13798288462043323
r⁺(excl Li⁺) - r⁻,0.09281305975435544
r_mean_l,0.08448600823715141
mp_variance_c_l,0.08330533509059117
entropy_c_l,0.06643219138890905
χₘₐₓ - χₘᵢₙ,0.05987637501598187
ρ⁺(incl Li⁺) / ρ⁻,0.054232972907944654
χₐₗₗ,0.04892956462647858
χ⁺(incl Li⁺) - χ⁻,0.022199863351687308
ir_mean_square_all,0.020559752015594537
Vs_variance_c_l,0.017040961521930173
r_ratio_x_chi_diff,0.016946483930399305
s_mean_square_c,0.014805228000242598
n_Li,0.007069433671360635
r⁺(incl Li⁺) / r⁻,0.006950552413448673
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.006342392365643637
r⁺(incl Li⁺) - r⁻,0.004918123859621537
nₕₒₛₜ cₐₜᵢₒₙ,0.004757250697635038
family,0.0035996843472981196
chi_range_x_r_avg,0.002710022307857757
field_x_r_diff,0.0011713019291316041
χ⁻,0.0
χ⁺(excl Li⁺),0.0
r⁻ (pm),0.0
r⁺(incl Li⁺) (pm),0.0
r⁺(excl Li⁺) (pm),0.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.0
ρ⁺(excl Li⁺) (C m⁻³),0.0
ρ⁻ (C m⁻³),0.0
ρ⁺(incl Li⁺) (C m⁻³),0.0
rₐₗₗ (pm),0.0
n_Li × r⁻ (pm),0.0
log_rho_ratio,0.0
atwt_geometric_mean_all,0.0
