trial,state,value,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
0,COMPLETE,0.6974400230178952,3.0,27,10,log2
1,COMPLETE,0.6118948769289821,,10,10,log2
2,COMPLETE,0.6729555831323193,3.0,6,1,sqrt
3,COMPLETE,0.6414193251566948,5.0,28,4,
4,COMPLETE,0.6310272434535674,5.0,28,2,log2
5,COMPLETE,0.6256717197281263,5.0,25,2,
6,COMPLETE,0.6560128607685829,3.0,5,13,
7,COMPLETE,0.6211381895489008,10.0,22,12,sqrt
8,COMPLETE,0.639691508610033,15.0,16,14,log2
9,COMPLETE,0.6483055151560438,10.0,27,13,sqrt
10,PRUNED,0.6758820856048052,,12,7,log2
11,PRUNED,0.6786760423380694,10.0,19,10,sqrt
12,PRUNED,0.66259669900883,20.0,11,9,sqrt
13,PRUNED,0.7865389393831748,,21,6,log2
14,COMPLETE,0.6211381895489008,10.0,11,12,sqrt
15,COMPLETE,0.6410092940789999,7.0,2,15,log2
16,PRUNED,0.6827139145666828,,16,11,sqrt
17,PRUNED,0.6705962782617152,20.0,21,7,log2
18,PRUNED,0.66259669900883,15.0,14,9,sqrt
19,COMPLETE,0.5997926881654877,7.0,8,5,
20,COMPLETE,0.5997926881654877,7.0,7,5,
21,COMPLETE,0.5997926881654877,7.0,7,5,
22,COMPLETE,0.5997926881654877,7.0,7,5,
23,COMPLETE,0.6076078724420813,7.0,3,4,
24,COMPLETE,0.6076078724420813,7.0,8,4,
25,COMPLETE,0.5888159828271858,7.0,4,6,
26,COMPLETE,0.6026605138520928,7.0,4,7,
27,COMPLETE,0.5888159828271858,7.0,9,6,
28,COMPLETE,0.6018396532712392,7.0,9,8,
29,COMPLETE,0.5821587716482982,7.0,13,3,
30,COMPLETE,0.5811068187777403,7.0,13,2,
31,COMPLETE,0.5821587716482982,7.0,13,3,
32,COMPLETE,0.5920889728913815,7.0,14,2,
33,COMPLETE,0.581501843223508,7.0,13,1,
34,PRUNED,0.6214972089606966,3.0,14,1,
35,COMPLETE,0.585075505661654,7.0,18,3,
36,COMPLETE,0.5746980875585977,20.0,13,1,
37,COMPLETE,0.5730046235623201,20.0,18,1,
38,COMPLETE,0.5730046235623201,20.0,18,1,
39,COMPLETE,0.5730046235623201,20.0,18,1,
40,COMPLETE,0.5730046235623201,20.0,18,1,
41,PRUNED,0.60063343608998,20.0,19,1,
42,PRUNED,0.632428126066153,20.0,24,2,
43,PRUNED,0.6620111087273696,20.0,17,1,
44,PRUNED,0.6333862841678963,20.0,23,3,
45,COMPLETE,0.5730046235623201,20.0,18,1,
46,COMPLETE,0.5791765530884527,20.0,20,2,
47,PRUNED,0.6620111087273696,20.0,17,1,
48,PRUNED,0.7447662582488668,5.0,30,3,log2
49,COMPLETE,0.578979131092664,20.0,19,2,
