feature,importance
χₐₗₗ,958.0
d_mean_c,941.0
r⁺(incl Li⁺) (pm),940.0
ρ⁺(incl Li⁺) (C m⁻³),870.0
field_x_r_diff,810.0
atwt_geometric_mean_all,785.0
χ⁺(excl Li⁺),753.0
mp_variance_c_l,738.0
Vs_variance_c_l,709.0
r_mean_l,686.0
rₐₗₗ (pm),673.0
ρ⁺(incl Li⁺) / ρ⁻,643.0
χ⁺(incl Li⁺) - χ⁻,535.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),470.0
r⁺(excl Li⁺) - r⁻,467.0
entropy_c_l,458.0
ir_mean_square_all,453.0
χ⁺(excl Li⁺) - χ⁻,448.0
chi_range_x_r_avg,429.0
r_ratio_x_chi_diff,422.0
ρ⁺(excl Li⁺) (C m⁻³),400.0
r⁺(incl Li⁺) - r⁻,376.0
r⁺(excl Li⁺) (pm),372.0
r⁺(incl Li⁺) / r⁻,356.0
family,315.0
s_mean_square_c,291.0
Φ⁺(excl Li⁺) (|Z| pm⁻¹),246.0
n_Li,222.0
nₕₒₛₜ cₐₜᵢₒₙ,169.0
n_Li × r⁻ (pm),138.0
r⁻ (pm),68.0
χ⁻,45.0
ρ⁻ (C m⁻³),42.0
χₘₐₓ - χₘᵢₙ,39.0
log_rho_ratio,0.0
