trial,state,value,param_hidden_layer_sizes,param_activation,param_alpha,param_learning_rate_init,param_max_iter
0,COMPLETE,0.6194948847444612,64_32,relu,1.951722464144947e-05,0.005399484409787433,1000
1,COMPLETE,0.8281489292170997,64,tanh,0.00420515645091387,0.0007309539835912913,1000
2,COMPLETE,0.6928170102064957,128_64_32,tanh,0.009163741808778781,0.0001238513729886094,500
3,COMPLETE,0.7460023008667711,64_32,tanh,0.0015876781526923994,0.00017541893487450815,1500
4,COMPLETE,0.6943861014704442,64_32,relu,0.7045683638454499,0.0035503048581283078,500
5,PRUNED,0.8402762663354827,64,tanh,0.00022737628102536837,0.004544383960336014,1500
6,COMPLETE,0.6616773494280476,128_64_32,relu,1.0656401760606452e-05,0.004274869455295219,1500
7,COMPLETE,0.6463189981235992,128_64_32,relu,2.078699690689778e-05,0.0004187594718900631,1000
8,PRUNED,0.7295850656483562,64,relu,0.07158728631500196,0.0009718319944817398,500
9,PRUNED,0.7031569527354893,128_64,tanh,0.00017638479543546866,0.000661859559718348,500
10,COMPLETE,0.6521258855517431,64_32,relu,0.0001412876987310872,0.008095499356914079,1000
11,COMPLETE,0.6575840383603582,128_64_32,relu,1.0829398707743075e-05,0.00031215404432445923,1000
12,PRUNED,0.7534528393177197,128_64,relu,4.835647119524561e-05,0.00034182375573412507,1000
13,COMPLETE,0.6073648268502556,128_64_32,relu,0.0005990393381307106,0.0018906379122278195,1000
14,PRUNED,0.7272566597799142,64_32,relu,0.0004994314101082826,0.0019070696005512042,1000
15,PRUNED,0.6993999823217164,128_64_32,relu,0.023405652061323494,0.002004617910720449,1000
16,PRUNED,0.6931047408578744,64_32,relu,0.0009645107617650732,0.009864052196931579,1000
17,PRUNED,0.7118616203761383,128_64,relu,5.77099876219994e-05,0.002060839918738927,1000
18,COMPLETE,0.6196405771226935,128_64_32,relu,0.1151353157861415,0.006166361638674045,1000
19,PRUNED,0.8412896922202149,64_32,relu,5.4512279336324304e-05,0.002771853169161869,1500
20,COMPLETE,0.6344740288854759,128_64_32,relu,0.0006597678289789265,0.0014622504526962926,1000
21,COMPLETE,0.6045182522993634,128_64_32,relu,0.15148306156180866,0.005665698788720218,1000
22,COMPLETE,0.614629866583843,128_64_32,relu,0.5103833500034767,0.005592995117342829,1000
23,PRUNED,0.6943568831195883,128_64_32,relu,0.34353365488179466,0.0029168682559652603,1000
24,PRUNED,0.7006255860199623,128_64_32,relu,0.9796963948178126,0.006885375704175788,1000
25,PRUNED,0.6879783485970838,128_64_32,relu,0.18710122980453253,0.0013445060193289084,1000
26,PRUNED,0.7868651733159819,128_64_32,tanh,0.05522450384487496,0.0031650388218719292,1000
27,PRUNED,0.7043048483628717,128_64_32,relu,0.014559684488084342,0.009954212303730324,1000
28,COMPLETE,0.6449709159535801,128_64_32,relu,0.00392759716100086,0.004910594719420693,500
29,COMPLETE,0.6115667472596001,128_64_32,relu,0.29826515458010444,0.005684337727751827,1500
30,PRUNED,0.740187381328139,64,relu,0.028500178784728502,0.0024203451801329393,1500
31,COMPLETE,0.6101166616525434,128_64_32,relu,0.2779811249883273,0.0053424075287563716,1500
32,PRUNED,0.6973714097537201,128_64_32,relu,0.30709676993432883,0.003640830905970121,1500
33,COMPLETE,0.6180550521593798,128_64_32,relu,0.10896091024832122,0.0060132995548463995,1500
34,PRUNED,0.7145654764551266,128_64_32,tanh,0.17606933111143774,0.007768378485267756,1500
35,PRUNED,0.7431694885331864,128_64,relu,0.002326984383557114,0.0014912073214741718,1500
36,PRUNED,0.7839981342761709,128_64_32,tanh,0.00785059598630986,0.004027318648896573,1500
37,PRUNED,0.7632914313968818,64,relu,0.4704814433200222,0.0047527534816556825,1500
38,PRUNED,0.6346836036884096,128_64_32,tanh,0.03832920243570109,0.0009278778864566736,1500
39,PRUNED,0.6922695254811355,128_64_32,relu,0.006401926898623314,0.0005792097087496252,1500
40,PRUNED,0.7826194620765051,64,relu,0.17584235884693675,0.0038832861472910683,500
41,COMPLETE,0.6149170985311647,128_64_32,relu,0.7232272141057765,0.005549340143857789,1000
42,PRUNED,0.6994350632327616,128_64_32,relu,0.09082053066502735,0.00010704401996178635,1500
43,PRUNED,0.7016349005255628,128_64_32,relu,0.3988394538705251,0.007897438685749079,1000
44,PRUNED,0.6813246208724565,128_64_32,relu,0.6198820921898087,0.004941417512415172,500
45,COMPLETE,0.6312251563506566,128_64_32,relu,0.22868996982275394,0.006930044299129619,1000
46,PRUNED,0.7030423102369084,128_64,relu,0.00041999780475074,0.0024046765758440483,1500
47,PRUNED,0.7925448134929006,128_64_32,tanh,0.04415112427093284,0.003630362660145361,1000
48,PRUNED,0.6882230562704924,128_64_32,relu,0.0014752402281484822,0.00019607547923012453,500
49,PRUNED,0.6904971818484152,64_32,relu,0.0003099031187380232,0.008880111208116234,1000
