feature,importance
chi_range_x_r_avg,0.0585573800300745
Vs_variance_c_l,0.05148733347024949
r_mean_l,0.05123074275883353
entropy_c_l,0.050251267069215316
d_mean_c,0.050137227079404684
mp_variance_c_l,0.04993897652297147
atwt_geometric_mean_all,0.04958116860037087
ir_mean_square_all,0.04543448695793567
rₐₗₗ (pm),0.04307155093997801
family,0.042447371069140885
χₐₗₗ,0.038507750842794224
field_x_r_diff,0.03831639393518359
χ⁺(excl Li⁺) - χ⁻,0.035218917429757184
r⁺(excl Li⁺) - r⁻,0.029843798866218754
r⁺(incl Li⁺) / r⁻,0.029707386184283736
s_mean_square_c,0.02896794266035784
χ⁺(incl Li⁺) - χ⁻,0.026803850422352553
n_Li,0.024447081964425067
n_Li × r⁻ (pm),0.02383214984583288
r⁺(incl Li⁺) - r⁻,0.022985386515161254
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.022540159015750086
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.02191867133326373
r⁺(incl Li⁺) (pm),0.020923156230923712
r_ratio_x_chi_diff,0.02000393675141173
χ⁺(excl Li⁺),0.019764148337227564
ρ⁺(incl Li⁺) (C m⁻³),0.017163014675347487
ρ⁺(excl Li⁺) (C m⁻³),0.016822243925565937
nₕₒₛₜ cₐₜᵢₒₙ,0.016816030045962514
ρ⁺(incl Li⁺) / ρ⁻,0.013014287997495266
r⁺(excl Li⁺) (pm),0.011586615204198156
log_rho_ratio,0.009999774337541862
ρ⁻ (C m⁻³),0.008147511091254469
r⁻ (pm),0.004850123498615215
χₘₐₓ - χₘᵢₙ,0.0035490644772921227
χ⁻,0.002133099913608644
