feature,importance
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.05406339580699669
χ⁺(excl Li⁺) - χ⁻,0.051070409191822465
d_mean_c,0.0484130902440465
r⁺(excl Li⁺) - r⁻,0.04793420195355899
atwt_geometric_mean_all,0.044282981089497596
r⁺(incl Li⁺) - r⁻,0.039051501922538215
r_mean_l,0.039045486721494174
mp_variance_c_l,0.03536910035325255
ir_mean_square_all,0.03437644105144373
ρ⁺(incl Li⁺) / ρ⁻,0.03381615430988309
χₐₗₗ,0.03379227849258178
n_Li × r⁻ (pm),0.03355196641109765
χ⁺(incl Li⁺) - χ⁻,0.031627340878864735
ρ⁺(excl Li⁺) (C m⁻³),0.030878777525601663
log_rho_ratio,0.030438820775429247
r⁺(excl Li⁺) (pm),0.0301836696439744
field_x_r_diff,0.029669045600187228
rₐₗₗ (pm),0.028001290728278984
ρ⁺(incl Li⁺) (C m⁻³),0.027964238217559095
chi_range_x_r_avg,0.026418965299213053
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.025075405413552822
entropy_c_l,0.024287275802407644
s_mean_square_c,0.023965173520541325
nₕₒₛₜ cₐₜᵢₒₙ,0.02352575821038148
n_Li,0.022881618825129683
r⁺(incl Li⁺) / r⁻,0.02277615697404534
r_ratio_x_chi_diff,0.022321229882962285
χ⁺(excl Li⁺),0.021879729146757534
r⁺(incl Li⁺) (pm),0.01932893119668668
Vs_variance_c_l,0.01726414053260186
family,0.01306226459070101
r⁻ (pm),0.011841012827688218
χ⁻,0.008713561102623241
ρ⁻ (C m⁻³),0.006935107301289858
χₘₐₓ - χₘᵢₙ,0.006193478455309349
