trial,state,value,param_max_features_type,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.5686679024698563,log2,700,10.0,20,9,
1,COMPLETE,0.55865395105087,sqrt,400,10.0,10,8,
2,COMPLETE,0.5410364252453052,float,700,10.0,15,5,0.42787024763199866
3,COMPLETE,0.5753226511317056,log2,1000,30.0,16,10,
4,COMPLETE,0.526879559137212,float,300,15.0,12,2,0.4530955012311517
5,PRUNED,0.6036220494467385,float,300,5.0,4,9,0.8633468615779945
6,COMPLETE,0.5482033673100709,sqrt,400,10.0,16,6,
7,COMPLETE,0.5359147600856209,sqrt,500,30.0,6,5,
8,PRUNED,0.6107764790157609,sqrt,400,5.0,18,6,
9,COMPLETE,0.5088615128865861,log2,200,10.0,6,2,
10,COMPLETE,0.5099284001670232,log2,200,20.0,2,1,
11,COMPLETE,0.5099284001670232,log2,200,20.0,2,1,
12,COMPLETE,0.5180828801223425,log2,200,,7,3,
13,COMPLETE,0.5154926965415656,log2,1000,20.0,2,3,
14,PRUNED,0.5557301122614815,log2,600,7.0,8,1,
15,COMPLETE,0.5151195755457111,log2,200,20.0,5,3,
16,COMPLETE,0.5164065999474781,log2,300,15.0,9,1,
17,PRUNED,0.561466495114935,log2,800,7.0,4,4,
18,PRUNED,0.5526000059042558,log2,500,,13,2,
19,COMPLETE,0.5139824849384389,float,200,20.0,2,2,0.9970262359174216
20,PRUNED,0.5716114214865652,log2,900,10.0,4,7,
21,COMPLETE,0.5099284001670232,log2,200,20.0,2,1,
22,COMPLETE,0.5087246888554005,log2,300,20.0,6,1,
23,PRUNED,0.5474172078715067,log2,300,20.0,7,4,
24,COMPLETE,0.5086793463968716,log2,500,20.0,6,2,
25,PRUNED,0.547500408155405,log2,500,20.0,10,2,
26,PRUNED,0.5489890402485373,log2,400,,6,4,
27,PRUNED,0.5972537229027698,log2,600,5.0,8,3,
28,PRUNED,0.5630041029720594,sqrt,600,7.0,11,2,
29,PRUNED,0.5610800473416098,float,300,10.0,20,4,0.6658098030519365
30,COMPLETE,0.5155783077946259,log2,700,30.0,5,3,
31,COMPLETE,0.5039578245541988,log2,300,20.0,4,1,
32,COMPLETE,0.5059190064184318,log2,400,20.0,5,1,
33,COMPLETE,0.5031338814120194,log2,500,20.0,4,1,
34,COMPLETE,0.5031338814120194,log2,500,20.0,4,1,
35,COMPLETE,0.5031463547166729,log2,400,20.0,4,1,
36,PRUNED,0.5663923130361953,float,500,20.0,3,8,0.6631591974836992
37,COMPLETE,0.5057651429959947,sqrt,400,15.0,3,1,
38,COMPLETE,0.5038291868377328,log2,600,20.0,4,2,
39,PRUNED,0.5847742149617827,float,700,20.0,3,10,0.8549891443867176
40,PRUNED,0.5968890667905961,sqrt,700,5.0,8,2,
41,COMPLETE,0.5029133329853941,log2,600,20.0,4,1,
42,COMPLETE,0.5044858819006999,log2,600,20.0,5,2,
43,COMPLETE,0.5055991885007535,log2,600,30.0,3,1,
44,COMPLETE,0.5034546250550755,log2,500,20.0,4,2,
45,PRUNED,0.542198139966538,log2,500,20.0,7,1,
46,PRUNED,0.5455723514897015,log2,500,20.0,5,3,
47,PRUNED,0.5590618102147717,log2,400,15.0,13,1,
48,PRUNED,0.5563415231472634,sqrt,500,20.0,3,5,
49,COMPLETE,0.5034491313205977,log2,400,20.0,4,2,
