,median
χₐₗₗ,2.3580206185567008
χ⁻,3.216
χ⁺(excl Li⁺),1.4700000000000002
χ⁺(incl Li⁺) - χ⁻,-2.0406627116291975
χ⁺(excl Li⁺) - χ⁻,-1.7175
χₘₐₓ - χₘᵢₙ,2.46
rₐₗₗ (pm),118.18227057106367
r⁻ (pm),171.7655585106383
r⁺(incl Li⁺) (pm),70.04464285714286
r⁺(excl Li⁺) (pm),77.53333333333333
r⁺(excl Li⁺) - r⁻,-100.85833333333333
r⁺(incl Li⁺) - r⁻,-102.70875244834775
r⁺(incl Li⁺) / r⁻,0.39364971904237667
ρ⁻ (C m⁻³),12278644599.949677
ρ⁺(incl Li⁺) (C m⁻³),246859165652.93762
ρ⁺(excl Li⁺) (C m⁻³),471392579892.14136
ρ⁺(incl Li⁺) / ρ⁻,23.78913192658931
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.029238759383686922
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.05220496643293334
nₕₒₛₜ cₐₜᵢₒₙ,0.12403846153846154
n_Li,0.26758295380611585
family,8.0
r_ratio_x_chi_diff,-0.8023105565481699
log_rho_ratio,1.3763785947749507
n_Li × r⁻ (pm),43.19685990338164
chi_range_x_r_avg,277.43741606846174
field_x_r_diff,-2.7481125961883577
ir_mean_square_all,17956.68325791855
d_mean_c,3.778225806451613
r_mean_l,98.83333333333334
s_mean_square_c,37.502481389578165
entropy_c_l,0.650390640876698
Vs_variance_c_l,3341544660672.411
mp_variance_c_l,168434.52829050002
atwt_geometric_mean_all,20.858324520655536
