ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,family,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff,ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
v40,Li2.8Yb0.8Zr0.2Cl6,,Li2.8 Yb0.8 Zr0.2 Cl6,0.0011,,,,,,,,,,,halides,10.1021/acsami.1c13295,1,data/obelix/processed/all-v1.csv,,,,Curator row 40; Zr4+ doped; corrected DOI; original 1.1 mS/cm; synthesis_method=unknow; measured_temperature=RT; amorphous=否; source_year=2021,,,,,,0.0011,exact,0.0011,1.0,-2.958607314841775,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Yb"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.441111111111111,3.16,1.0033333333333332,1.33,-2.156666666666667,-1.83,2.18,138.77959183673468,181.0,72.11578947368422,85.03999999999999,-95.96000000000001,-108.88421052631578,0.4698342541436464,0.39842977609770286,60379515502.50339,6449680150.445432,145531887111.01596,204827706497.30368,22.564202211014315,139082206960.57053,0.020891489821880316,0.037906179841663716,0.6122448979591836,0.1020408163265306,0.0,0.2857142857142857,8.0,-0.8592802171173793,1.353419983037676,51.71428571428571,302.53951020408164,-2.274753375974,22098.744081632653,4.842105263157896,108.42857142857142,42.21052631578947,0.5004024235381879,7985220349923.337,170073.76,25.815556981302514
trv1_0096,Li3In1Cl5.8F0.2,,Li3 In1 Cl5.8 F0.2,9.5e-4,,,,,,,,,,,halides,10.1021/acs.jpclett.5c00947,1,data/obelix/processed/all-v1.csv,,,,x=0.2; synthesis_method=球磨+退火; measured_temperature=RT; amorphous=否; source_year=2025,,,,,,0.00095,exact,0.00095,1.0,-3.0222763947111524,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""F"", ""value"": -1.0}]",2.3844,3.187333333333333,1.18,1.78,-2.0073333333333334,-1.407333333333333,3.0,135.8425,179.32083333333333,70.625,80.0,-99.32083333333333,-108.69583333333333,0.44612775054023285,0.3938471547737993,63799579826.737656,6806661453.280659,149288957386.92316,224091403271.38156,21.932772536375996,142482295933.6425,0.02048611111111111,0.0375,0.6,0.1,0.0,0.3,8.0,-0.7905825220159398,1.3410935346023016,53.79624999999999,407.52750000000003,-2.2267549189814813,21349.512812499997,5.0,104.14285714285715,31.75,0.0,0.0,0.0,24.143525527272946
8y4,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,,Li6.6 La2.875 Y0.125 Zr1.6 Ta0.4 O12,0.000317,,,,,,,,,,,garnet,10.1021/am503731h,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2014,,,,,,0.000317,exact,0.000317,1.0,-3.4989407377822483,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.279279661016949,3.44,1.0785344827586207,1.2086,-2.3614655172413794,-2.2314,2.46,110.60690324858756,138.2,82.06232040229887,101.28458333333333,-36.91541666666666,-56.13767959770112,0.7328841051616016,0.5937939247633782,90222832166.03934,28978758058.690765,153578770897.77924,192154400921.27094,5.2997016154638406,124600012839.08847,0.024588116565906155,0.03748887487734672,0.0,0.211864406779661,0.5084745762711864,0.2796610169491525,6.0,-1.4022238776761398,0.7242514185808878,38.649152542372875,272.0929819915254,-1.380319809687767,13251.771193797078,7.77155172413793,91.04264705882355,60.646551724137915,0.977095760474038,468886196544.94916,408295.5679000001,19.50179498983396
x9a,Li1.2Ti1.8Ga0.2P3O12,,Li1.2 Ti1.8 Ga0.2 P3 O12,0.000162,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.000162,exact,0.000162,1.0,-3.7904849854573692,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8659340659340664,3.44,1.7548387096774194,1.9408,-1.6851612903225806,-1.4991999999999999,2.46,104.95604395604396,138.2,40.612903225806456,34.160000000000004,-104.03999999999999,-97.58709677419353,0.24717800289435604,0.2938705009103217,6519161834493.122,28978758058.690765,19080806498559.76,23630354904112.0,658.4411402281405,19051827740501.07,0.1661529286659653,0.20247407599024142,0.0,0.27472527472527475,0.6593406593406593,0.06593406593406594,14.0,-0.49521919250178076,2.818516958315815,9.112087912087912,258.19186813186815,-16.214381929041227,13335.5978021978,0.903225806451613,79.50588235294119,39.80645161290323,0.8030448563658358,51977552941568.2,608107.81418304,19.123855055385715
fkj,Li6.5Si0.5P0.5S5Br1,,Li6.5 Si0.5 P0.5 S5 Br1,0.00219,,,,,,,,,,,argyrodites,10.1039/c7ta08581h,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,,0.00219,exact,0.00219,1.0,-2.6595558851598815,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.7981481481481483,2.643333333333333,1.122,2.045,-1.521333333333333,-0.5983333333333332,1.98,117.01851851851852,186.0,61.833333333333336,25.0,-161.0,-124.16666666666666,0.13440860215053763,0.3324372759856631,1664023069240.1138,11078757388.627398,2986378518721.3027,21589532633477.76,269.55897795784296,2975299761332.6753,0.04052815739090249,0.20766488413547238,0.07407407407407407,0.07407407407407407,0.37037037037037035,0.48148148148148145,2.0,-0.505747909199522,2.4306538010602874,89.55555555555556,231.69666666666666,-5.032246209370393,17629.675925925927,0.0,106.07142857142856,12.600000000000001,0.6931471805599453,244604574391.77417,469019.52249999996,16.31995547505281
gnq,Li1.4Lu0.4Hf1.6P3O12,,Li1.4 Lu0.4 Hf1.6 P3 O12,2.06e-05,,,,,,,,,,,nasicon,10.1016/0167-2738(93)90387-i,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1993,,,,,,2.06e-05,exact,2.06e-05,1.0,-4.686132779630847,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Lu"", ""value"": 3.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",2.8098913043478264,3.44,1.6284375,1.81,-1.8115625,-1.63,2.46,106.3786231884058,138.2,46.71354166666667,40.89333333333333,-97.30666666666666,-91.48645833333332,0.29589966232513265,0.33801404968644483,6412857199662.003,28978758058.690765,18382629277668.21,23494946128962.85,634.348416189466,18353650519609.52,0.156957207002042,0.1967570768144656,0.0,0.27173913043478265,0.6521739130434783,0.07608695652173914,14.0,-0.6123335768851002,2.802327859878417,10.515217391304347,261.69141304347824,-14.359458978508687,13499.558393719806,6.8125,81.42352941176472,63.84375,0.8731726364245316,176448317975697.47,1052465.404,21.724787193599976
pdv,Li0.45La0.52Ti1O3,,Li0.45 La0.52 Ti1 O3,0.000785,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=淬火（无序相，Pm-3m）; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,0.000785,exact,0.000785,1.0,-3.1051303432547472,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.590140845070423,3.44,1.2959390862944162,1.3894736842105264,-2.1440609137055837,-2.0505263157894733,2.46,114.15244802146209,138.2,77.53181049069373,80.5017543859649,-57.69824561403509,-60.66818950930626,0.5825018407088633,0.5610116533335292,174880221002.33328,28978758058.690765,397065189952.04266,477801815963.2088,13.701939508513972,368086431893.3519,0.04360166798447626,0.052124091620231294,0.0,0.3058350100603622,0.6036217303822938,0.09054325955734407,18.0,-1.2028431580457668,1.1367820458591364,12.51307847082495,280.81502213279674,-2.6452342562040574,14158.526709143753,6.558375634517766,90.46017699115045,72.55329949238578,0.6424220210762541,21776716058790.863,125927.14681440443,23.18631041177257
l8t,Li1.3Y0.2Ti1.7Al0.1P3O12,,Li1.3 Y0.2 Ti1.7 Al0.1 P3 O12,7.3e-05,,,,,,,,,,,nasicon,10.1016/j.ssi.2012.05.011,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2012,,,,,,7.3e-05,exact,7.3e-05,1.0,-4.136677139879544,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8495628415300547,3.44,1.724920634920635,1.9186,-1.715079365079365,-1.5213999999999999,2.46,105.12650273224043,138.2,42.129365079365066,35.533,-102.66699999999999,-96.07063492063492,0.25711287988422576,0.3048434520938138,6480453289379.041,28978758058.690765,18768976206179.707,23616577769509.15,647.6804895560688,18739997448121.016,0.1629759742923381,0.20149787575649417,0.0,0.27322404371584696,0.6557377049180327,0.07103825136612021,14.0,-0.52283071426566,2.8113608147538156,9.817486338797814,258.61119672131144,-15.657205327073994,13347.465396174863,0.888888888888889,79.9,40.01587301587302,0.8802861522293415,69321685718949.016,602848.70545764,19.00917825103095
86o,Li0.18La0.61Ti1O3,,Li0.18 La0.61 Ti1 O3,0.000412,,,,,,,,,,,perovskites,10.1016/s0167-2738(98)00070-8,1,data/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1998,,,,,,0.000412,exact,0.000412,1.0,-3.3851027839668655,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6529018789144048,3.44,1.3337430167597766,1.373291925465839,-2.1062569832402236,-2.0667080745341613,2.46,116.87258176757132,138.2,81.12830540037244,82.651966873706,-55.54803312629399,-57.07169459962755,0.5980605417779017,0.587035494937572,175722701914.1429,28978758058.690765,421662272621.6047,454901616407.51166,14.55073650042596,392683514562.91394,0.047019457664164835,0.05061997674048969,0.0,0.33611691022964507,0.6263048016701461,0.037578288100208766,18.0,-1.236447610622142,1.1628849761381326,5.193319415448851,287.5065511482254,-2.6834801280493323,14699.679821387148,8.273743016759775,91.99349240780913,85.73184357541899,0.6635141518578722,22769542453817.184,131668.31526561477,25.666448349309885
r99,Li0.14La0.62Mg0.5W0.5O3,,Li0.14 La0.62 Mg0.5 W0.5 O3,1.2e-05,,,,,,,,,,,perovskites,10.1016/j.ssi.2004.05.010,1,data/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,,1.2e-05,exact,1.2e-05,1.0,-4.920818753952375,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.6563445378151265,3.44,1.320568181818182,1.35,-2.119431818181818,-2.09,2.46,117.50196078431374,138.2,82.22121212121213,83.49341563786008,-54.70658436213991,-55.978787878787855,0.6041491724881338,0.594943647765645,234032967595.19382,28978758058.690765,583557188396.0513,623241344661.0015,20.137411935120586,554578430337.3605,0.05137563859328483,0.0545352159568563,0.0,0.3403361344537815,0.6302521008403361,0.029411764705882356,18.0,-1.260942497099664,1.3040036541758873,4.064705882352941,289.0548235294118,-2.8759459749507585,14832.562399626517,14.215909090909088,92.37662337662337,102.57954545454544,1.093246752419975,55234713466385.9,1480032.098765432,27.93494990859533
