feature,importance
ir_mean_square_all,0.35422893040536574
n_Li,0.08999782131069063
d_mean_c,0.08954982937567808
r_mean_l,0.06940692084339699
χₐₗₗ,0.06610249198176252
χ⁺(incl Li⁺) - χ⁻,0.06161517478065485
entropy_c_l,0.059243464758476375
nₕₒₛₜ cₐₜᵢₒₙ,0.043120959900211996
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.0419279457661174
Vs_variance_c_l,0.032123775182735126
χ⁻,0.027372400599346796
chi_range_x_r_avg,0.021440083770618765
n_Li × r⁻ (pm),0.013492209663892772
rₐₗₗ (pm),0.006706807485789451
mp_variance_c_l,0.005535297854571043
χ⁺(excl Li⁺) - χ⁻,0.005222463497361452
atwt_geometric_mean_all,0.004379228479399301
r⁺(incl Li⁺) / r⁻,0.0037108809909370787
r_ratio_x_chi_diff,0.0019303156979491934
field_x_r_diff,0.0008608657053671943
χₘₐₓ - χₘᵢₙ,0.0007328190358637862
r⁺(excl Li⁺) - r⁻,0.0006869996021882578
s_mean_square_c,0.0006123133116250225
χ⁺(excl Li⁺),0.0
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.0
r⁺(incl Li⁺) (pm),0.0
r⁺(excl Li⁺) (pm),0.0
r⁻ (pm),0.0
ρ⁺(incl Li⁺) / ρ⁻,0.0
ρ⁺(excl Li⁺) (C m⁻³),0.0
ρ⁺(incl Li⁺) (C m⁻³),0.0
r⁺(incl Li⁺) - r⁻,0.0
ρ⁻ (C m⁻³),0.0
log_rho_ratio,0.0
family,0.0
