trial,state,value,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features
0,COMPLETE,0.5123172641905065,3.0,27,10,log2
1,COMPLETE,0.4414145686486295,,10,10,log2
2,COMPLETE,0.5603817516817878,3.0,6,1,sqrt
3,COMPLETE,0.4882363408138846,5.0,28,4,
4,COMPLETE,0.489651585758359,5.0,28,2,log2
5,COMPLETE,0.4710768229642551,5.0,25,2,
6,PRUNED,0.4677843426801244,3.0,5,13,
7,PRUNED,0.532689369000148,10.0,22,12,sqrt
8,PRUNED,0.4601600330476213,15.0,16,14,log2
9,PRUNED,0.46456363867481515,10.0,27,13,sqrt
10,PRUNED,0.47181843012775515,,12,7,log2
11,PRUNED,0.4497351569593778,7.0,11,7,
12,PRUNED,0.46487198437385985,20.0,20,9,
13,COMPLETE,0.4228377563478974,,10,4,
14,COMPLETE,0.4277845744410721,,2,5,log2
15,COMPLETE,0.4277845744410721,,2,5,log2
16,COMPLETE,0.4260691353310927,,2,5,
17,COMPLETE,0.4196833080213483,,7,4,
18,COMPLETE,0.4164053132468177,15.0,14,3,
19,COMPLETE,0.40699172794088384,15.0,17,3,
20,PRUNED,0.4298139468708613,15.0,16,1,
21,COMPLETE,0.41511182960884313,15.0,19,3,
22,COMPLETE,0.41511182960884313,15.0,19,3,
23,PRUNED,0.45668749590793534,15.0,20,7,
24,COMPLETE,0.41511182960884313,15.0,19,3,
25,PRUNED,0.4435405579260799,15.0,23,6,
26,COMPLETE,0.4313329878836437,15.0,18,2,sqrt
27,COMPLETE,0.4150561088468957,20.0,14,3,
28,COMPLETE,0.42893921468153745,20.0,14,1,
29,PRUNED,0.42758899240629406,20.0,16,6,
30,PRUNED,0.42318398727818973,7.0,23,3,sqrt
31,COMPLETE,0.4082762889782819,20.0,18,3,
32,PRUNED,0.43529948767445537,20.0,13,4,
33,PRUNED,0.44960473140067947,20.0,17,10,
34,PRUNED,0.4246762231222951,20.0,30,2,
35,PRUNED,0.4562665499297498,3.0,21,1,
36,PRUNED,0.4416455256987041,20.0,8,6,
37,PRUNED,0.43628888251287123,5.0,15,2,
38,PRUNED,0.4770172558984001,10.0,24,5,sqrt
39,COMPLETE,0.4082762889782819,20.0,18,3,
40,PRUNED,0.49694033885283423,20.0,17,11,log2
41,COMPLETE,0.4082762889782819,20.0,18,3,
42,COMPLETE,0.41776741592402444,20.0,14,2,
43,PRUNED,0.4357421704899154,20.0,18,4,
44,COMPLETE,0.4116610455095738,20.0,12,3,
45,PRUNED,0.4562665499297498,3.0,12,1,
46,PRUNED,0.4503747267519481,20.0,9,8,
47,PRUNED,0.5041021588322568,7.0,21,15,sqrt
48,PRUNED,0.4578268294174949,5.0,11,2,log2
49,PRUNED,0.4357421704899154,20.0,17,4,
