trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
0,COMPLETE,0.36687046693964664,3,1600,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07
1,COMPLETE,0.3673718004528159,6,1300,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07
2,COMPLETE,0.43803124293783285,4,500,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936
3,COMPLETE,0.4113527062063141,4,500,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05
4,COMPLETE,0.3650528790923248,7,300,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07
5,COMPLETE,0.3594599111360371,-1,2300,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892
6,PRUNED,0.39509260356863973,7,2300,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07
7,COMPLETE,0.34026456126189003,-1,2100,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416
8,COMPLETE,0.35796800588210065,8,1400,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06
9,COMPLETE,0.3368180276675733,8,600,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788
10,PRUNED,0.4436531372567066,8,900,0.005141161689667175,61,6,0.5193625999805914,0.9788194588851228,0.001170095127026568,6.422747031120154
11,COMPLETE,0.34877644601675284,-1,1900,0.16376229504588932,42,11,0.7409481648316648,0.8716448625177555,31.631248486763358,0.44411365237381617
12,COMPLETE,0.34919200641076253,5,1000,0.0197027766883888,23,18,0.5271728788925418,0.6628399116503247,0.3861927813328524,0.051668030906657676
13,PRUNED,0.3629004106160403,10,1900,0.19410725866993564,63,25,0.8079088229913173,0.8962579519190287,2.2667735370964253,0.02376287165573294
14,PRUNED,0.3793118065197737,-1,2500,0.04353542121417287,41,14,0.6446926911519497,0.6668858550401968,38.876914068435774,4.5475498562931715
15,COMPLETE,0.35758601965950676,8,1000,0.018223635218679916,53,30,0.8034060745027055,0.779590747337984,0.0027504422931558816,0.012947517659582833
16,COMPLETE,0.33413169416754984,5,1700,0.06094081339180363,15,5,0.571344938997578,0.9927779632219429,0.09235461274876476,0.4639709733971644
17,COMPLETE,0.3388855390801875,5,1700,0.049558038242968436,15,5,0.71804991678614,0.9783324854890414,0.008598523937072505,0.003043024892833342
18,COMPLETE,0.35001116568069274,5,700,0.041887353439163943,12,19,0.5490851573245074,0.8912541028492773,0.09063562251853409,0.1639776995702332
19,PRUNED,0.4835909703775103,10,1300,0.021945322707167116,35,34,0.997086814154761,0.9381672355465381,0.1354369763872195,13.816259008399634
20,COMPLETE,0.33815146242067107,6,1500,0.011887349991944905,53,15,0.8429770385489649,0.8406346399535922,0.011156414645564536,0.00014189538902115774
21,COMPLETE,0.33443761765155616,6,1500,0.006654561653312542,56,11,0.8451143973374481,0.8245279482976816,0.006346118302340126,6.788160683802191e-05
22,COMPLETE,0.3388804932951003,6,1200,0.006214391917638255,56,9,0.9255066085194731,0.8203734668018496,0.00278035889326944,0.004858951066661842
23,PRUNED,0.3840902667497788,3,1800,0.00848109012640982,8,23,0.7633896460552152,0.9336697907027849,0.046601215177993836,3.4838213435668615e-05
24,COMPLETE,0.33841739872244914,6,1100,0.01564523641353639,57,16,0.8483096391887642,0.7321717793449715,0.004029019382067994,0.14419472865514327
25,COMPLETE,0.33603115633926006,8,800,0.007883112611338602,48,8,0.6728772258131381,0.8596610051500849,0.019873017650344823,3.247869410867149e-06
26,COMPLETE,0.3412808884205881,5,800,0.007840902967841623,19,8,0.678909215944919,0.9951323643278034,0.8220061014360056,2.8539756057815328e-06
27,COMPLETE,0.3351846641276748,8,1600,0.0051466701856974755,47,5,0.5821912356770976,0.9235227436582288,0.0010339080703564705,1.7745662756795355e-08
28,COMPLETE,0.34480619449664507,5,1600,0.0055743428239337905,17,11,0.5698719401870851,0.9320516944506507,0.0010628553187003954,3.8310908375504464e-08
29,PRUNED,0.3518547992503558,3,2000,0.05482038127042921,7,5,0.589436324539841,0.9241366860718471,0.004899741259690304,1.1760617057851994e-08
30,PRUNED,0.3522808436638929,6,1600,0.08404752765168293,38,28,0.9435262825716444,0.7636563354917459,0.0018601901811267387,8.551580033682119e-05
31,COMPLETE,0.3384322267822658,8,1500,0.007207581140734966,47,13,0.6602105801117752,0.8221828831613737,0.006749469642664751,2.7547608310847153e-06
32,COMPLETE,0.336999656516127,8,1700,0.00921862257406401,48,9,0.5859829552792915,0.9569213441860149,0.023859767792111724,6.710396148658402e-07
33,COMPLETE,0.3323295773331216,8,1300,0.007035121868242874,51,5,0.5076823929441374,0.881255694379473,0.05790382964707625,0.00040324543167960525
34,PRUNED,0.3459082883122348,4,1300,0.006102201313006841,10,5,0.5247821566456674,0.9066727401192487,0.058847234381753294,0.0006906535349649717
35,PRUNED,0.4084545310248419,6,1400,0.01112646941585754,52,38,0.55263465347461,0.9563249212798132,0.5188386336745154,0.0018935747086212154
36,PRUNED,0.3585917177245073,7,1200,0.014109054248685271,43,13,0.5158387021594375,0.8148224412989777,0.19254285986958827,1.8631712510828602e-05
37,PRUNED,0.3846382859712056,8,1700,0.006743708297661986,58,22,0.5546080456737162,0.997030237303901,0.08996118562071545,0.00020161631839453296
38,COMPLETE,0.3387170104435658,4,2100,0.009374131991762553,10,8,0.5998991892326105,0.6140164491551111,1.4668960070731665,0.0012428144417332252
39,PRUNED,0.38214002462320396,10,1500,0.0050314847438757,32,20,0.6284377670714298,0.8860431278807513,0.03798174654431824,8.815634189625168e-08
40,PRUNED,0.3867319781881251,3,1300,0.08447609220075171,7,49,0.5052390724924856,0.4008700070756522,0.015151007854109376,6.975357253505401e-07
41,PRUNED,0.35698273907683425,8,500,0.007599998318052039,51,8,0.7032285239432646,0.8516763728804647,0.014693119767693793,5.094956516210948e-05
42,COMPLETE,0.3330554925375349,8,1800,0.02392345920711879,44,11,0.7697879832326092,0.7900456575617935,0.08098326613183779,8.644469417645519e-06
43,PRUNED,0.34839467603752655,8,1800,0.11150636550694638,40,11,0.7689496226129611,0.7310916570010382,0.3331761359076124,1.425349424044779e-05
44,COMPLETE,0.3347523888328198,8,2100,0.027551422304555834,44,11,0.880437113867963,0.7898200549602216,0.10325241584826325,0.00031319803159941784
45,PRUNED,0.36094845004170345,7,2300,0.0401264097886679,45,15,0.829395561756967,0.7764945002236932,0.08539657357314658,0.0002928631062826317
46,PRUNED,0.340061660628551,8,2200,0.02515746511933701,36,12,0.8843525013666174,0.6991863551237423,0.12443907589550716,0.0006180946585870847
47,PRUNED,0.3667363592835138,5,2000,0.03236840542943796,29,17,0.8581500489223772,0.7978966272067707,0.26963165987812626,0.010737224460265007
48,PRUNED,0.364113517845972,8,1900,0.06666390084799963,50,53,0.7843465583375134,0.7565340197897636,0.03467616046443513,9.895625143551392e-06
49,PRUNED,0.37486156338708587,-1,1800,0.01521860206266006,44,40,0.89617098744365,0.7996730472605149,0.06509138070759737,7.111364327460464e-05
