trial,state,value,param_hidden_layer_sizes,param_activation,param_alpha,param_learning_rate_init,param_max_iter
0,COMPLETE,0.46624593834820616,64_32,relu,1.951722464144947e-05,0.005399484409787433,1000
1,COMPLETE,0.5406139924019902,64,tanh,0.00420515645091387,0.0007309539835912913,1000
2,COMPLETE,0.49225888071336604,128_64_32,tanh,0.009163741808778781,0.0001238513729886094,500
3,COMPLETE,0.5341030925255759,64_32,tanh,0.0015876781526923994,0.00017541893487450815,1500
4,COMPLETE,0.46420887978955505,64_32,relu,0.7045683638454499,0.0035503048581283078,500
5,COMPLETE,0.5261651449949365,64,tanh,0.00022737628102536837,0.004544383960336014,1500
6,PRUNED,0.44783161929272297,128_64_32,relu,1.0656401760606452e-05,0.004274869455295219,1500
7,PRUNED,0.45412121652448006,128_64_32,relu,2.078699690689778e-05,0.0004187594718900631,1000
8,COMPLETE,0.4715206619621909,64,relu,0.07158728631500196,0.0009718319944817398,500
9,PRUNED,0.48295062026346025,128_64,tanh,0.00017638479543546866,0.000661859559718348,500
10,COMPLETE,0.453228273885105,64_32,relu,0.7041830285015993,0.0022005828785027445,500
11,COMPLETE,0.45571476059616645,64_32,relu,0.8570570220432931,0.0018579666043321034,500
12,COMPLETE,0.4507391504317747,64_32,relu,0.7424873426630179,0.0020387596096604808,500
13,PRUNED,0.522625033969831,64_32,relu,0.09594839994109423,0.0023070382341120986,500
14,PRUNED,0.4468949794606278,128_64,relu,0.0857473224216875,0.0017270524181886508,500
15,PRUNED,0.4296026638778384,64_32,relu,0.4045007391056824,0.008607419445086138,500
16,COMPLETE,0.5045772318631098,64_32,relu,0.027301501416870228,0.0003598559787714618,500
17,COMPLETE,0.4466233537441485,64_32,relu,0.2108545291816575,0.0021709241081181957,500
18,PRUNED,0.42991043563760095,128_64,relu,0.18379860145758126,0.009066279089707686,1500
19,COMPLETE,0.5532453603320586,64_32,relu,0.022446452754471283,0.0012852774340883822,1000
20,COMPLETE,0.5202387348989259,64_32,relu,0.0009619735868558454,0.002959796837784934,500
21,COMPLETE,0.4995179950943937,64_32,relu,0.22404284001741898,0.0014845412371945975,500
22,PRUNED,0.5321936166724597,64_32,relu,0.36300266281029514,0.0025837413471955623,500
23,COMPLETE,0.49292480559864427,64_32,relu,0.03502749509809176,0.0009922895782354755,500
24,COMPLETE,0.4619498110464385,64_32,relu,0.9911763751264776,0.002165633192276974,500
25,PRUNED,0.44451930916698057,64_32,relu,0.18267340331599172,0.005794047858993858,500
26,PRUNED,0.43287947254693876,64,tanh,0.38751007085401046,0.0012086722552092715,500
27,PRUNED,0.4329245357788185,128_64_32,relu,0.014559684488084342,0.00293098283603121,500
28,PRUNED,0.44664355734075994,128_64,relu,0.05186964935497512,0.0007162594283671038,1000
29,PRUNED,0.4391610474828401,64_32,relu,0.14928350196808907,0.006517450458300677,1500
30,PRUNED,0.3848500183950516,64_32,relu,0.4615673208380231,0.0004223849586485158,1000
31,COMPLETE,0.46284271646537506,64_32,relu,0.9580225316336121,0.0019118079921911298,500
32,COMPLETE,0.4583321018146864,64_32,relu,0.9376745837002686,0.001642537414945021,500
33,COMPLETE,0.46901260866661654,64_32,relu,0.3049200081623603,0.0031201480297685276,500
34,PRUNED,0.49838184593883383,64_32,tanh,0.5507412093240837,0.004213670630777195,500
35,PRUNED,0.5473019216586713,64,relu,0.003016891812256019,0.00210632972520753,500
36,PRUNED,0.4689203347818682,64_32,tanh,0.010236152960690782,0.0011355439412516115,500
37,PRUNED,0.4371166311056454,128_64_32,relu,0.12189572197078145,0.0008521438778766336,1500
38,PRUNED,0.49959558342519905,64_32,tanh,0.5525646513919363,0.003751730491161473,1000
39,PRUNED,0.4048109633275157,64,relu,0.005402294759555852,0.001393498632440975,500
40,PRUNED,0.43120493049978753,128_64_32,relu,0.044986841556339856,0.004727569244143982,1500
41,PRUNED,0.3726051646733991,64_32,relu,0.7727901245411869,0.001675064479428221,500
42,PRUNED,0.47189817330959954,64_32,relu,0.2424407439447552,0.00010704401996178635,500
43,PRUNED,0.5240978884952321,64_32,relu,0.9527121047372044,0.0025083694787124107,500
44,PRUNED,0.3950758854882199,64_32,relu,0.5818132234029936,0.0017392513637633077,500
45,PRUNED,0.3858241060817756,64_32,relu,0.28700166947795647,0.0005950374389210003,500
46,PRUNED,0.43870760485959454,128_64,relu,0.08207319177808167,0.003510834938810601,500
47,PRUNED,0.4844009394446338,64_32,tanh,0.00014944398975991462,0.001547865790257275,500
48,PRUNED,0.40823051150636935,64_32,relu,0.1275856494516585,0.00019607547923012453,500
49,PRUNED,0.3776947414766262,64_32,relu,0.0006952912800091387,0.0008631882853251026,1000
