feature,importance
Vs_variance_c_l,0.05851218830368613
chi_range_x_r_avg,0.046404608709122976
χₐₗₗ,0.04593154565297259
mp_variance_c_l,0.04520586024817623
atwt_geometric_mean_all,0.04479818677412452
r_mean_l,0.04167320679566548
χ⁺(excl Li⁺) - χ⁻,0.04154578627205002
entropy_c_l,0.04104826613201281
ir_mean_square_all,0.04049408544041912
d_mean_c,0.03963890788678259
s_mean_square_c,0.03693672107246335
field_x_r_diff,0.036627466619331306
χ⁺(incl Li⁺) - χ⁻,0.036332856246157424
rₐₗₗ (pm),0.032980403859555314
r⁺(excl Li⁺) - r⁻,0.029257058805805498
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.027988009616808467
family,0.027006683897630772
n_Li × r⁻ (pm),0.02681849703287694
r_ratio_x_chi_diff,0.025460896960298622
r⁺(incl Li⁺) (pm),0.025332997458388795
ρ⁺(excl Li⁺) (C m⁻³),0.024439284477138112
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.02235412203401291
r⁺(incl Li⁺) - r⁻,0.022119939088781883
n_Li,0.0202122608808714
nₕₒₛₜ cₐₜᵢₒₙ,0.019365023613795725
r⁺(incl Li⁺) / r⁻,0.01819264015405965
χ⁺(excl Li⁺),0.017936715556615003
ρ⁺(incl Li⁺) (C m⁻³),0.016302482826864
ρ⁺(incl Li⁺) / ρ⁻,0.01569492575917874
log_rho_ratio,0.015292675607269558
ρ⁻ (C m⁻³),0.015157643648592598
r⁻ (pm),0.01461499358542157
χ⁻,0.01271169581583436
r⁺(excl Li⁺) (pm),0.01031275344291351
χₘₐₓ - χₘᵢₙ,0.005298609724322097
