feature,importance
r_mean_l,0.07070838630225984
ir_mean_square_all,0.0689504603667718
rₐₗₗ (pm),0.053555861046982275
χ⁺(incl Li⁺) - χ⁻,0.04917926780989564
ρ⁻ (C m⁻³),0.04339055998123707
r⁺(incl Li⁺) - r⁻,0.03884940609529491
nₕₒₛₜ cₐₜᵢₒₙ,0.0366835099044211
r⁻ (pm),0.036063062553548186
χₐₗₗ,0.03140241468372899
χ⁻,0.030943569459469477
field_x_r_diff,0.029988599811203644
chi_range_x_r_avg,0.02970851037638097
atwt_geometric_mean_all,0.029645585491202997
r_ratio_x_chi_diff,0.029213487254558
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.029127034623522233
d_mean_c,0.027787623700790177
log_rho_ratio,0.026344128638658756
ρ⁺(incl Li⁺) / ρ⁻,0.025846876224416684
n_Li × r⁻ (pm),0.025844452129841777
n_Li,0.025305740168636494
r⁺(incl Li⁺) / r⁻,0.022182846513162602
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.02122554086391155
χ⁺(excl Li⁺) - χ⁻,0.020396951930054055
mp_variance_c_l,0.02000455027976706
ρ⁺(excl Li⁺) (C m⁻³),0.019985894206753053
entropy_c_l,0.019312701478651006
r⁺(incl Li⁺) (pm),0.019225131489219224
s_mean_square_c,0.01810808811168096
ρ⁺(incl Li⁺) (C m⁻³),0.017183920275768462
χ⁺(excl Li⁺),0.01690915833838275
r⁺(excl Li⁺) - r⁻,0.01627197293030336
family,0.014990131968397623
r⁺(excl Li⁺) (pm),0.013942231861184347
Vs_variance_c_l,0.01237232483478065
χₘₐₓ - χₘᵢₙ,0.00935001829516229
