trial,state,value,param_max_features_type,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.4396592039468684,log2,700,10.0,20,9,
1,COMPLETE,0.43084991953445934,sqrt,400,10.0,10,8,
2,COMPLETE,0.40126401063032074,float,700,10.0,15,5,0.42787024763199866
3,COMPLETE,0.44551031856491496,log2,1000,30.0,16,10,
4,COMPLETE,0.37440359182825766,float,300,15.0,12,2,0.4530955012311517
5,COMPLETE,0.4340128006908567,float,300,5.0,4,9,0.8633468615779945
6,COMPLETE,0.4186248203361885,sqrt,400,10.0,16,6,
7,COMPLETE,0.3974481346979835,sqrt,500,30.0,6,5,
8,COMPLETE,0.4495538281869932,sqrt,400,5.0,18,6,
9,COMPLETE,0.36241166718196016,log2,200,10.0,6,2,
10,COMPLETE,0.3437029430349444,log2,200,20.0,2,1,
11,COMPLETE,0.3437029430349444,log2,200,20.0,2,1,
12,COMPLETE,0.3437029430349445,log2,200,20.0,2,1,
13,COMPLETE,0.3675253750376737,log2,1000,20.0,2,3,
14,COMPLETE,0.3597491198605703,log2,600,20.0,8,1,
15,COMPLETE,0.38451460988859676,log2,200,7.0,5,3,
16,PRUNED,0.38692163100755667,log2,300,,8,4,
17,COMPLETE,0.34230313388220024,log2,800,20.0,2,1,
18,PRUNED,0.39012021300656274,log2,800,20.0,12,3,
19,PRUNED,0.4026861617020168,float,900,15.0,4,7,0.9970262359174216
20,COMPLETE,0.3828446104733384,log2,800,7.0,8,2,
21,COMPLETE,0.3427826240909676,log2,600,20.0,2,1,
22,COMPLETE,0.34514627550061616,log2,700,20.0,4,1,
23,COMPLETE,0.3531628534911749,log2,600,20.0,2,2,
24,PRUNED,0.38553367917525705,log2,900,,4,4,
25,COMPLETE,0.35148689108702624,log2,500,20.0,6,1,
26,PRUNED,0.3854100790895364,log2,800,20.0,3,4,
27,COMPLETE,0.3702403886600014,log2,600,20.0,7,3,
28,PRUNED,0.373912683800151,sqrt,900,20.0,10,2,
29,PRUNED,0.39302323059988536,float,700,,20,1,0.6658098030519365
30,PRUNED,0.37143319840935374,log2,500,5.0,3,2,
31,COMPLETE,0.343377248704479,log2,300,20.0,2,1,
32,COMPLETE,0.34264455214741185,log2,300,20.0,3,1,
33,COMPLETE,0.3538141693120999,log2,400,20.0,5,2,
34,PRUNED,0.3657241458370692,log2,300,30.0,3,3,
35,COMPLETE,0.35041315646690546,log2,500,15.0,5,1,
36,PRUNED,0.41169172240371754,float,400,7.0,3,8,0.6631591974836992
37,PRUNED,0.42808514638319456,sqrt,300,20.0,4,10,
38,PRUNED,0.3878038874002019,log2,600,10.0,14,2,
39,PRUNED,0.38392647670768665,float,700,30.0,10,5,0.8549891443867176
40,PRUNED,0.37602508902699283,sqrt,1000,5.0,7,1,
41,COMPLETE,0.34337724870447894,log2,300,20.0,2,1,
42,COMPLETE,0.3546188466400285,log2,300,20.0,3,2,
43,COMPLETE,0.34323136649326774,log2,400,20.0,2,1,
44,COMPLETE,0.3538141693120999,log2,400,20.0,5,2,
45,COMPLETE,0.3432313664932678,log2,400,20.0,2,1,
46,PRUNED,0.42067904220660124,log2,400,15.0,3,9,
47,COMPLETE,0.3451741423007096,log2,500,20.0,4,1,
48,PRUNED,0.3651302126061573,sqrt,400,10.0,2,3,
49,PRUNED,0.40909565011343657,log2,500,20.0,5,6,
