ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,delta_anion,tau_cationic,family,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff,ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
6l9,Li4B7ClO12,,Li4 B7 Cl1 O12,2e-06,,,,,,,,,,,boracites,10.1107/s0567740877009443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1977,,,,,,2e-06,exact,2e-06,1.0,-5.698970004336019,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""O"", ""value"": -2.0}]",2.61,3.418461538461538,1.6545454545454548,2.04,-1.7639160839160835,-1.3784615384615382,2.46,89.64166666666665,141.4923076923077,28.363636363636363,6.0,-135.4923076923077,-113.12867132867133,0.04240513210829618,0.2004606245119456,154962873833178.94,27245752065.748817,338068616110858.1,531179622569200.6,12408.122018252196,338041370358792.4,0.32356902356902356,0.5,0.041666666666666664,0.2916666666666667,0.5,0.16666666666666666,0.080604299841196,1.1818181818181819,boracites,-0.35359571976848353,4.093706055565789,23.58205128205128,220.51849999999996,-36.60493371947917,11684.536666666665,0.0,72.5,13.454545454545455,0.0,0.0,0.0,12.835179346804974
yav,Li2VCl4,,Li2 V1 Cl4,6.95e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1002/zaac.19946200505; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,,6.95e-06,exact,6.95e-06,1.0,-5.158015195409886,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""V"", ""value"": 2.0}]",2.3185714285714285,3.16,1.1966666666666665,1.63,-1.9633333333333336,-1.5300000000000002,2.18,134.0,181.0,71.33333333333333,79.0,-102.0,-109.66666666666667,0.43646408839779005,0.39410681399631675,61378274673.71533,6449680150.445433,134616400704.74187,155139584596.68484,20.871794812250478,128166720554.29643,0.018315361775277386,0.02531645569620253,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,1.3333333333333333,chlorides,-0.7737630448127687,1.319559796623719,51.71428571428571,292.12,-2.0085846746887532,20913.92857142857,1.0,103.60000000000001,27.333333333333332,0.0,0.0,0.0,23.430938434237408
bjw,Li2MnCl4,,Li2 Mn1 Cl4,4.79e-06,,,,,,,,,,,chlorides,10.1016/0167-2738(83)90223-0,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: icsd-69678; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1983,,,,,,4.79e-06,exact,4.79e-06,1.0,-5.319664486585436,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Mn"", ""value"": 2.0}]",2.307142857142857,3.16,1.17,1.55,-1.9900000000000002,-1.61,2.18,134.57142857142858,181.0,72.66666666666667,83.0,-98.0,-108.33333333333333,0.4585635359116022,0.40147329650092084,58325956238.498886,6449680150.445433,127494324355.90349,133773355550.16972,19.767542169838975,121044644205.45805,0.01790867172393277,0.024096385542168676,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,0.0,1.3333333333333333,chlorides,-0.7989318600368326,1.2959526739452614,51.71428571428571,293.3657142857143,-1.9401061034260498,21006.5,1.6666666666666665,102.80000000000001,27.333333333333332,0.0,0.0,0.0,23.685120984547055
ib2,Li1.1Sc0.1Ti1.9P3O12,,Li1.1 Sc0.1 Ti1.9 P3 O12,0.000158,,,,,,,,,,,nasicon,10.1016/0167-2738(86)90179-7,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1986,,,,,,0.000158,exact,0.000158,1.0,-3.8013429130455774,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.872375690607735,3.44,1.755737704918033,1.9264,-1.684262295081967,-1.5136,2.46,105.34116022099445,138.2,40.700819672131146,34.80499999999999,-103.395,-97.49918032786884,0.2518451519536903,0.29450665464639036,6551681147842.835,28978758058.690765,19383226832664.105,23620178677923.277,668.8770717298236,19354248074605.414,0.16852200696100794,0.2023375892331704,0.0,0.2762430939226519,0.6629834254143646,0.06077348066298342,0.0,1.9672131147540985,nasicon,-0.4960264540716417,2.825346309135646,8.398895027624308,259.1392541436463,-16.43075754590568,13407.52962707182,0.639344262295082,79.65882352941178,40.31147540983606,0.7524177643476055,56108664700890.61,628103.4964000001,19.144843506746856
cmn,Li1.8Ti1.2Cr0.8P3O12,,Li1.8 Ti1.2 Cr0.8 P3 O12,0.00024,,,,,,,,,,,nasicon,10.1016/0167-2738(88)90291-3,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1988,,,,,,0.00024,exact,0.00024,1.0,-3.619788758288394,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""P"", ""value"": 5.0}]",2.8079787234042555,3.44,1.6926470588235296,1.9492,-1.7473529411764703,-1.4908,2.46,103.86702127659574,138.2,43.279411764705884,34.56,-103.63999999999999,-94.9205882352941,0.25007235890014473,0.3131650634204478,6306474037152.523,28978758058.690765,17384406882612.227,23598025629199.473,599.901722751663,17355428124553.535,0.15108571192091858,0.20014323487911595,0.0,0.26595744680851063,0.6382978723404255,0.09574468085106383,0.0,1.7647058823529411,nasicon,-0.5472098946414353,2.778080109112762,13.23191489361702,255.5128723404255,-14.341144649481778,13067.937765957447,0.9411764705882353,78.97647058823532,35.32352941176471,0.942216333812959,47793772105140.44,714921.8136,18.50629440091561
fwz,Li2SiS3,,Li2 Si1 S3,2e-06,,,,,,,,,,,thio_lisicon,10.1016/0025-5408(89)90053-6,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available；close match: Yes；close match DOI: mp-1210789; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,,2e-06,exact,2e-06,1.0,-5.698970004336019,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",1.9333333333333333,2.58,1.2866666666666666,1.9,-1.2933333333333334,-0.6800000000000002,1.6,120.0,184.0,56.0,33.0,-151.0,-128.0,0.1793478260869565,0.30434782608695654,757072013883.6611,12278644599.949677,1501865383167.3728,4256886531984.5776,122.31524179578649,1489586738567.423,0.05028058361391694,0.12121212121212122,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0,1.0,thio_lisicon,-0.3936231884057972,2.087480578175789,61.33333333333333,192.0,-6.4359147025813686,18628.25,0.0,106.25,18.0,0.0,0.0,0.0,18.832298540831772
11b,Li3P,,Li3 P1,0.000703,,,,,,,,,,,phosphates,10.1016/0167-2738(89)90438-4,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,,0.000703,exact,0.000703,1.0,-3.153044674980176,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": -3.0}]",1.2825,2.19,0.98,,-1.21,,1.21,103.625,212.0,67.5,,,-144.5,,0.31839622641509435,96276529982.65248,12041693654.298868,124354808758.77034,,10.327019797117647,112313115104.47147,0.014814814814814815,,0.0,0.0,0.25,0.75,0.0,0.3333333333333333,phosphates,-0.38525943396226414,1.013975009573517,159.0,125.38624999999999,-2.140740740740741,14653.1875,0.0,111.00000000000001,9.0,0.0,0.0,0.0,10.088231102138472
ctg,Li1.3La0.3Ti1.7P3O12,,Li1.3 La0.3 Ti1.7 P3 O12,0.000528,,,,,,,,,,,nasicon,10.1149/1.2096693,1,data/database/obelix/processed/all-v1.csv,,,,duplicate with line 274; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1989,,,,,,0.000528,exact,0.000528,1.0,-3.277366077466188,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.845464480874317,3.44,1.713015873015873,1.9036000000000002,-1.7269841269841268,-1.5363999999999998,2.46,105.77540983606556,138.2,44.01428571428571,37.908,-100.29199999999999,-94.18571428571428,0.27429811866859627,0.3184825304941079,6473813503505.734,28978758058.690765,18749689209119.15,23592276153212.85,647.0149331846916,18720710451060.457,0.16215460935694107,0.20046295593789387,0.0,0.27322404371584696,0.6557377049180327,0.07103825136612021,0.0,1.9047619047619049,nasicon,-0.5500142748850625,2.8109143043547378,9.817486338797814,260.2075081967213,-15.272647707004463,13467.17761384335,1.5396825396825395,80.24117647058824,43.12698412698413,0.8420953021316528,71451211122402.19,576846.4439999999,19.27392070988778
mdj,Li1.2Ti2Si0.2P2.8O12,,Li1.2 Ti2 Si0.2 P2.8 O12,8.6e-05,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,8.6e-05,exact,8.6e-05,1.0,-4.0655015487564325,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.85978021978022,3.44,1.7367741935483871,1.9183999999999997,-1.7032258064516128,-1.5216000000000003,2.46,105.19780219780219,138.2,41.32258064516129,35.04,-103.16,-96.87741935483871,0.2535455861070912,0.29900564866252743,6138027349113.047,28978758058.690765,17961992364056.96,22243025377328.523,619.8330628137509,17933013605998.27,0.16093242237799768,0.19600064819316154,0.0,0.27472527472527475,0.6593406593406593,0.06593406593406594,0.0,1.9354838709677418,nasicon,-0.5092741370768209,2.7922747384321385,9.112087912087912,258.7865934065934,-15.59071777050331,13351.971428571427,0.6451612903225807,79.64705882352942,39.806451612903224,0.8199696830860377,54806029106381.69,633610.3837759999,19.024503759486343
t1l,Li1.3Ti2Si0.3P2.7O12,,Li1.3 Ti2 Si0.3 P2.7 O12,0.00032,,,,,,,,,,,nasicon,10.1149/1.2086597,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=1990,,,,,,0.00032,exact,0.00032,1.0,-3.494850021680094,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",2.8479234972677596,3.44,1.7201587301587302,1.9126,-1.7198412698412697,-1.5273999999999999,2.46,105.07923497267758,138.2,41.992063492063494,35.36,-102.83999999999999,-96.2079365079365,0.25586107091172217,0.30384995290928724,5915737924286.049,28978758058.690765,17128612526623.875,21549719533268.805,591.0747621389862,17099633768565.184,0.15586856311752334,0.19254253767622753,0.0,0.27322404371584696,0.6557377049180327,0.07103825136612021,0.0,1.9047619047619049,nasicon,-0.5225736888527186,2.771642416128162,9.817486338797814,258.49491803278687,-14.995792823993977,13308.278961748634,0.6349206349206349,79.6764705882353,39.317460317460316,0.8680614510441254,54583515452764.64,631796.079156,18.909854352470855
