,median
χₐₗₗ,2.354707317073171
χ⁻,3.248921568627451
χ⁺(excl Li⁺),1.71153801534892
χ⁺(incl Li⁺) - χ⁻,-1.9908379953379955
χ⁺(excl Li⁺) - χ⁻,-1.5947
χₘₐₓ - χₘᵢₙ,2.46
rₐₗₗ (pm),117.30770308123252
r⁻ (pm),165.25397456279808
r⁺(incl Li⁺) (pm),67.51559251559252
r⁺(excl Li⁺) (pm),69.0
r⁺(excl Li⁺) - r⁻,-102.29
r⁺(incl Li⁺) - r⁻,-100.11125507832338
r⁺(incl Li⁺) / r⁻,0.3885666052793124
ρ⁻ (C m⁻³),14261445463.785164
ρ⁺(incl Li⁺) (C m⁻³),412060611050.1022
ρ⁺(excl Li⁺) (C m⁻³),582098706960.5773
ρ⁺(incl Li⁺) / ρ⁻,26.84866955371087
Φ⁺(incl Li⁺) (|Z| pm⁻¹),0.04337563846624555
Φ⁺(excl Li⁺) (|Z| pm⁻¹),0.0617753623188405
nₕₒₛₜ cₐₜᵢₒₙ,0.14652211249463284
n_Li,0.2661702127659574
delta_anion,0.0
tau_cationic,1.4721362229102168
r_ratio_x_chi_diff,-0.7692599473241456
log_rho_ratio,1.4289213469276287
n_Li × r⁻ (pm),40.30833333333333
chi_range_x_r_avg,271.997613559322
field_x_r_diff,-3.0486879585509
ir_mean_square_all,15836.139128086419
d_mean_c,3.0
r_mean_l,94.27096939727559
s_mean_square_c,37.090992647058826
entropy_c_l,0.6730116670092565
Vs_variance_c_l,10487252599134.695
mp_variance_c_l,191859.55440000002
atwt_geometric_mean_all,19.82112126111172
