ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,Z_by_element,χₐₗₗ,χ⁻,χ⁺(incl Li⁺),χ⁺(excl Li⁺),χ⁺(incl Li⁺) - χ⁻,χ⁺(excl Li⁺) - χ⁻,χₘₐₓ - χₘᵢₙ,rₐₗₗ (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),r⁺(excl Li⁺) (pm),r⁺(excl Li⁺) - r⁻,r⁺(incl Li⁺) - r⁻,r⁺(excl Li⁺) / r⁻,r⁺(incl Li⁺) / r⁻,ρₐₗₗ (C m⁻³),ρ⁻ (C m⁻³),ρ⁺(incl Li⁺) (C m⁻³),ρ⁺(excl Li⁺) (C m⁻³),ρ⁺(incl Li⁺) / ρ⁻,ρ⁺(incl Li⁺) - ρ⁻,Φ⁺(incl Li⁺) (|Z| pm⁻¹),Φ⁺(excl Li⁺) (|Z| pm⁻¹),nₕₐₗᵢdₑ,nₕₒₛₜ cₐₜᵢₒₙ,nₐₙᵢₒₙ,n_Li,delta_anion,tau_cationic,family,r_ratio_x_chi_diff,log_rho_ratio,n_Li × r⁻ (pm),chi_range_x_r_avg,field_x_r_diff,ir_mean_square_all,d_mean_c,r_mean_l,s_mean_square_c,entropy_c_l,Vs_variance_c_l,mp_variance_c_l,atwt_geometric_mean_all
liverpool_657_0544,Li0.2La0.66Ti0.8Al0.2O3,,Li0.2 La0.66 Ti0.8 Al0.2 O3,4.28e-05,,,,,,,,,,,perovskites,10.1021/cm011149s,0,data/database/liverpool/LiIonDatabase.csv,,,,source_id=657; measured_temperature_C=25; chemical_family=Oxides,,,,,,4.28e-05,exact,4.28e-05,1.0,-4.368556230986828,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6329218106995884,3.44,1.3311827956989248,1.3734939759036149,-2.108817204301075,-2.0665060240963853,2.46,116.1045267489712,138.2,80.46666666666667,82.0289156626506,-56.17108433734938,-57.73333333333332,0.5935522117413213,0.5822479498311627,193701376924.5185,28978758058.690765,459383020256.4989,499747865015.2614,15.852405383491902,430404262197.8081,0.0459525889114392,0.0497041279592253,0.0,0.3415637860082304,0.6172839506172839,0.0411522633744856,0.0,1.6129032258064515,perovskites,-1.227854493772985,1.2000951697410371,5.687242798353909,285.61713580246914,-2.652996133153756,14589.713422496568,8.311827956989248,92.51931330472104,83.46236559139786,0.9734697810147696,50441836985036.03,169374.27511351433,25.370421983377483
trv1_0145,Li2.1Zr0.9Fe0.1Cl6,,Li2.1 Zr0.9 Fe0.1 Cl6,0.0005,,,,,,,,,,,halides,10.1021/acsaem.6c01288,1,data/database/obelix/processed/all-v1.csv,,,,仅有σbulk；低掺杂量; synthesis_method=unknow; measured_temperature=RT; amorphous=否; source_year=2026,,,,,,0.0005,exact,0.0005,1.0,-3.3010299956639813,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""Fe"", ""value"": 3.0}]",2.4613186813186814,3.16,1.109032258064516,1.38,-2.050967741935484,-1.78,2.18,143.2554945054945,181.0,70.20161290322581,75.875,-105.125,-110.7983870967742,0.4191988950276243,0.3878542149349492,71730738162.75034,6449680150.445432,198081173025.27597,352906537984.93774,30.711782352741317,191631492874.8305,0.0266294518959006,0.0514401897661809,0.6593406593406593,0.1098901098901098,0.0,0.2307692307692307,0.0,1.9354838709677415,halides,-0.7954764834052926,1.4873050213762677,41.76923076923076,312.2969780219781,-2.950500319336922,23289.206730769238,3.67741935483871,105.17142857142856,37.193548387096776,0.3250829733914482,21015357852165.6,9044.01,26.852091429041824
v44,Li2.25Zr0.75In0.25Cl6,,Li2.25 Zr0.75 In0.25 Cl6,0.00108,,,,,,,,,,,halides,10.1016/j.cclet.2021.12.048,1,data/database/obelix/processed/all-v1.csv,,,,Curator row 44; ball-milled; tabulated value; corrected DOI; original 1.08 mS/cm; synthesis_method=球磨; measured_temperature=RT; amorphous=否; source_year=2022,,,,,,0.00108,exact,0.00108,1.0,-2.96657624451305,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.444054054054054,3.16,1.1223076923076922,1.4425,-2.037692307692308,-1.7175,2.18,142.3108108108108,181.0,70.88461538461539,78.5,-102.5,-110.1153846153846,0.4337016574585635,0.3916277093072673,66626402979.7867,6449680150.445432,177721891280.10904,297797826953.1211,27.5551480282065,171272211129.6636,0.0249753451676528,0.0478365384615384,0.6486486486486487,0.1081081081081081,0.0,0.2432432432432432,0.0,1.8461538461538465,halides,-0.7980167707345779,1.4402027484284672,44.02702702702702,310.23756756756757,-2.7501697390380753,23024.92567567568,4.307692307692308,105.4642857142857,37.0,0.5623351446188083,65646206696655.31,540759.94921875,26.573836365859123
4ie,Li6.05La3Zr2Ga0.25O11.8F0.2,,Li6.05 La3 Zr2 Ga0.25 O11.8 F0.2,0.00128,,,,,,,,,,,garnet,10.1021/acsami.8b17656,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2019,,,,,,0.00128,exact,0.00128,1.0,-2.8927900303521317,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}]",2.305987124463519,3.449,1.0921681415929203,1.2214285714285715,-2.3568318584070798,-2.2275714285714283,3.0,111.23540772532188,138.07375,82.73451327433628,100.29047619047618,-37.783273809523806,-55.33923672566371,0.7263544025600536,0.5992052310764087,91162306236.0146,28781764078.30429,157407129766.32645,195495994927.4149,5.468988257220135,128625365688.02216,0.0249209418641475,0.0365670501781405,0.0085836909871244,0.2253218884120171,0.5064377682403434,0.259656652360515,0.0070233817120807,1.0619469026548671,garnet,-1.412225978325056,0.7379069908769293,35.851767703862656,333.70622317596565,-1.3791059012465614,13378.484483190272,7.920353982300885,91.85217391304349,62.1637168141593,0.8324075743474855,21179186414268.52,272291.04435827665,20.09905164161093
hav,Li2.2Zr0.8Al0.2Cl6,,Li2.2 Zr0.8 Al0.2 Cl6,0.00099,,,,,,,,,,,halides,10.1016/j.ensm.2024.103444,1,data/database/obelix/processed/all-v1.csv,,,,Source data/add-data-LZACO.txt; crystalline; original 0.99 mS/cm; Ea=0.335 eV; synthesis_method=unknow; measured_temperature=RT; amorphous=否; source_year=2024,,,,,,0.00099,exact,0.00099,1.0,-3.0043648054024503,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.445869565217392,3.16,1.106875,1.386,-2.053125,-1.774,2.18,141.97282608695653,181.0,68.796875,71.65,-109.35,-112.203125,0.3958563535911602,0.3800932320441988,87186912963.33093,6449680150.445432,238569224487.4912,489840939090.6771,36.98931093056064,232119544337.04575,0.027059752059752,0.053998613998614,0.6521739130434783,0.108695652173913,0.0,0.2391304347826087,0.0,1.875,halides,-0.7803789170407457,1.568076240970907,43.28260869565217,309.5007608695653,-3.0361887428293612,23030.952445652176,3.0,105.0,33.4375,0.5004024235381879,79580228999204.0,228304.307344,25.90641334474183
r99,Li0.14La0.62Mg0.5W0.5O3,,Li0.14 La0.62 Mg0.5 W0.5 O3,1.2e-05,,,,,,,,,,,perovskites,10.1016/j.ssi.2004.05.010,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2004,,,,,,1.2e-05,exact,1.2e-05,1.0,-4.920818753952375,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.6563445378151265,3.44,1.320568181818182,1.35,-2.119431818181818,-2.09,2.46,117.50196078431374,138.2,82.22121212121213,83.49341563786008,-54.70658436213991,-55.978787878787855,0.6041491724881338,0.594943647765645,234032967595.19385,28978758058.690765,583557188396.0513,623241344661.0015,20.137411935120586,554578430337.3605,0.0513756385932848,0.0545352159568563,0.0,0.3403361344537815,0.6302521008403361,0.0294117647058823,0.0,1.7045454545454546,perovskites,-1.260942497099664,1.3040036541758873,4.064705882352934,289.0548235294118,-2.8759459749507568,14832.562399626517,14.215909090909088,92.37662337662336,102.57954545454544,1.093246752419975,55234713466385.9,1480032.098765432,27.93494990859533
kji,Li6.4La3Zr1.4Ta0.6O12,,Li6.4 La3 Zr1.4 Ta0.6 O12,0.001,,,,,,,,,,,garnet,10.1039/c2jm31413d,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.2109/jcersj2.19022; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2012,,,,,,0.001,exact,0.001,1.0,-3.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.2911965811965813,3.44,1.0819298245614035,1.2124,-2.3580701754385966,-2.2276,2.46,111.02136752136752,138.2,82.41228070175437,101.5,-36.7,-55.78771929824562,0.7344428364688856,0.5963261989996699,91821216130.61942,28978758058.690765,157971171995.80746,201000116939.2149,5.451274746690937,128992413937.1167,0.0250648588123227,0.0381849151291328,0.0,0.2136752136752137,0.5128205128205129,0.2735042735042735,0.0,1.0526315789473684,garnet,-1.406179024693783,0.7364980712158878,37.79829059829059,273.1125641025641,-1.3983113076720168,13341.20868945869,8.210526315789476,90.96470588235294,62.80701754385967,0.917357387831214,374554946717.8266,508851.4464000001,19.8374881895504
trv1_0029,Li2.99Y0.99Zr0.01Br1.6Cl4.4,,Li2.99 Y0.99 Zr0.01 Br1.6 Cl4.4,0.000751,,,,,,,,,,,halides,10.1007/s10008-023-05612-9,1,data/database/obelix/processed/all-v1.csv,,,,1% Zr与Br双掺；全文最优; synthesis_method=unknow; measured_temperature=RT; amorphous=否; source_year=2023,,,,,,0.000751,exact,0.000751,1.0,-3.1243600629958315,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""Br"", ""value"": -1.0}, {""element"": ""Cl"", ""value"": -1.0}]",2.2814114114114115,3.106666666666667,1.0404260651629071,1.2211,-2.06624060150376,-1.8855666666666668,2.18,140.90045045045045,185.0,74.58533834586464,95.77049999999998,-89.22950000000002,-110.41466165413536,0.5176783783783783,0.4031639910587278,54067724015.99898,6084251132.197586,126223322337.50482,131810177937.9209,20.745909331312216,120139071205.30724,0.0189881550092917,0.0314664421907777,0.6006006006006006,0.1001001001001,0.0,0.2992992992992993,0.0358554031389772,1.5037593984962403,halides,-0.8330338073898423,1.3169324755070506,55.370370370370374,307.162981981982,-2.0965707107872182,22864.1006981982,2.759398496240601,111.40428571428572,31.80701754385965,0.0560015343548473,64074779902.09981,1071.5858999999998,27.175770419417244
b7v,Li5La3(BiO6)2,,Li5 La3 Bi2 O12,2.2e-05,,,,,,,,,,,garnet,10.1016/j.ssi.2017.03.030,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,,2.2e-05,exact,2.2e-05,1.0,-4.657577319177793,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.421818181818182,3.44,1.2,1.42,-2.24,-2.02,2.46,113.85454545454544,138.2,84.64,101.78,-36.41999999999999,-53.55999999999999,0.7364688856729379,0.6124457308248915,92962628282.7005,28978758058.690765,169743272551.5122,215131736344.2541,5.857506805768924,140764514492.82144,0.0281304464423722,0.0414460780699296,0.0,0.2272727272727272,0.5454545454545454,0.2272727272727272,0.0,1.2,garnet,-1.371878437047757,0.767712801870993,31.4090909090909,280.08218181818177,-1.5066667114534547,13908.333333333332,12.3,92.05882352941175,76.5,0.6730116670092565,103458999443646.92,100963.6704,22.445216876788955
caltech_icsd_264522,Li6.74La3Hf2Al0.08O12,,Li6.74 La3 Hf2 Al0.08 O12,8e-05,,,,,,,,,,,garnet,10.1016/j.jpowsour.2018.04.066,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,264522.0,,,8e-05,exact,8e-05,1.0,-4.096910013008056,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Hf"", ""value"": 4.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}]",2.263392107472712,3.44,1.0688663282571913,1.186771653543307,-2.3711336717428084,-2.2532283464566927,2.46,109.90554156171284,138.2,81.18020304568527,99.33070866141732,-38.86929133858267,-57.01979695431472,0.7187460829335552,0.5874110205910658,96676123917.91718,28978758058.690765,165404414130.32977,219867866926.45383,5.707781327113319,136425656071.639,0.0246872753919948,0.0377857762365211,0.0,0.2132661628883291,0.5037783375314862,0.2829554995801847,0.0,1.015228426395939,garnet,-1.3928300500762842,0.7564673263474466,39.10445004198152,270.36763224181357,-1.4076634302067939,13135.950181919954,9.052453468697124,91.3934426229508,66.28934010152284,0.743407140413312,8303882276462.222,416781.7089233679,20.34271450358653
