trial,state,value,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha
0,COMPLETE,0.4570565453153462,3,1600,0.06813099824138592,7,59,0.9162213204002109,0.5274034664069657,0.007151383480402496,5.079849520995651e-07
1,COMPLETE,0.4390889712158913,6,1300,0.09054594344647797,18,33,0.7962072844310213,0.42787024763199866,0.7158714383119805,3.855227306468056e-07
2,COMPLETE,0.47227908337665053,4,500,0.031065126086242026,7,55,0.6293899908000085,0.7975133706123891,0.029155533757373397,0.0006873346920856936
3,COMPLETE,0.4916040806879728,4,500,0.010302587393796307,7,23,0.6943386448447411,0.5628094190643376,7.838134236608707,2.0805271744540534e-05
4,COMPLETE,0.4451064772104439,7,300,0.10124839170683374,47,45,0.8856351733429728,0.44442679104045424,0.04835258599682954,1.1959185386907425e-07
5,COMPLETE,0.4342483355944225,-1,2300,0.028542147308832165,13,44,0.8803925243084487,0.7367663185416977,4.195190175255903,0.0003915684153351892
6,COMPLETE,0.44659835069027826,7,2300,0.012541547022380126,30,47,0.6143990827458112,0.44618794589727584,0.02298970433527325,3.158813814759155e-07
7,COMPLETE,0.42232361867055557,-1,2100,0.13632076811780444,25,11,0.6139675812709708,0.6562646731757538,6.979540765301023,1.0131668534197416
8,PRUNED,0.3997910946015753,8,1400,0.06687265276473395,27,59,0.9812236474710556,0.5510693774952184,0.21704801275666116,6.287502701306918e-06
9,COMPLETE,0.42427747613604117,8,600,0.030416041299946003,63,18,0.8360677737029393,0.8569717691972305,0.013081323658598947,0.05931466771169788
10,PRUNED,0.4016947725828865,5,1900,0.1787420026976868,24,5,0.5193625999805914,0.975862447567252,37.80747516031668,10.352501001707477
11,COMPLETE,0.4128932505094565,-1,900,0.018597283282763298,61,11,0.7409481648316648,0.8716448625177555,0.0025910223171523522,0.44411365237381617
12,PRUNED,0.5228491386756765,-1,1100,0.017603882995810383,46,6,0.7042257209786791,0.6546984799111754,0.001438199276284204,17.25714824694535
13,PRUNED,0.41125220128045753,-1,900,0.005668556987876377,40,16,0.5127747474052715,0.9239870037577447,0.4999558033625193,0.20913743590562375
14,PRUNED,0.4091177276028166,10,2000,0.14541732629077195,63,28,0.6201424721738792,0.6707693675530373,3.361843100961712,0.07825066960080047
15,COMPLETE,0.4158091662072513,-1,2500,0.01945966304406648,53,13,0.7498651102346463,0.779590747337984,0.0011827223934645777,0.8352163847302402
16,COMPLETE,0.42609862225385786,-1,1700,0.01685292052814899,54,34,0.7580143193422604,0.8415346584380238,0.0013424601058819041,0.005861700073815664
17,PRUNED,0.44689360587017696,3,900,0.006651655612476781,8,15,0.7102220170007185,0.7582121016197354,0.002177139349438548,0.979473771501469
18,PRUNED,0.40169614309414853,6,2500,0.04958715447194597,56,24,0.7957588354978629,0.8912541028492773,0.004040985820088894,0.004733211411148127
19,COMPLETE,0.4201510686148152,10,1100,0.021945322707167116,55,12,0.7569405787682556,0.9847519835949403,0.09223451954356109,2.0580615945216385
20,PRUNED,0.3995579413111014,5,800,0.008607787497567456,18,21,0.6694682925199675,0.7967282505177793,0.0051394684129184975,0.00815857677700877
21,COMPLETE,0.4198907027657393,10,1100,0.01739321431947992,56,10,0.7567057639235258,0.9880512764466594,0.10711113330844195,1.799780355226133
22,PRUNED,0.40050675938309704,10,1600,0.013379823155493074,48,10,0.8092255669722783,0.9687234147916216,0.001152767701763568,0.3678071536298123
