feature,importance
family,11.024729241330661
mean_r_all_pm,7.390679380816612
a_r_plus_incl_minus_r_minus,5.686111595160854
mean_atwt_geometric_mean_all,4.7648382802633895
composition_L1_distance,4.675652809168669
mean_field_x_r_diff,4.669752319092305
a_chi_range_x_r_avg,3.937888735145525
delta_chi_all,3.68236008830502
a_phi_plus_excl_li,3.2000228965041924
delta_r_plus_incl_li_pm,2.9325182055258048
delta_n_li_x_r_minus_pm,2.854631056418261
delta_chi_range_x_r_avg,2.658333963657637
mean_entropy_c_l,2.635917719857387
abs_delta_field_x_r_diff,2.5795134889850364
mean_log10_phi_plus_incl_li,2.402542611858913
a_r_plus_excl_minus_r_minus,2.3563782281022134
delta_entropy_c_l,2.2844713435182915
abs_delta_entropy_c_l,1.8527858302210585
delta_r_plus_excl_minus_r_minus,1.8521483178916098
a_chi_plus_excl_minus_chi_minus,1.775083235836831
a_r_all_pm,1.6583216235855935
a_chi_plus_incl_minus_chi_minus,1.6272289422137065
delta_atwt_geometric_mean_all,1.5441569751745337
a_n_li_x_r_minus_pm,1.4876572815172378
a_rho_plus_excl_li_c_m3,1.4833474969913385
delta_field_x_r_diff,1.4105156236383665
mean_n_Li,1.3955987301038923
delta_chi_plus_incl_minus_chi_minus,1.3723394856423121
delta_chi_plus_excl_minus_chi_minus,1.365410551574552
delta_log10_rho_plus_incl_li,1.1189382408547077
mean_log10_rho_plus_incl_li,1.105383425605835
delta_r_plus_incl_minus_r_minus,1.0585078055695332
abs_delta_log10_rho_plus_incl_li,0.9828171855592762
delta_n_Li,0.9628710518892241
delta_ir_mean_square_all,0.9300177354768779
a_field_x_r_diff,0.9201814230146356
delta_log_rho_ratio,0.8307780743416152
delta_rho_plus_excl_li_c_m3,0.7912799292899244
a_r_plus_incl_li_pm,0.7056763400504569
delta_phi_plus_excl_li,0.6595896174046292
a_chi_all,0.6125517756926829
abs_delta_log10_phi_plus_incl_li,0.5608892751831333
delta_r_all_pm,0.1995820619656736
