feature,importance
a_chi_range_x_r_avg,980.0
mean_r_all_pm,956.0
abs_delta_field_x_r_diff,937.0
mean_atwt_geometric_mean_all,868.0
composition_L1_distance,863.0
delta_chi_range_x_r_avg,827.0
mean_field_x_r_diff,794.0
delta_entropy_c_l,753.0
a_r_all_pm,728.0
a_chi_plus_excl_minus_chi_minus,714.0
a_chi_all,709.0
mean_n_Li,707.0
delta_chi_plus_excl_minus_chi_minus,700.0
a_r_plus_incl_minus_r_minus,669.0
mean_entropy_c_l,631.0
a_r_plus_excl_minus_r_minus,610.0
a_chi_plus_incl_minus_chi_minus,600.0
delta_chi_all,586.0
delta_chi_plus_incl_minus_chi_minus,545.0
delta_field_x_r_diff,543.0
delta_r_plus_incl_li_pm,535.0
delta_r_plus_excl_minus_r_minus,533.0
delta_r_plus_incl_minus_r_minus,528.0
mean_log10_rho_plus_incl_li,516.0
a_n_li_x_r_minus_pm,500.0
delta_atwt_geometric_mean_all,498.0
a_field_x_r_diff,473.0
a_phi_plus_excl_li,468.0
mean_log10_phi_plus_incl_li,466.0
delta_rho_plus_excl_li_c_m3,452.0
delta_ir_mean_square_all,452.0
delta_log_rho_ratio,447.0
a_r_plus_incl_li_pm,446.0
delta_log10_rho_plus_incl_li,438.0
delta_n_Li,433.0
delta_phi_plus_excl_li,422.0
delta_r_all_pm,422.0
abs_delta_log10_phi_plus_incl_li,418.0
delta_n_li_x_r_minus_pm,384.0
abs_delta_log10_rho_plus_incl_li,374.0
a_rho_plus_excl_li_c_m3,274.0
abs_delta_entropy_c_l,243.0
family,95.0
