trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5317539961522039,4.405409,3,600,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451,0.28003902315154267,0.05486307970150616,"[0.43223165396434565, 0.5866497167789205, 0.5359072700149509, 0.5774391985762409, 0.5265421414265615]"
1,COMPLETE,0.5119077899848521,5.476105,8,300,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923,0.26325310385599987,0.08629365335421159,"[0.3502142639911752, 0.5846551037413045, 0.5866337304778867, 0.5115704164669314, 0.5264654352469625]"
2,COMPLETE,0.4691125657050151,1.033708,6,200,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934,0.24465758218908365,0.09730581981315162,"[0.33465377037181493, 0.4925302925376969, 0.6219250847016723, 0.49561071046933886, 0.4008429704445526]"
3,COMPLETE,0.5070037969101756,9.00482,8,600,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195,0.26769920110554457,0.07847869250839078,"[0.35621209156720707, 0.5192853027423593, 0.5848908271712968, 0.5364270416359226, 0.5382037214340928]"
4,COMPLETE,0.5334144841493702,4.539556,4,600,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535,0.2687702238449911,0.06642802887651465,"[0.446621925619526, 0.5218052319600633, 0.645623962303623, 0.4972754035379152, 0.5557458973257235]"
5,PRUNED,0.4443580537571031,1.318036,8,300,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745,,,
6,PRUNED,0.40655263134657177,1.692533,6,400,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583,,,
7,PRUNED,0.4083731090001832,0.80842,4,600,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245,,,
8,PRUNED,0.39946092343521106,1.347143,3,600,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965,,,
9,COMPLETE,0.5203968903541775,6.829131,6,400,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537,0.26910078501685575,0.08262310701885452,"[0.36228364836421956, 0.5828114882802367, 0.5902916836163774, 0.5364059251138178, 0.5301917063962359]"
10,PRUNED,0.4349496921100801,2.065608,4,500,0.019806335738060944,11,41,0.7521171841007243,0.97988537297271,0.01620963590242718,2.157432121183291,,,
11,COMPLETE,0.5454882933129067,12.521728,-1,500,0.04538120817461898,52,39,0.9976023733459172,0.9677809380407123,2.5492293951261724e-06,1.0088133831969546,0.2797848987716899,0.0940997856524431,"[0.36072616076931235, 0.5967909590658632, 0.6158626431869997, 0.5602614740937867, 0.5938002294485716]"
12,COMPLETE,0.539192911169222,8.96326,-1,500,0.03748877101560616,62,39,0.7413584553307843,0.8731455439722077,3.86751187825014e-05,1.1168605070648874,0.28077633953302883,0.08255597208223293,"[0.3853034313671338, 0.560002503274243, 0.6317850459728295, 0.5425622651011199, 0.5763113101307834]"
13,PRUNED,0.4720259264235539,3.310556,-1,500,0.03698053526815329,63,38,0.7395400332977353,0.8889878175920248,7.628989077892389e-06,1.1724308873059208,,,
14,PRUNED,0.44836167344983424,5.89718,-1,500,0.03495337593931401,63,34,0.9896240049663403,0.9779490365724584,1.5616116827645645e-05,0.29680358870408263,,,
15,COMPLETE,0.5438641015917874,6.975444,-1,400,0.0451580050296452,52,24,0.774884122831695,0.8725209966026515,4.0321549527135934e-07,4.8431460957684775,0.2808939561444215,0.06299257620509155,"[0.4551084953494689, 0.5246939813558736, 0.6512931678365562, 0.5493155329738119, 0.538909330443227]"
16,COMPLETE,0.5445840035484009,7.74555,10,400,0.06757075586105551,50,19,0.7998454094805125,0.8285726521637807,4.0747411637702695e-07,5.2568876247189635,0.2837814222478317,0.07573897970697716,"[0.4136991903272977, 0.5394139819274977, 0.6489616145510103, 0.552422839030969, 0.5684223919052295]"
17,PRUNED,0.5203135197256146,4.173221,10,300,0.07850599435581673,48,17,0.918350977440793,0.8137099133074838,8.8263826414598e-07,28.26277254618955,,,
18,PRUNED,0.4564973254780379,1.302098,5,200,0.13172748706526088,31,18,0.8366070683982904,0.9481730881036899,2.304495091190707e-07,5.510356928807617,,,
19,PRUNED,0.4516222772657776,4.34401,10,400,0.06193229498222446,52,31,0.9527654642149874,0.8163151963811591,0.00012104443336685521,0.09748322774851832,,,
20,PRUNED,0.449696549245043,3.444326,10,500,0.08679380199629456,41,44,0.8740043281233191,0.6719013521976339,1.2722974438529015e-08,0.4726980421939859,,,
21,COMPLETE,0.5413522701076791,7.30936,-1,400,0.05037082030953316,54,23,0.796161469408817,0.8564061925509617,2.817916841614123e-07,4.778713384852663,0.2845451933919116,0.07820517638472863,"[0.40475023804924587, 0.5477730815947269, 0.6491661883484443, 0.5509679590626562, 0.5541038834833221]"
22,COMPLETE,0.5409802729301223,5.277073,-1,300,0.05005078294553241,55,25,0.7729512142769732,0.9240882513630926,2.897952092914126e-06,4.486360607593283,0.27973169502021644,0.06539145431144128,"[0.4464328457655314, 0.5226119331517008, 0.6506577145497711, 0.5484822503724157, 0.5367166208111922]"
23,PRUNED,0.45221215627169004,2.587624,5,400,0.031077969087577907,31,17,0.8279415426835707,0.9980240983781206,2.579708256605169e-07,0.6895298073449174,,,
24,COMPLETE,0.5422070888283881,7.470071,10,500,0.06540070556976053,46,34,0.7088280391301047,0.8474261266206308,2.680507093650487e-06,3.190870468270549,0.28032761648579985,0.08399724750687053,"[0.39547712293114395, 0.5818888940510151, 0.6444728125482216, 0.5154123064991872, 0.5737843081123724]"
25,COMPLETE,0.5544091858972742,6.449265,-1,400,0.047317461414496394,58,13,0.6029499693477649,0.7816947961169898,7.646786931235963e-08,9.004664111527058,0.2855813316201191,0.06368148057464171,"[0.4517926465074143, 0.5675953931069913, 0.6503350736964415, 0.5379373286773507, 0.5643854874981731]"
26,COMPLETE,0.5551269973671255,7.629111,-1,400,0.10030961871684427,57,12,0.6551030051901646,0.7021990805200651,8.018391532539752e-08,9.301099612567212,0.2849558760272548,0.05509638367571773,"[0.46385143042507454, 0.5948824478854121, 0.6115260318523053, 0.5848867579901545, 0.5204883186826804]"
27,COMPLETE,0.5691860513465448,5.762989,-1,300,0.1039417758066679,58,12,0.6330187745140584,0.6990881068896797,5.8925575071187754e-08,10.003624103309997,0.28958064568488723,0.06913096060453955,"[0.4668627888084849, 0.5514369923579708, 0.6823305560340532, 0.5845808682616817, 0.5607190512705328]"
28,COMPLETE,0.566219760093653,5.072425,-1,300,0.1482063673882234,58,12,0.6077089369754517,0.6966736050318624,6.569134535030461e-08,13.734874690664064,0.2906244413853881,0.06264630506945408,"[0.4535088425133211, 0.5804987815121732, 0.6467721071189919, 0.5809317331101501, 0.5693873362136291]"
29,COMPLETE,0.5359309017281328,4.832535,-1,300,0.14211248368014562,58,11,0.6337326785466226,0.6946872672264233,7.29756863063913e-08,29.573465590482837,0.2748327564507684,0.05706177028034912,"[0.4463118111071296, 0.5661818056668867, 0.6121376936714413, 0.5012029969594264, 0.5538202012357801]"
30,PRUNED,0.4644312524140167,0.654233,3,200,0.1031995056652267,7,5,0.6041351766848779,0.715806028468672,6.369997077759762e-08,13.865831653974523,,,
31,COMPLETE,0.5713041842497567,5.47046,-1,300,0.11633547774125662,58,12,0.6071564227249756,0.7787600610872776,1.0062460475383238e-08,9.488588262138238,0.28951044346081717,0.07622395254459795,"[0.45376827748749293, 0.6036747922621964, 0.6882704487302371, 0.554644975852982, 0.5561624269158754]"
32,PRUNED,0.4369957875879876,4.405225,-1,300,0.11923779323427608,60,14,0.6434462428418686,0.7210465837560295,1.1197657466284527e-08,0.0012763537028656286,,,
33,COMPLETE,0.5739782634482553,3.906009,-1,200,0.14814775168397484,44,9,0.6632516138274464,0.6591613608712173,5.32333718592581e-08,9.864000043705829,0.2931237698127066,0.06068991901028141,"[0.460935747106246, 0.5942603754619923, 0.6445385925842378, 0.585844806638486, 0.5843117954503141]"
34,COMPLETE,0.5309947029310097,3.175873,-1,200,0.13321608402611643,44,10,0.6196491454745038,0.635529939188181,1.2115651664581028e-08,23.13902789616741,0.2751126368037844,0.05799320359488008,"[0.4453835083659416, 0.5589574237342282, 0.6213760960339639, 0.5150463956746516, 0.5142100908462631]"
35,COMPLETE,0.5464015844784335,4.616214,8,200,0.1419328667270942,39,9,0.6635587530975928,0.7833852895309387,0.0053906111051997725,2.1265601926406363,0.2796749842278532,0.08036868134394966,"[0.41343099857569326, 0.6210451207929254, 0.6366073910618892, 0.5163629974777941, 0.5445614144838652]"
36,COMPLETE,0.5639406899700627,5.084141,-1,300,0.11965374514971519,45,15,0.7089990592222863,0.6250618865347528,3.8176068415162173e-08,8.566158501066916,0.2885473867991123,0.057553346326053724,"[0.46749868828789737, 0.5511324237327998, 0.6449939139951226, 0.5860910821074263, 0.5699873417270677]"
37,PRUNED,0.2643351794361251,0.387013,5,200,0.1495510721176102,29,21,0.6219890536050763,0.7345775160917183,6.8657275946606875,0.004424976098918862,,,
38,PRUNED,0.48509596568480884,2.342898,6,300,0.10798054815278073,37,8,0.6751700769055605,0.669548956565556,1.0724260240424127e-06,0.06691363464762735,,,
39,PRUNED,0.4191922591598216,0.712818,3,200,0.09024276268842348,7,15,0.6977223701889128,0.5446767938921809,1.5715439679007336e-07,14.708331766701022,,,
