feature,importance
mean_r_all_pm,0.05099867771484085
a_r_all_pm,0.04165677432428452
a_r_plus_incl_minus_r_minus,0.04070641701371956
mean_field_x_r_diff,0.0391829560125819
a_chi_range_x_r_avg,0.03878278731288659
a_phi_plus_excl_li,0.03259362142566823
mean_atwt_geometric_mean_all,0.032570182514371965
a_chi_plus_incl_minus_chi_minus,0.029929061842576817
a_field_x_r_diff,0.028199035984102033
mean_log10_phi_plus_incl_li,0.025295835190228086
mean_log10_rho_plus_incl_li,0.02527045683031849
a_r_plus_excl_minus_r_minus,0.02525446274925157
a_rho_plus_excl_li_c_m3,0.024773877903671453
a_chi_plus_excl_minus_chi_minus,0.024368613905556134
a_r_plus_incl_li_pm,0.023449717327830015
a_n_li_x_r_minus_pm,0.02295517028155092
a_chi_all,0.022873485075947442
delta_chi_all,0.02163792263424079
composition_L1_distance,0.021549139652146446
delta_atwt_geometric_mean_all,0.02136962261862264
abs_delta_field_x_r_diff,0.02097074572954842
mean_n_Li,0.020905940607285133
delta_log_rho_ratio,0.020008620820360267
delta_chi_range_x_r_avg,0.019038030331865373
delta_field_x_r_diff,0.01896243883769935
delta_n_li_x_r_minus_pm,0.01879346445853527
delta_r_plus_incl_li_pm,0.018384035659586944
delta_chi_plus_incl_minus_chi_minus,0.017705616666703724
delta_r_plus_incl_minus_r_minus,0.017095338125519114
mean_entropy_c_l,0.017059693207055783
delta_entropy_c_l,0.016934867023446133
delta_n_Li,0.016879533561521713
delta_r_plus_excl_minus_r_minus,0.01684423021512012
delta_ir_mean_square_all,0.016263047419397842
delta_r_all_pm,0.01613518767983521
delta_log10_rho_plus_incl_li,0.01611969690382951
abs_delta_log10_rho_plus_incl_li,0.015481402396061794
abs_delta_entropy_c_l,0.015184740142943806
family_halides,0.015042030983283904
delta_chi_plus_excl_minus_chi_minus,0.013789187330652026
delta_rho_plus_excl_li_c_m3,0.013338061412315527
abs_delta_log10_phi_plus_incl_li,0.01306530537927648
delta_phi_plus_excl_li,0.012504360608309147
family_lgps,0.004029676972043734
family_chlorides,0.003162935809438594
family_oxyhalides,0.002031065333324645
family_chalcogenidotetrelates,0.0014602171354752272
family_garnet,0.0014433858755047964
family_argyrodites,0.0010794235664906937
family_perovskites,0.0010304414032598875
family_lisicon,0.0009657499834313111
family_Thiophosphate mixture,0.0009472196900740431
family_oxides,0.0009267387518911241
family_thio_lisicon,0.0009082727171822696
family_thio_phosphate,0.0008316388336683052
family_nasicon,0.0004502923742583842
family_sulfides,0.00028002655984811807
family_antiperovskite,0.0002510197002336131
family_molybdates,0.00014113678224178994
family_lanthanumlithiumoxide,7.031634674886914e-05
family_phosphates,6.704835033554463e-05
family_hexaoxometalates,1.766481426140563e-18
family_garnet_like,0.0
family_hydrides,0.0
