trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1,param_max_features_float
0,COMPLETE,0.4961832376247817,14.536252,log2,500,10.0,20,9,0.2517622831174098,0.08088375299524009,"[0.3610485507025059, 0.46799332579424985, 0.5606303693327456, 0.4975957115364727, 0.5936482307579346]",
1,COMPLETE,0.5001842306538237,8.76738,sqrt,300,10.0,10,8,0.2528771259594964,0.07261916863755265,"[0.3656718257524165, 0.5110118540697987, 0.5654077182858693, 0.49629442326256784, 0.5625353318984656]",
2,COMPLETE,0.5094986504015171,27.662938,float,500,10.0,15,5,0.2565957778157276,0.08566784008990376,"[0.37151816878105626, 0.47599396706212954, 0.6076083173818674, 0.5002721945762268, 0.5921006042063054]",0.3325152889039984
3,COMPLETE,0.4874726052674011,19.069309,log2,700,30.0,16,10,0.2497556108974608,0.07910159992770585,"[0.3595116215430192, 0.44253148192762404, 0.5509967842464292, 0.50425041829998, 0.5800727203199528]",
4,COMPLETE,0.5174128427785682,21.961105,float,300,15.0,12,2,0.2627269199948222,0.0838871911917274,"[0.3720359331655015, 0.5135654277172518, 0.6023318361562665, 0.5007944487397481, 0.5983365681140732]",0.36194475143634364
5,PRUNED,0.41065187421683624,13.289354,float,300,6.0,4,9,,,,0.8405713385076601
6,PRUNED,0.4153905245568519,5.402718,sqrt,300,10.0,16,6,,,,
7,COMPLETE,0.5095237505383322,17.173738,sqrt,400,30.0,6,5,0.2604751949386893,0.07539307836445192,"[0.37191616688997725, 0.5143870599474747, 0.5614798394792093, 0.5080951110286457, 0.5917405753463537]",
8,PRUNED,0.40036953221310667,2.903174,sqrt,300,6.0,18,6,,,,
9,COMPLETE,0.525336184676881,6.177219,log2,200,10.0,6,2,0.2610573153472329,0.08564866790449525,"[0.36719558226389193, 0.5767741206391888, 0.5702539554535045, 0.5057416669524973, 0.606715598075323]",
10,COMPLETE,0.5356230735569926,7.990564,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
11,COMPLETE,0.5356230735569926,10.956903,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
12,COMPLETE,0.5356230735569926,8.687372,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
13,COMPLETE,0.5260674272081938,9.011849,log2,200,20.0,2,3,0.26411783893623436,0.09770353390261614,"[0.345945601896523, 0.5515486079390283, 0.5937634019973883, 0.5135294623592147, 0.625550061848815]",
14,PRUNED,0.49372985633808186,14.044079,log2,700,20.0,8,1,,,,
15,PRUNED,0.4288399115278454,4.082894,log2,400,8.0,5,3,,,,
16,PRUNED,0.44243138098029605,11.772642,log2,600,,8,4,,,,
17,COMPLETE,0.5356230735569926,12.130203,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
18,PRUNED,0.43972080982501227,8.854469,log2,400,20.0,12,3,,,,
19,PRUNED,0.42953047460284105,17.428207,float,200,15.0,4,7,,,,0.9965306085703254
20,PRUNED,0.4910989576808695,14.751653,log2,600,8.0,8,2,,,,
21,COMPLETE,0.5356230735569926,10.219681,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
22,PRUNED,0.5221043830851505,7.941501,log2,200,20.0,4,1,,,,
23,COMPLETE,0.5312361947005053,15.017842,log2,300,20.0,2,2,0.2691456923850602,0.085156982514091,"[0.3762796634861125, 0.5747857013578009, 0.5980306979740928, 0.5040761634697435, 0.6030087472147766]",
24,PRUNED,0.44130040377655844,3.388787,log2,200,,4,4,,,,
25,COMPLETE,0.5314338842339289,8.886114,log2,200,20.0,6,1,0.26635296720381085,0.09045614130086471,"[0.37653060239565894, 0.5560408562267831, 0.5856688834364264, 0.49708726040843415, 0.6418418187023422]",
26,PRUNED,0.42036172755398105,4.929011,log2,300,20.0,3,4,,,,
27,PRUNED,0.4468853306354945,8.687947,log2,400,20.0,7,3,,,,
28,PRUNED,0.44480627816579577,3.769295,sqrt,200,20.0,10,2,,,,
29,PRUNED,0.44279113153459737,30.622594,float,300,,20,1,,,,0.6101114368939258
30,PRUNED,0.4070134370941372,16.474614,log2,500,6.0,3,2,,,,
31,COMPLETE,0.5356230735569926,10.252128,log2,200,20.0,2,1,0.26982785786678976,0.08378826820214558,"[0.3762174931368542, 0.5963833890055871, 0.592225919025918, 0.525718971627711, 0.5875695949888925]",
32,COMPLETE,0.5380174389117685,7.839556,log2,200,20.0,3,1,0.27201417271211037,0.08848483806805416,"[0.3788437255276648, 0.5620646905536243, 0.597250159943349, 0.5174628293058943, 0.6344657892283103]",
33,PRUNED,0.437584502741275,3.525492,log2,300,20.0,5,2,,,,
