feature,importance
family_chlorides,0.24146953225135803
mean_r_all_pm,0.04268266633152962
family_halides,0.03533531725406647
a_r_plus_incl_minus_r_minus,0.033375512808561325
a_phi_plus_excl_li,0.02767835557460785
delta_field_x_r_diff,0.025561247020959854
mean_field_x_r_diff,0.02474079094827175
composition_L1_distance,0.023444071412086487
family_oxyhalides,0.02328352816402912
mean_log10_rho_plus_incl_li,0.022725725546479225
mean_log10_phi_plus_incl_li,0.02228805050253868
a_r_all_pm,0.020810917019844055
a_chi_range_x_r_avg,0.02028186060488224
delta_n_li_x_r_minus_pm,0.019235609099268913
family_argyrodites,0.01863959990441799
a_chi_all,0.018489304929971695
abs_delta_field_x_r_diff,0.016986854374408722
a_chi_plus_excl_minus_chi_minus,0.01685614511370659
delta_chi_all,0.015368704684078693
a_rho_plus_excl_li_c_m3,0.015230060555040836
delta_entropy_c_l,0.015050911344587803
delta_n_Li,0.014908425509929657
a_r_plus_incl_li_pm,0.01460019126534462
abs_delta_entropy_c_l,0.013855346478521824
a_field_x_r_diff,0.013580068945884705
delta_chi_plus_excl_minus_chi_minus,0.013565669767558575
delta_r_plus_incl_li_pm,0.013445531949400902
mean_n_Li,0.013194072991609573
a_n_li_x_r_minus_pm,0.012798956595361233
mean_atwt_geometric_mean_all,0.012066032737493515
abs_delta_log10_rho_plus_incl_li,0.012007012963294983
delta_ir_mean_square_all,0.011748159304261208
mean_entropy_c_l,0.011493613943457603
delta_log10_rho_plus_incl_li,0.011272805742919445
delta_r_plus_incl_minus_r_minus,0.01060271356254816
delta_phi_plus_excl_li,0.010591484606266022
delta_chi_plus_incl_minus_chi_minus,0.010538273490965366
delta_atwt_geometric_mean_all,0.010370240546762943
delta_r_plus_excl_minus_r_minus,0.010271066799759865
a_r_plus_excl_minus_r_minus,0.010120262391865253
a_chi_plus_incl_minus_chi_minus,0.010001135058701038
delta_chi_range_x_r_avg,0.009923238307237625
delta_log_rho_ratio,0.009609835222363472
delta_rho_plus_excl_li_c_m3,0.009208641946315765
abs_delta_log10_phi_plus_incl_li,0.008790929801762104
delta_r_all_pm,0.008163714781403542
family_garnet,0.00543959578499198
family_perovskites,0.005418933462351561
family_lgps,0.0028792850207537413
family_chalcogenidotetrelates,0.0
family_Thiophosphate mixture,0.0
family_antiperovskite,0.0
family_hydrides,0.0
family_lanthanumlithiumoxide,0.0
family_hexaoxometalates,0.0
family_garnet_like,0.0
family_molybdates,0.0
family_lisicon,0.0
family_oxides,0.0
family_nasicon,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_lisicon,0.0
family_thio_phosphate,0.0
