trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.4741929870258742,3.216669,300,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715,0.2471528088795092,0.08656508031127226,"[0.3114516935463834, 0.4696726769064712, 0.5452697670707178, 0.5476303690822937, 0.49694042852350523]"
1,COMPLETE,0.4664929692899006,2.803495,500,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382,0.24913641751412624,0.08963057824485256,"[0.3181769276971397, 0.5287308560335015, 0.5573442528533485, 0.5190229458766776, 0.4091898639888356]"
2,COMPLETE,0.509145611959186,6.815015,400,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978,0.25824281281157047,0.08243046323714182,"[0.35380173333447934, 0.5249809415903058, 0.5914067989186093, 0.5134187801803666, 0.5621198057721685]"
3,COMPLETE,0.21402561220293698,2.223031,400,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215,0.18138087328035601,0.06056197815451558,"[0.3236862854227471, 0.20498407344950317, 0.20120115196922236, 0.1368631723226542, 0.20339337785055808]"
4,COMPLETE,0.46557765254455497,3.423673,300,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934,0.24059295386648244,0.08982122876402733,"[0.32126614263843783, 0.4467997716371422, 0.5791355765704772, 0.5405368106596272, 0.4401499612170905]"
5,PRUNED,0.37505304246672,1.802806,500,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938,,,
6,PRUNED,0.38664807763025805,3.14328,400,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577,,,
7,PRUNED,0.370829340572859,0.793827,300,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999,,,
8,PRUNED,0.3701623882858932,0.764553,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534,,,
9,PRUNED,0.3803209265974871,3.594596,500,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745,,,
10,COMPLETE,0.49422231830031277,17.415735,600,7,0.02300787305719081,0.5342518154571322,0.8010124870699186,0.7606165441675251,0.0006361091866784225,0.004137630881036838,0.0015089361959238195,0.2542029412794483,0.07675181722569348,"[0.34564644311508336, 0.5208791856814949, 0.561447764475192, 0.5034876926936154, 0.5396505055361781]"
11,COMPLETE,0.5131052232929316,15.285196,600,7,0.021544196181482598,0.5468561354435738,0.814249705614196,0.7409481648316648,0.000820428280394016,0.0035148407688485044,0.0010493776310342001,0.2647207819540655,0.08072106466121597,"[0.36229228617553827, 0.5081237567405946, 0.5984890276947316, 0.552831257958658, 0.5437897878951358]"
12,COMPLETE,0.5144847459057794,15.492662,600,8,0.023832894737083322,0.5134658737472284,0.7924563288023665,0.7127679105159319,0.012571653008176645,0.0021839487437881415,0.0010325506988811738,0.2625739588317731,0.0782187733738484,"[0.36623889705587853, 0.5503291174482928, 0.5975238463854419, 0.5280115788536482, 0.5303202897856355]"
13,COMPLETE,0.518060164092285,16.313533,600,8,0.024051048373336253,0.5034169959585418,0.8202137070590031,0.833931982285774,0.03294064023477046,0.0005573797466124509,0.0012075236705088063,0.2655757309003279,0.08739342330823367,"[0.35001981488751954, 0.581144725337522, 0.5921935162928051, 0.5336532854510945, 0.5332894784924832]"
14,PRUNED,0.24721109199549396,1.12714,600,8,0.027736002016369877,19.708291340813847,0.8533992418364332,0.851396153546831,0.06074840210126492,0.00015859927884178925,0.03560842255755974,,,
15,PRUNED,0.41726487105945154,4.271898,600,8,0.017728594051131554,1.986573895547701,0.8681573093728416,0.8493150351253453,0.03145035906003068,8.628157756007303e-05,0.00334203092502758,,,
16,PRUNED,0.38805180584041565,1.920117,500,9,0.03268642342212805,1.4099398764091429,0.746686664104224,0.9298249375977757,0.3836771245292283,0.006246372492495332,0.040230623327597,,,
