feature,importance
family,19.576936376288177
a_r_plus_incl_minus_r_minus,7.012986463470525
delta_entropy_c_l,4.773931953943652
delta_r_plus_excl_minus_r_minus,3.9855472361409636
composition_L1_distance,3.8698816590460523
delta_chi_all,3.4580886099506944
abs_delta_entropy_c_l,3.077200790461911
a_r_all_pm,2.8957259222617386
mean_entropy_c_l,2.819932078320843
delta_atwt_geometric_mean_all,2.5986811237179555
mean_r_all_pm,2.5472517323591637
delta_ir_mean_square_all,2.5258539686425507
a_n_li_x_r_minus_pm,2.496536374588006
delta_r_plus_incl_li_pm,2.138394894089157
delta_chi_range_x_r_avg,2.0864056255444217
delta_log_rho_ratio,2.0350740997204166
a_rho_plus_excl_li_c_m3,2.0197953175127505
delta_n_li_x_r_minus_pm,2.014906580338164
abs_delta_field_x_r_diff,1.8372479776584238
a_chi_plus_incl_minus_chi_minus,1.8037786138391592
a_r_plus_excl_minus_r_minus,1.7646581695658778
delta_chi_plus_incl_minus_chi_minus,1.6743892973476444
delta_r_plus_incl_minus_r_minus,1.5370956798496325
mean_log10_rho_plus_incl_li,1.4966252699257656
delta_n_Li,1.4668142745376445
a_chi_range_x_r_avg,1.446845943746357
mean_n_Li,1.3729703362680585
abs_delta_log10_phi_plus_incl_li,1.2994812674842775
delta_chi_plus_excl_minus_chi_minus,1.2777520076624924
a_r_plus_incl_li_pm,1.2302512795102283
abs_delta_log10_rho_plus_incl_li,1.159636359256561
mean_atwt_geometric_mean_all,0.9964408762556916
delta_rho_plus_excl_li_c_m3,0.9752046524737181
delta_log10_rho_plus_incl_li,0.9672694715397254
a_phi_plus_excl_li,0.933360022830497
delta_r_all_pm,0.8531783629643205
a_chi_plus_excl_minus_chi_minus,0.7627623845189997
a_field_x_r_diff,0.6183862074820468
mean_log10_phi_plus_incl_li,0.6146049821130022
mean_field_x_r_diff,0.5714440702893937
delta_field_x_r_diff,0.5232073339401393
delta_phi_plus_excl_li,0.480205566654835
a_chi_all,0.40325878588836506
