trial,state,value,duration_seconds,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature
0,COMPLETE,0.45142972883618543,27.695279,300,7,0.07259248719561363,1.2067245262919604,0.004207988669606638,0.7799726016810132
1,COMPLETE,0.45369997108585364,4.186413,100,7,0.05092911283433821,2.897705266717829,0.0012087541473056963,4.8495492608099715
2,COMPLETE,0.4931905760121888,2.339442,500,4,0.016362239850894633,0.04342298948286135,0.016480446427978974,2.6237821581611893
3,COMPLETE,0.44692150163837785,2.159663,300,5,0.05243180891902853,0.030551818670802627,0.01474275315991467,1.8318092164684585
4,COMPLETE,0.4614788166093399,8.077177,300,7,0.017172542103877867,0.613840438900799,0.23423849847112907,0.23225206359998862
5,COMPLETE,0.42538596231920683,4.392112,400,4,0.011926324174062874,19.924621034349894,7.2866537374910445,4.041986740582305
6,COMPLETE,0.4627533449509458,1.182254,200,4,0.06378528225249058,0.3392060513051209,0.003077180271250686,2.475884550556351
7,COMPLETE,0.522770696267192,2.35693,100,7,0.020153425505297702,2.0121961636102865,0.017654048052495083,2.600340105889054
8,COMPLETE,0.4741029733003696,2.051653,400,4,0.13814017620274424,4.957135786745318,5.727904470799623,4.474136752138244
9,COMPLETE,0.4622033901892491,9.101657,400,7,0.012707942999213693,0.04802376182711899,0.0015167330688076208,1.6266516538163218
10,COMPLETE,0.5232272300588142,1.227788,100,6,0.027143052490931286,0.16070989107105962,0.2774777147025622,3.451235367845725
11,COMPLETE,0.42917579193037253,1.345698,100,6,0.026439372319923903,0.17401191551223452,0.2012727056704333,3.485779491700472
12,COMPLETE,0.45429870080884077,1.382771,100,6,0.02642606498488015,0.12785563849920584,0.8942298945715406,3.2927618292019516
13,COMPLETE,0.4815981397710259,9.727397,600,6,0.028465071439181932,0.012350513841427399,0.05350822875106502,3.1345507042523426
14,COMPLETE,0.45848720142918914,1.560661,200,5,0.03681621941907509,2.203471080996289,1.1290404224177164,1.9892105918533929
15,COMPLETE,0.4570573797148347,2.63911,200,6,0.019398840051046293,10.879541169369995,0.040555985479622796,4.097149863317237
16,COMPLETE,0.47736453478870494,0.833909,100,5,0.03634960442223554,0.7072385558632908,0.5177579473921727,2.655620151757302
17,COMPLETE,0.45861885526869073,4.529256,200,7,0.022067342888288335,0.21802922144189082,0.017390847897233466,1.1950770885469986
18,COMPLETE,0.466525333445019,1.217085,100,6,0.13393077567760459,6.646558458488133,0.10865963684042293,3.6671157029019623
19,COMPLETE,0.46042902275952846,4.404257,200,7,0.010062759956586979,1.5020026186145505,2.302230307837834,2.884745869448389
20,COMPLETE,0.4621491269532891,7.502539,600,6,0.08174117326716414,0.09111096892737937,0.006309270522985474,2.22412152128966
21,COMPLETE,0.4642130678045843,3.845013,500,5,0.015676260907643104,0.047041466165233914,0.026037802022997908,2.837753375972449
22,COMPLETE,0.4410661946492988,3.897712,500,5,0.015867401764895695,0.01003278464530092,0.00952800849692059,3.7614920798833373
23,COMPLETE,0.4422799571096186,2.384948,500,4,0.022444205280766103,0.34656612617364174,0.0933266505487925,2.374519470672702
24,COMPLETE,0.4764312407039179,9.344096,500,6,0.032413644817522916,0.02736787316890157,0.06525925972269259,1.4218009342611175
25,COMPLETE,0.43186838374207676,4.42457,600,5,0.013141343660610753,0.07515666322909112,0.16298437499126245,3.0603140926349948
26,COMPLETE,0.47544603483111353,7.365049,300,7,0.021872083678695548,0.02048244772810402,0.36942240594494113,2.123371598173719
27,COMPLETE,0.4548841129298138,0.532016,100,4,0.04613812828950154,0.26254412604035504,0.02625621027989203,2.5974855835443282
28,COMPLETE,0.48667973833551237,4.845711,400,6,0.0180514637024017,1.0009131888640725,0.009840241960740898,3.368876552290257
29,COMPLETE,0.47132076393848293,7.07538,300,7,0.014303487984571896,0.08202223676735569,0.002657172180034425,3.8638730277589852
30,COMPLETE,0.4597641467370635,4.355764,200,7,0.029351378666557734,1.2115127742893228,0.004239988789265949,0.5605627514627081
31,COMPLETE,0.47307344607281837,5.057003,400,6,0.018824392443254703,0.646235775043548,0.009986236209664268,3.3230655973243
32,COMPLETE,0.4709415645983161,6.967774,500,6,0.022978627914552994,3.0024471164714965,0.03056343014383109,4.501836307351995
33,COMPLETE,0.47166419365107554,2.95873,400,5,0.010177986756061639,1.0388400003143892,0.01349134319604132,2.904432085604013
