feature,importance
family,147.0
a_r_plus_incl_minus_r_minus,39.0
delta_n_li_x_r_minus_pm,28.0
delta_chi_all,20.0
mean_r_all_pm,18.0
a_chi_range_x_r_avg,14.0
composition_L1_distance,10.0
a_r_all_pm,8.0
a_chi_plus_incl_minus_chi_minus,7.0
a_n_li_x_r_minus_pm,4.0
mean_field_x_r_diff,3.0
mean_log10_rho_plus_incl_li,3.0
abs_delta_entropy_c_l,3.0
delta_entropy_c_l,2.0
delta_ir_mean_square_all,2.0
a_field_x_r_diff,2.0
mean_atwt_geometric_mean_all,2.0
mean_n_Li,2.0
a_rho_plus_excl_li_c_m3,2.0
delta_r_plus_incl_li_pm,1.0
a_chi_plus_excl_minus_chi_minus,1.0
a_phi_plus_excl_li,1.0
mean_log10_phi_plus_incl_li,1.0
abs_delta_log10_rho_plus_incl_li,1.0
delta_log_rho_ratio,1.0
delta_n_Li,1.0
delta_field_x_r_diff,0.0
delta_phi_plus_excl_li,0.0
delta_chi_plus_excl_minus_chi_minus,0.0
delta_atwt_geometric_mean_all,0.0
delta_r_all_pm,0.0
delta_log10_rho_plus_incl_li,0.0
mean_entropy_c_l,0.0
delta_r_plus_excl_minus_r_minus,0.0
delta_r_plus_incl_minus_r_minus,0.0
delta_chi_range_x_r_avg,0.0
delta_rho_plus_excl_li_c_m3,0.0
delta_chi_plus_incl_minus_chi_minus,0.0
abs_delta_field_x_r_diff,0.0
a_chi_all,0.0
abs_delta_log10_phi_plus_incl_li,0.0
a_r_plus_incl_li_pm,0.0
a_r_plus_excl_minus_r_minus,0.0
