trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.42529490491924865,0.995496,3,600,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451
1,COMPLETE,0.48154921346554375,0.98605,8,300,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923
2,COMPLETE,0.47448685210869684,0.243375,6,200,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934
3,COMPLETE,0.4805973810519986,1.491197,8,600,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195
4,COMPLETE,0.48487602392985824,0.840458,4,600,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535
5,COMPLETE,0.47655607334694183,0.660097,8,300,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745
6,COMPLETE,0.4533087471512829,0.756076,6,400,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583
7,COMPLETE,0.486442179388859,0.401337,4,600,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245
8,COMPLETE,0.43830571881945196,0.588666,3,600,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965
9,COMPLETE,0.4573384013948165,1.199049,6,400,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537
10,COMPLETE,0.44565573931565067,0.844338,4,500,0.13812240169527853,11,40,0.9630659181130071,0.6806559982209046,0.01620963590242718,0.8403892863433962
11,COMPLETE,0.2098436139120088,0.279734,4,500,0.08171759864501181,13,60,0.7414139974369786,0.511086357426804,8.667641319104222,1.253995090564446
12,COMPLETE,0.47883754308353893,1.331813,-1,500,0.033983975807146315,62,45,0.7635984122245106,0.6111666093388424,0.06012007950445106,0.8934731089622266
13,COMPLETE,0.4752864374490849,1.621975,10,600,0.019599559115335192,20,51,0.9202581903589193,0.9772091754397456,0.15203858593612168,0.16911325532728289
