feature,importance
a_r_plus_incl_minus_r_minus,0.05625742666045352
mean_r_all_pm,0.05157176422284813
a_r_all_pm,0.04980569556938505
a_chi_range_x_r_avg,0.041582320393227526
mean_field_x_r_diff,0.035790651450891484
mean_atwt_geometric_mean_all,0.03319297430485977
a_phi_plus_excl_li,0.03182189163396956
a_chi_plus_incl_minus_chi_minus,0.02949491975075232
a_field_x_r_diff,0.028449662392699058
mean_log10_phi_plus_incl_li,0.02689286260755484
a_r_plus_excl_minus_r_minus,0.02604139114022617
a_rho_plus_excl_li_c_m3,0.025233237585754846
a_n_li_x_r_minus_pm,0.025233218562194487
a_chi_plus_excl_minus_chi_minus,0.0250176340687524
mean_log10_rho_plus_incl_li,0.024075522498211092
a_chi_all,0.023146501919869826
composition_L1_distance,0.022699239035434603
a_r_plus_incl_li_pm,0.02197409504704289
abs_delta_field_x_r_diff,0.021041737961943426
delta_chi_all,0.02026837549562496
delta_atwt_geometric_mean_all,0.019898090779226208
delta_n_li_x_r_minus_pm,0.01902451543043757
mean_n_Li,0.018935290280720114
delta_r_plus_incl_li_pm,0.01828350972637753
delta_chi_range_x_r_avg,0.017942570446872922
family_halides,0.017388055141031523
delta_log_rho_ratio,0.017245965672856616
delta_entropy_c_l,0.01699883954271705
delta_field_x_r_diff,0.01696298536565785
mean_entropy_c_l,0.01694500972413289
delta_r_plus_excl_minus_r_minus,0.016571477413726082
delta_chi_plus_incl_minus_chi_minus,0.0162554363901054
abs_delta_entropy_c_l,0.016092414619339093
delta_ir_mean_square_all,0.015793855501664764
delta_r_plus_incl_minus_r_minus,0.015462287084753997
delta_log10_rho_plus_incl_li,0.015196643601026155
abs_delta_log10_rho_plus_incl_li,0.01514487232362998
delta_n_Li,0.015101645583230001
delta_r_all_pm,0.01426031746209932
delta_chi_plus_excl_minus_chi_minus,0.013765415671548029
abs_delta_log10_phi_plus_incl_li,0.012302532069472148
delta_rho_plus_excl_li_c_m3,0.01147115328268287
delta_phi_plus_excl_li,0.00999723265112077
family_lgps,0.004451386852669565
family_perovskites,0.001516056837578535
family_chalcogenidotetrelates,0.001449432371647194
family_argyrodites,0.0014167855236771817
family_oxyhalides,0.0012444160955655187
family_lisicon,0.001190915743233749
family_oxides,0.0005983188833296248
family_garnet,0.0005852425399790415
family_thio_lisicon,0.0004960830057231331
family_nasicon,0.0003508867913882021
family_antiperovskite,6.923728908329023e-05
family_chlorides,0.0
family_Thiophosphate mixture,0.0
family_molybdates,0.0
family_lanthanumlithiumoxide,0.0
family_hexaoxometalates,0.0
family_hydrides,0.0
family_garnet_like,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_phosphate,0.0
