trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.47414475586421356,2.492399,log2,500,10.0,20,9,
1,COMPLETE,0.47103793600594646,2.107559,sqrt,300,10.0,10,8,
2,COMPLETE,0.4722210412362624,6.053745,float,500,10.0,15,5,0.3325152889039984
3,COMPLETE,0.4777382451272994,4.688583,log2,700,30.0,16,10,
4,COMPLETE,0.47897651966393134,5.062168,float,300,15.0,12,2,0.36194475143634364
5,COMPLETE,0.4634203675554757,4.841115,float,300,6.0,4,9,0.8405713385076601
6,COMPLETE,0.46102204632877286,1.69799,sqrt,300,10.0,16,6,
7,COMPLETE,0.44275361126910795,2.93592,sqrt,400,30.0,6,5,
8,COMPLETE,0.46140578146381017,1.67618,sqrt,300,6.0,18,6,
9,COMPLETE,0.44587118386650676,1.725597,log2,200,10.0,6,2,
10,COMPLETE,0.46941493097137466,14.379653,float,700,15.0,11,1,0.3266249092444586
11,COMPLETE,0.4522752380201324,5.705148,log2,700,30.0,12,3,
12,COMPLETE,0.4711083142817474,9.675168,float,600,8.0,14,10,0.5784637525192032
13,COMPLETE,0.4429577662887174,4.494664,log2,600,15.0,9,3,
14,COMPLETE,0.47250279323366645,4.730286,float,200,,13,7,0.5642459997698624
15,COMPLETE,0.45847033556476374,3.487536,log2,400,20.0,18,3,
16,COMPLETE,0.4494589846240886,4.215813,log2,600,15.0,8,4,
17,COMPLETE,0.4721188605230662,14.716191,float,400,30.0,17,10,0.9972118925528495
18,COMPLETE,0.46583352324578353,6.70407,float,500,8.0,2,1,0.4874897868957821
19,COMPLETE,0.4826184756648623,3.912614,log2,700,,20,7,
20,COMPLETE,0.46392195059812263,5.560315,float,200,,19,7,0.6766067519611756
21,COMPLETE,0.47614371195334576,4.157978,log2,700,,15,8,
22,COMPLETE,0.4717323603266077,3.438381,log2,600,20.0,20,7,
23,COMPLETE,0.48426487381737454,4.508132,log2,700,30.0,17,9,
24,COMPLETE,0.47614371195334576,4.733908,log2,700,,18,8,
25,COMPLETE,0.4828212778836976,4.323008,log2,600,15.0,13,9,
26,COMPLETE,0.4828212778836976,3.984135,log2,600,15.0,14,9,
27,COMPLETE,0.4828212778836976,3.265515,log2,600,15.0,14,9,
28,COMPLETE,0.4828212778836976,4.367347,log2,600,15.0,13,9,
29,COMPLETE,0.47544507110015477,2.842926,log2,500,15.0,16,8,
30,COMPLETE,0.47100084662781616,3.053458,log2,500,30.0,11,9,
31,COMPLETE,0.4828212778836976,3.472689,log2,600,15.0,14,9,
32,COMPLETE,0.49146219904251226,3.357372,log2,600,15.0,14,10,
33,COMPLETE,0.4868978505299335,2.728505,log2,500,15.0,15,10,
34,COMPLETE,0.4868978505299335,2.652865,log2,500,15.0,17,10,
35,COMPLETE,0.47526936539962916,3.087737,sqrt,500,15.0,17,10,
36,COMPLETE,0.45029689525521704,1.990403,log2,500,6.0,15,10,
37,COMPLETE,0.47412481923169003,2.333611,log2,400,30.0,17,10,
38,COMPLETE,0.47113547501823666,3.135032,log2,500,20.0,16,10,
39,COMPLETE,0.47045578506876423,2.884308,sqrt,500,8.0,15,8,
40,COMPLETE,0.4770929845460283,2.266896,log2,400,10.0,19,10,
41,COMPLETE,0.4828212778836976,3.722367,log2,600,15.0,12,9,
42,COMPLETE,0.4828212778836976,4.772594,log2,700,15.0,13,9,
43,COMPLETE,0.4868978505299335,2.834236,log2,500,15.0,16,10,
44,COMPLETE,0.4868978505299335,3.014852,log2,500,15.0,17,10,
45,COMPLETE,0.47526936539962916,4.229762,sqrt,500,15.0,19,10,
46,COMPLETE,0.4868978505299335,2.389067,log2,400,15.0,15,10,
47,COMPLETE,0.4868978505299335,3.009819,log2,500,15.0,16,10,
48,COMPLETE,0.45750657865255934,1.681775,log2,400,6.0,18,5,
49,COMPLETE,0.4727451496297119,5.789401,sqrt,500,15.0,10,8,
