feature,importance
family_oxyhalides,0.13295888900756836
mean_r_all_pm,0.05054982379078865
a_r_plus_incl_minus_r_minus,0.043800048530101776
family_lgps,0.04246583953499794
family_halides,0.028881333768367767
composition_L1_distance,0.025350207462906837
mean_field_x_r_diff,0.024610331282019615
family_perovskites,0.023444820195436478
delta_n_li_x_r_minus_pm,0.023227812722325325
a_phi_plus_excl_li,0.022943492978811264
a_chi_range_x_r_avg,0.022375209257006645
a_chi_all,0.02168167382478714
a_r_all_pm,0.02146114408969879
abs_delta_entropy_c_l,0.02145608887076378
delta_field_x_r_diff,0.021357698366045952
abs_delta_field_x_r_diff,0.019437110051512718
a_rho_plus_excl_li_c_m3,0.019352605566382408
mean_atwt_geometric_mean_all,0.019265547394752502
mean_log10_phi_plus_incl_li,0.019123941659927368
delta_r_plus_incl_li_pm,0.01727752387523651
delta_chi_all,0.017240755259990692
mean_n_Li,0.0170670747756958
a_n_li_x_r_minus_pm,0.016940655186772346
mean_log10_rho_plus_incl_li,0.016545943915843964
a_field_x_r_diff,0.016519714146852493
a_chi_plus_incl_minus_chi_minus,0.016510436311364174
delta_entropy_c_l,0.016396846622228622
a_r_plus_incl_li_pm,0.016291126608848572
delta_r_plus_excl_minus_r_minus,0.016039742156863213
a_chi_plus_excl_minus_chi_minus,0.015857452526688576
delta_log10_rho_plus_incl_li,0.014977884478867054
delta_atwt_geometric_mean_all,0.014919285662472248
abs_delta_log10_rho_plus_incl_li,0.014818655326962471
a_r_plus_excl_minus_r_minus,0.014788506552577019
delta_r_plus_incl_minus_r_minus,0.013889352791011333
delta_chi_plus_excl_minus_chi_minus,0.0136275514960289
delta_ir_mean_square_all,0.013611828908324242
delta_n_Li,0.013489901088178158
delta_log_rho_ratio,0.01333667617291212
mean_entropy_c_l,0.013140711933374405
delta_chi_range_x_r_avg,0.012612258084118366
delta_chi_plus_incl_minus_chi_minus,0.012534700334072113
delta_phi_plus_excl_li,0.01241691131144762
abs_delta_log10_phi_plus_incl_li,0.012014981359243393
delta_rho_plus_excl_li_c_m3,0.01185845211148262
delta_r_all_pm,0.011531426571309566
family_Thiophosphate mixture,0.0
family_antiperovskite,0.0
family_garnet,0.0
family_chlorides,0.0
family_chalcogenidotetrelates,0.0
family_argyrodites,0.0
family_hydrides,0.0
family_lanthanumlithiumoxide,0.0
family_hexaoxometalates,0.0
family_garnet_like,0.0
family_molybdates,0.0
family_lisicon,0.0
family_oxides,0.0
family_nasicon,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_lisicon,0.0
family_thio_phosphate,0.0
