trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.47021815556967034,1.679737,300,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715
1,COMPLETE,0.4000609004718207,0.998307,500,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382
2,COMPLETE,0.475665584061468,3.721567,400,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978
3,COMPLETE,0.2098436139120088,0.582463,400,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215
4,COMPLETE,0.44684681687047023,0.846331,300,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934
5,COMPLETE,0.4594555862332643,1.086276,500,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938
6,COMPLETE,0.45701905393819864,2.271337,400,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577
7,COMPLETE,0.38472779054394407,0.961329,300,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999
8,COMPLETE,0.4239042415843106,0.535188,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534
9,COMPLETE,0.45298123754993025,2.254256,500,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745
