feature,importance
mean_r_all_pm,8.622363650934282
mean_atwt_geometric_mean_all,7.810464655009361
composition_L1_distance,7.5665232208135125
delta_entropy_c_l,6.904274510502797
mean_entropy_c_l,5.819148945873826
abs_delta_entropy_c_l,5.274117214321843
delta_atwt_geometric_mean_all,4.512951619196513
mean_field_x_r_diff,4.456352437929741
abs_delta_field_x_r_diff,4.230745944488662
mean_n_Li,4.185330073344854
delta_chi_all,3.8591140828103145
delta_field_x_r_diff,3.83578978189538
abs_delta_log10_rho_plus_incl_li,3.2958451388942414
delta_r_all_pm,3.2423110279366827
mean_log10_phi_plus_incl_li,3.0828327058542926
mean_chi_all,3.0660088348486996
delta_ir_mean_square_all,2.963752672256699
abs_delta_log10_phi_plus_incl_li,2.868359946952381
abs_delta_n_Li,2.493354208502571
delta_log_rho_ratio,2.247580947363944
delta_log10_rho_plus_incl_li,2.0022382340466955
delta_n_host_cation,1.9090996746293514
mean_log10_rho_plus_incl_li,1.846453612121494
delta_log10_phi_plus_incl_li,1.4385149147381164
delta_r_minus_pm,1.0284852463282175
delta_n_Li,0.9058724212510838
delta_chi_minus,0.5321142771544595
family_normalized,0.0
