doi,cv_fold
10.1002/chin.199345017,1
10.1006/jssc.2002.9701,1
10.1016/0167-2738(86)90179-7,1
10.1016/j.cej.2022.140509,1
10.1016/j.jssc.2005.12.025,1
10.1016/j.materresbull.2007.10.035,1
10.1016/j.ssi.2004.05.010,1
10.1016/j.ssi.2015.09.001,1
10.1016/j.ssi.2015.10.016,1
10.1016/s0167-2738(96)00592-9,1
10.1016/s1003-6326(25)66819-1,1
10.1021/acs.inorgchem.7b00816,1
10.1021/acs.jpcc.5c05412,1
10.1021/acsami.2c21022,1
10.1021/cm970078n,1
10.1021/jacs.5b04444,1
10.1038/s41467-024-45864-1,1
10.1038/s41467-025-68210-5,1
10.1038/srep18053,1
10.1039/d0ee01017k,1
10.1039/d2ta01462a,1
10.1126/sciadv.abh1896,1
10.1134/s002016851103006x,1
10.1016/0025-5408(76)90169-0,2
10.1016/0025-5408(89)90053-6,2
10.1016/j.physb.2011.11.006,2
10.1021/acs.chemmater.8b03175,2
10.1021/acsami.6b14402,2
10.1039/b301189e,2
10.1063/1.2357843,2
10.1149/1.2086597,2
10.1007/s10008-023-05612-9,3
10.1007/s11581-006-0011-9,3
10.1016/0167-2738(93)90387-i,3
10.1016/0167-2738(94)90310-7,3
10.1016/j.jallcom.2017.05.278,3
10.1016/j.ssi.2012.03.045,3
10.1016/s0167-2738(00)00761-x,3
10.1021/acs.energyfuels.6c01704,3
10.1021/acsami.4c01352,3
10.1021/acsami.8b00842,3
10.1021/jacs.0c10735,3
10.1021/jacs.8b10282,3
10.1039/c4fd00143e,3
10.1039/d1ta06338c,3
10.1002/pssa.201001117,4
10.1007/s12039-011-0068-5,4
10.1016/j.ensm.2024.103444,4
10.1016/j.est.2024.111700,4
10.1016/j.jpowsour.2013.03.166,4
10.1016/j.mseb.2004.07.003,4
10.1016/j.mseb.2007.07.009,4
10.1016/j.ssi.2008.01.047,4
10.1016/j.ssi.2012.05.011,4
10.1016/j.ssi.2014.07.018,4
10.1016/j.ssi.2017.01.014,4
10.1016/s0167-2738(96)00565-6,4
10.1021/acs.chemmater.6b02516,4
10.1021/acs.chemmater.7b05108,4
10.1021/acs.chemmater.7b05139,4
10.1021/acs.chemmater.8b01504,4
10.1021/cm001207u,4
10.1021/ic030208w,4
10.1021/ja308741y,4
10.1021/jacs.5c11480,4
10.1021/jp304737x,4
10.1023/a:1026135806929,4
10.1038/nenergy.2016.30,4
10.1038/s41467-023-39197-8,4
10.1039/c4ta05231e,4
10.1111/j.1551-2916.2005.00060.x,4
10.1149/2.024205esl,4
10.1002/smll.202505926,5
10.1006/jssc.1995.1140,5
10.1007/s11581-007-0097-8,5
10.1016/j.cej.2021.130630,5
10.1016/j.jpowsour.2011.05.031,5
10.1016/j.jpowsour.2012.01.131,5
10.1016/j.ssi.2008.10.022,5
10.1016/j.ssi.2010.06.003,5
10.1016/s0167-2738(02)00007-3,5
10.1016/s0955-2219(99)00055-2,5
10.1021/acs.chemmater.5c00627,5
10.1021/acs.inorgchem.5b01895,5
10.1021/acs.inorgchem.8b02443,5
10.1021/acs.nanolett.0c01156,5
10.1021/acsaem.6c01288,5
10.1021/am503731h,5
10.1039/a807007e,5
10.1039/c3cp50991e,5
10.1039/c7ta08581h,5
10.1039/d5ta05447h,5
10.1107/s2052520615022283,5
10.1149/1.1379028,5
10.3389/fenrg.2016.00028,5
