pair_id,group_id,group_label,group_size,id_a,id_b,source_row_a,source_row_b,formula_a,formula_b,doi,temperature,preparation_method,family,family_normalized,amorphous_status_a,amorphous_status_b,crystal_phase_a,crystal_phase_b,year_a,year_b,label_quality,pair_weight_group_equal,trend_label,trend_class,电导率变化趋势,direction_label,direction_class,conductivity_a_S_cm-1,conductivity_b_S_cm-1,conductivity_qualifier_a,conductivity_qualifier_b,conductivity_source_a,conductivity_source_b,delta_conductivity_S_cm-1,absolute_change_conductivity_S_cm-1,conductivity_ratio_b_over_a,conductivity_fold_change,absolute_change_met,fold_change_met,change_trigger,absolute_change_threshold_S_cm-1,fold_change_threshold,delta_entropy_c_l,delta_log10_rho_plus_incl_li,delta_log10_phi_plus_incl_li,delta_field_x_r_diff,delta_n_Li,delta_log_rho_ratio,delta_r_all_pm,delta_n_host_cation,delta_ir_mean_square_all,delta_atwt_geometric_mean_all,delta_chi_all,delta_chi_minus,delta_r_minus_pm,mean_entropy_c_l,mean_log10_rho_plus_incl_li,mean_log10_phi_plus_incl_li,mean_field_x_r_diff,mean_n_Li,mean_r_all_pm,mean_atwt_geometric_mean_all,mean_chi_all,abs_delta_entropy_c_l,abs_delta_log10_rho_plus_incl_li,abs_delta_log10_phi_plus_incl_li,abs_delta_field_x_r_diff,abs_delta_n_Li,composition_L1_distance
trpair_000026,trgrp_0007,doi=10.1002/chin.199345017; temperature=RT; preparation=unknow; family=nasicon,2,4ba,a3l,50,49,LiGe2(PO4)3,LiHf2(PO4)3,10.1002/chin.199345017,RT,unknow,nasicon,nasicon,unknow,unknow,unknow,unknow,1993,1993,exact,1.0,almost_unchanged,0,几乎不变,decrease,-1,3.33e-07,2.83e-07,exact,exact,room_temperature,room_temperature,-5e-08,5e-08,0.8498498498498498,1.176678445229682,False,False,none,0.0001,100.0,0.0,-0.008489469188186,-0.026241569338849,2.535723795691114,0.0,-0.0084894691881856,2.8888888888888857,0.0,340.8888888888887,2.1192131602570647,-0.0788888888888892,0.0,0.0,0.6730116670092565,13.296909104310032,-0.7614498009717683,-17.13985173081578,0.0555555555555555,105.2722222222222,21.23294501938708,2.8966666666666665,0.0,0.008489469188186,0.026241569338849,2.535723795691114,0.0,0.2222222222222222
trpair_000027,trgrp_0008,doi=10.1002/pssa.201001117; temperature=RT; preparation=unknow; family=argyrodites,3,97p,p9u,187,188,Li6PS5Cl,Li6PS5I,10.1002/pssa.201001117,RT,unknow,argyrodites,argyrodites,unknow,unknow,unknow,unknow,2011,2011,exact,0.3333333333333333,increase,1,增大,increase,1,3.3e-05,0.00022,exact,exact,room_temperature,room_temperature,0.000187,0.000187,6.666666666666666,6.666666666666666,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.3556489262371611,0.0,0.0186914945417289,3.0,0.0,1203.0000000000036,1.6391036798275491,-0.0384615384615383,-0.0833333333333339,6.5,0.0,12.753345632073744,-1.261891854813765,-6.919521141790051,0.4615384615384615,118.65384615384616,16.722855121605626,1.8369230769230769,0.0,0.0,0.0,0.3556489262371611,0.0,0.1538461538461538
trpair_000028,trgrp_0008,doi=10.1002/pssa.201001117; temperature=RT; preparation=unknow; family=argyrodites,3,97p,w87,187,186,Li6PS5Cl,Li6PS5Br,10.1002/pssa.201001117,RT,unknow,argyrodites,argyrodites,unknow,unknow,unknow,unknow,2011,2011,exact,0.3333333333333333,almost_unchanged,0,几乎不变,decrease,-1,3.3e-05,3.2e-05,exact,exact,room_temperature,room_temperature,-1.000000000000004e-06,1.000000000000004e-06,0.9696969696969696,1.0312500000000002,False,False,none,0.0001,100.0,0.0,0.0,0.0,-0.1367880485527539,0.0,0.0088621217474544,1.1538461538461462,0.0,435.0,1.0258286539814172,-0.0153846153846153,-0.0333333333333341,2.5,0.0,12.753345632073744,-1.261891854813765,-6.810090702947847,0.4615384615384615,117.73076923076924,16.416217608682558,1.8484615384615384,0.0,0.0,0.0,0.1367880485527539,0.0,0.1538461538461538
trpair_000029,trgrp_0008,doi=10.1002/pssa.201001117; temperature=RT; preparation=unknow; family=argyrodites,3,p9u,w87,188,186,Li6PS5I,Li6PS5Br,10.1002/pssa.201001117,RT,unknow,argyrodites,argyrodites,unknow,unknow,unknow,unknow,2011,2011,exact,0.3333333333333333,decrease,-1,减少,decrease,-1,0.00022,3.2e-05,exact,exact,room_temperature,room_temperature,-0.000188,0.000188,0.1454545454545454,6.875000000000001,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,0.2188608776844072,0.0,-0.0098293727942744,-1.8461538461538536,0.0,-768.0000000000036,-0.6132750258461321,0.0230769230769229,0.0499999999999998,-4.0,0.0,12.753345632073744,-1.261891854813765,-6.987915166066427,0.4615384615384615,119.23076923076924,17.235769448596336,1.8292307692307688,0.0,0.0,0.0,0.2188608776844072,0.0,0.1538461538461538
trpair_000046,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0068,trv1_0069,571,572,Li2ZrCl5.5Br0.5,Li2ZrCl5Br,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,decrease,-1,减少,decrease,-1,0.00047,0.00032,exact,exact,room_temperature,room_temperature,-0.0001499999999999,0.0001499999999999,0.6808510638297873,1.4687499999999998,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.033713200379867,0.0,0.0078995321954771,0.8333333333333428,0.0,314.16666666666424,1.3241434382808492,-0.011111111111111,-0.016666666666667,1.25,0.0,11.279572846118445,-1.569110031138449,-3.017331433998101,0.2222222222222222,145.58333333333331,29.33559033985136,2.455555555555556,0.0,0.0,0.0,0.033713200379867,0.0,0.1111111111111111
trpair_000047,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0068,trv1_0070,571,573,Li2ZrCl5.5Br0.5,Li2ZrCl4.5Br1.5,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,decrease,-1,减少,decrease,-1,0.00047,0.00021,exact,exact,room_temperature,room_temperature,-0.00026,0.00026,0.4468085106382979,2.238095238095238,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.067426400759734,0.0,0.0159454178921287,1.6666666666666856,0.0,628.3333333333321,2.709435836629545,-0.0222222222222221,-0.0333333333333341,2.5,0.0,11.279572846118445,-1.569110031138449,-3.034188034188034,0.2222222222222222,146.0,30.02823653902571,2.45,0.0,0.0,0.0,0.067426400759734,0.0,0.2222222222222222
trpair_000048,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0068,trv1_0071,571,574,Li2ZrCl5.5Br0.5,Li2ZrCl4Br2,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,decrease,-1,减少,decrease,-1,0.00047,0.00018,exact,exact,room_temperature,room_temperature,-0.00029,0.00029,0.3829787234042554,2.6111111111111107,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.101139601139601,0.0,0.0241431825612827,2.5,0.0,942.5,4.158701054764933,-0.0333333333333332,-0.0500000000000002,3.75,0.0,11.279572846118445,-1.569110031138449,-3.051044634377968,0.2222222222222222,146.41666666666666,30.752869148093403,2.4444444444444446,0.0,0.0,0.0,0.101139601139601,0.0,0.3333333333333333
trpair_000049,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0069,trv1_0070,572,573,Li2ZrCl5Br,Li2ZrCl4.5Br1.5,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,decrease,-1,减少,decrease,-1,0.00032,0.00021,exact,exact,room_temperature,room_temperature,-0.00011,0.00011,0.65625,1.523809523809524,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.033713200379867,0.0,0.0080458856966516,0.8333333333333428,0.0,314.1666666666679,1.385292398348696,-0.011111111111111,-0.016666666666667,1.25,0.0,11.279572846118445,-1.569110031138449,-3.051044634377968,0.2222222222222222,146.41666666666669,30.690308258166134,2.4444444444444446,0.0,0.0,0.0,0.033713200379867,0.0,0.1111111111111111
trpair_000050,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0069,trv1_0071,572,574,Li2ZrCl5Br,Li2ZrCl4Br2,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,decrease,-1,减少,decrease,-1,0.00032,0.00018,exact,exact,room_temperature,room_temperature,-0.00014,0.00014,0.5625,1.777777777777778,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.067426400759734,0.0,0.0162436503658056,1.6666666666666572,0.0,628.3333333333358,2.834557616484084,-0.0222222222222221,-0.0333333333333332,2.5,0.0,11.279572846118445,-1.569110031138449,-3.067901234567901,0.2222222222222222,146.83333333333331,31.414940867233828,2.438888888888889,0.0,0.0,0.0,0.067426400759734,0.0,0.2222222222222222
trpair_000051,trgrp_0011,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨; family=halide,4,trv1_0070,trv1_0071,573,574,Li2ZrCl4.5Br1.5,Li2ZrCl4Br2,10.1002/smll.202505926,30,机械化学球磨,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.1666666666666666,almost_unchanged,0,几乎不变,decrease,-1,0.00021,0.00018,exact,exact,room_temperature,room_temperature,-3e-05,3e-05,0.8571428571428572,1.1666666666666667,False,False,none,0.0001,100.0,0.0,0.0,0.0,-0.033713200379867,0.0,0.008197764669154,0.8333333333333144,0.0,314.1666666666679,1.4492652181353876,-0.011111111111111,-0.0166666666666661,1.25,0.0,11.279572846118445,-1.569110031138449,-3.0847578347578346,0.2222222222222222,147.25,32.10758706640817,2.4333333333333336,0.0,0.0,0.0,0.033713200379867,0.0,0.1111111111111111
trpair_000052,trgrp_0012,doi=10.1002/smll.202505926; temperature=30; preparation=机械化学球磨（600 rpm，10 h）; family=halide,6,trv1_0061,trv1_0062,564,565,Li2ZrCl6,Li2ZrCl5.75I0.25,10.1002/smll.202505926,30,机械化学球磨（600 rpm，10 h）,halide,halides,晶体,晶体,unknow,unknow,2025,2025,exact,0.0666666666666666,increase,1,增大,increase,1,0.0004,0.00056,exact,exact,room_temperature,room_temperature,0.0001599999999999,0.0001599999999999,1.4,1.4,True,False,absolute_difference,0.0001,100.0,0.0,0.0,0.0,-0.0438271604938274,0.0,0.0080933287958335,1.0833333333333144,0.0,434.4166666666715,0.9882667428120584,-0.0138888888888888,-0.0208333333333334,1.625,0.0,11.279572846118445,-1.569110031138449,-2.9886752136752137,0.2222222222222222,144.875,27.90195830374308,2.4652777777777777,0.0,0.0,0.0,0.0438271604938274,0.0,0.0555555555555555
