feature,importance
mean_r_all_pm,1759.0
mean_atwt_geometric_mean_all,1594.0
mean_entropy_c_l,1509.0
mean_field_x_r_diff,1427.0
delta_atwt_geometric_mean_all,1411.0
mean_n_Li,1314.0
delta_entropy_c_l,1181.0
composition_L1_distance,1140.0
mean_chi_all,1109.0
delta_n_host_cation,1065.0
abs_delta_field_x_r_diff,976.0
delta_ir_mean_square_all,847.0
mean_log10_rho_plus_incl_li,793.0
mean_log10_phi_plus_incl_li,789.0
delta_field_x_r_diff,781.0
abs_delta_log10_rho_plus_incl_li,773.0
delta_r_all_pm,717.0
delta_chi_minus,695.0
delta_chi_all,649.0
abs_delta_log10_phi_plus_incl_li,638.0
delta_r_minus_pm,626.0
delta_log10_phi_plus_incl_li,604.0
delta_log_rho_ratio,600.0
abs_delta_entropy_c_l,546.0
delta_n_Li,521.0
abs_delta_n_Li,479.0
delta_log10_rho_plus_incl_li,451.0
family_normalized,26.0
