trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.49800755284901344,7.768824,3,1300,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451
1,COMPLETE,0.473824413451187,12.037342,8,500,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923
2,COMPLETE,0.43745266190711807,3.003527,6,300,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934
3,COMPLETE,0.48958138077665253,40.887371,8,1400,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195
4,COMPLETE,0.4396783640654764,12.572725,4,1200,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535
5,PRUNED,0.36815406986905364,2.574857,8,600,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745
6,PRUNED,0.33908748261619265,5.290123,6,700,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583
7,PRUNED,0.3638015388128657,3.057716,4,1400,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245
8,PRUNED,0.36461509184483143,5.826642,3,1300,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965
9,COMPLETE,0.4917384048721928,17.008853,6,800,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537
10,PRUNED,0.4196115149341414,3.482674,3,1100,0.047485900137168094,7,37,0.9630659181130071,0.9856177842864579,3.9951522674461425e-06,0.0014789444031615955
11,PRUNED,0.4781858517336583,29.285284,-1,900,0.02622984807833443,52,17,0.9980728171748331,0.9066933545805345,1.307413288946424e-08,0.012118324237802236
12,COMPLETE,0.4874400628371857,29.173114,10,900,0.0242280805734515,24,6,0.7984165248678857,0.8505812976968798,1.3764936682901636e-06,0.005860724888707041
13,PRUNED,0.4223899259576578,7.122813,5,1000,0.040332226977607015,21,16,0.8476671509616371,0.7277418058543059,2.2236833735447188e-07,0.062167970271545456
14,PRUNED,0.42080207832774436,3.186278,6,400,0.016993225391769347,63,39,0.7451192356711429,0.9541714714662151,3.9794797075090296e-05,0.004400812734486868
15,PRUNED,0.43133679061255603,2.780457,3,800,0.046826633238052334,7,19,0.9300179693867359,0.7096540497031316,1.8804343456734505e-07,0.4831059899937706
16,PRUNED,0.46736144614840874,3.937217,5,200,0.07380656081669908,18,12,0.9897384924916927,0.8282279795555766,3.6252775578616306e-07,0.04085145049122752
17,COMPLETE,0.4914324160843426,27.045509,10,700,0.01837437951046067,28,27,0.7509376605388809,0.9069968527889157,0.003679666865077948,0.0035973989687933545
18,COMPLETE,0.49401245530553417,57.71208,-1,1100,0.03213022255988879,45,5,0.8624175337686146,0.7786923814871461,6.479872737032061e-08,1.7013706114941525
19,PRUNED,0.38680594049718475,15.717926,-1,1200,0.03235897176404698,41,34,0.8866418406477495,0.8804951417870385,5.799449092292779e-05,3.914105526064889
20,PRUNED,0.48162526252010746,32.77915,-1,1100,0.1484745325530142,48,12,0.9435756002507167,0.6758646896126173,9.928918118368214e-07,0.7458567407848368
21,PRUNED,0.4103929163619873,5.863893,3,1000,0.018637122039244867,7,5,0.8467743635669058,0.7868237853381129,4.8246938114667266e-08,2.558451461011008
22,PRUNED,0.48674634954283585,35.936045,6,1200,0.055804471998612826,44,10,0.7645081020866983,0.7844852925976914,6.731261855997665e-08,0.0158856561406159
23,PRUNED,0.4323072850055156,32.218528,-1,1300,0.03467962072184411,58,21,0.8794544674201203,0.6725655210593326,1.1154576524048798e-08,0.10870424795284268
24,PRUNED,0.38533230122843265,9.122207,6,900,0.021224111451538585,28,15,0.8132184950327838,0.9449007662932065,2.680507093650487e-06,5.159446506533679
25,PRUNED,0.4726761975393691,27.744038,-1,1100,0.03218996638403106,37,9,0.9003012978947098,0.7579239332410764,1.4178383324609216e-07,0.007307080192361467
26,PRUNED,0.4802043897471006,4.384411,3,800,0.04157351139845061,7,27,0.9580082455302908,0.8616240439819736,1.07620831471863e-05,0.2695929820256714
27,PRUNED,0.4225996667796146,7.894484,4,1300,0.014187793004940689,10,5,0.7771179648010406,0.800972849590822,5.663460988586196e-07,0.0025119970963543878
28,PRUNED,0.4761380464817524,18.433857,10,1000,0.0615122964243797,49,14,0.8236992204941305,0.7080073019010353,0.022094810952514123,0.02796896872391137
29,PRUNED,0.4231265444083834,5.065072,5,500,0.02959528125761993,14,9,0.722433078892918,0.7513434716372158,0.00017522862089164933,0.0012430100735167063
30,PRUNED,0.38131943562307635,3.35616,3,600,0.02544095528154747,7,43,0.8664334652522899,0.8996402997468167,6.092873623095969e-08,0.009133562586985042
31,PRUNED,0.488898043966457,17.90894,10,700,0.021468728707071137,33,24,0.7195145381277781,0.9992483437747103,0.003919837864507243,0.0029770248716715665
32,PRUNED,0.4222000723393857,7.451319,10,700,0.015669336606693257,29,30,0.826134802264777,0.9364086600305012,0.005052178774738277,0.0031158898812587493
33,PRUNED,0.48270646607748646,21.802241,10,600,0.020537048344494033,38,8,0.7790728468898638,0.905418827982759,0.022845864010392423,0.02231834178762166
34,COMPLETE,0.49424740724845834,42.063297,8,1400,0.014754186263697342,29,19,0.7471771155628381,0.8475678591499118,0.0010693780132225849,0.0011019591987285673
35,PRUNED,0.43435744649205765,20.012031,8,1400,0.013861106620724678,21,13,0.6211024033612567,0.8351418816268271,0.0006214279945959062,0.001059414963904381
36,PRUNED,0.3850009598500871,12.583251,8,1300,0.07636035006371938,34,19,0.6788659782689624,0.7773777267774189,0.10013281114432741,29.582613877361762
37,PRUNED,0.27963701874854074,4.049707,8,1400,0.0490275498371688,31,8,0.654380546423744,0.6411832091429095,6.8657275946606875,0.001977928214304075
38,PRUNED,0.43700091666587787,9.878648,6,1200,0.037848162500622645,25,60,0.9110273573712875,0.8752353949336196,3.108338851604478e-08,0.06691363464762735
39,PRUNED,0.42596434791362,12.559176,8,1400,0.028778539989156273,18,23,0.733991734881501,0.8046313639279707,5.627048326959522e-06,1.3574093944979428
40,PRUNED,0.4243221728877563,11.798654,4,1300,0.012392205025489933,10,18,0.7089527482724085,0.7327357444283892,0.0011034741008868008,0.015555159372026936
41,PRUNED,0.42469698568600633,9.869378,6,700,0.01823053967838988,27,32,0.7516664242813047,0.971689757492779,0.00015943618726842925,0.003762146652729767
42,PRUNED,0.4189518881008003,14.35332,8,500,0.013583109896547573,37,11,0.7872878807842063,0.9205637813527894,0.009447928365747496,0.0059117967523478554
43,PRUNED,0.42350893058449035,10.227226,-1,800,0.022841792680012556,23,27,0.8090979904615182,0.8464941241674918,0.001355544043045915,0.0019772425705733786
44,PRUNED,0.3862621597280743,6.759992,10,900,0.016188590508052245,31,22,0.8395505804205186,0.8136537510891093,0.13245897410521795,0.009639573053199652
45,PRUNED,0.4265722819432084,3.93406,3,1100,0.019195427635478605,8,5,0.6896720808325465,0.8828144873050422,5.0039582558808633e-05,0.004192439576402458
46,PRUNED,0.4221805456200993,5.265793,6,600,0.02659645626591469,42,25,0.759934502687242,0.9293581656934656,2.131877003788564e-08,0.0010101982580197064
47,PRUNED,0.42578872432178627,13.888011,8,1200,0.010602290515731708,21,16,0.8744566302691762,0.8608216505938876,1.2552176073858113e-07,0.04017268393964107
48,PRUNED,0.48480198093886967,5.715627,-1,400,0.05319118931471996,17,8,0.9805351952617842,0.7680609215943228,0.03333140388651884,0.005623074446513641
