feature,importance
mean_r_all_pm,0.07734899655615747
mean_field_x_r_diff,0.061797560948432195
mean_atwt_geometric_mean_all,0.058444529649240594
mean_n_Li,0.04875341978048719
mean_chi_all,0.04731304095781552
mean_log10_rho_plus_incl_li,0.04523860959469714
mean_log10_phi_plus_incl_li,0.04187785860928813
mean_entropy_c_l,0.03808610441456374
delta_atwt_geometric_mean_all,0.0377640373518215
delta_ir_mean_square_all,0.03483590213098065
delta_log_rho_ratio,0.03333924943936284
delta_entropy_c_l,0.03265941401151827
delta_log10_rho_plus_incl_li,0.030952910590724782
delta_chi_all,0.030534890749399336
delta_n_host_cation,0.030204273852903054
composition_L1_distance,0.030138217311346884
delta_r_all_pm,0.02988681864056995
abs_delta_log10_rho_plus_incl_li,0.029752161160924107
abs_delta_n_Li,0.029252622300665075
abs_delta_entropy_c_l,0.027862527246667046
delta_field_x_r_diff,0.026703785826035827
delta_n_Li,0.02643904512647675
delta_log10_phi_plus_incl_li,0.024823461941625647
abs_delta_field_x_r_diff,0.024059696507003007
family_normalized_halides,0.023249173846927262
abs_delta_log10_phi_plus_incl_li,0.022674127859890633
delta_r_minus_pm,0.013984663709644038
delta_chi_minus,0.013590982470783528
family_normalized_lgps,0.00663077494866286
family_normalized_perovskites,0.0033240286331094626
family_normalized_thio_lisicon,0.002936521044810956
family_normalized_garnet,0.002857448321114437
family_normalized_argyrodites,0.002630240930713912
family_normalized_oxides,0.001478038100566817
family_normalized_lisicon,0.00146558492598152
family_normalized_nasicon,0.0014389885096338993
family_normalized_thio_phosphate,0.0012667668418756696
family_normalized_molybdates,0.0012291747974753286
family_normalized_chlorides,0.0011519159452979928
family_normalized_antiperovskite,0.0008057474058335754
family_normalized_sulfides,0.00047756840484131915
family_normalized_sulfide,0.00027844154351806176
family_normalized_hexaoxometalates,0.00018305565074237242
family_normalized_lanthanumlithiumoxide,0.00014433648026942615
family_normalized_phosphates,0.00013328492960014524
