trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features_float
0,COMPLETE,0.4274229843655787,18.913312,log2,800,10.0,20,9,
1,COMPLETE,0.4244501544795772,14.181231,sqrt,600,10.0,10,8,
2,COMPLETE,0.43266504859305377,27.251262,float,900,10.0,15,5,0.3325152889039984
3,COMPLETE,0.43157649906829887,28.789408,log2,1200,30.0,16,10,
4,COMPLETE,0.42354457214596997,13.406711,float,400,15.0,12,2,0.36194475143634364
5,PRUNED,0.37815066269503556,8.251618,float,400,6.0,4,9,0.8405713385076601
6,PRUNED,0.3486299562623776,5.874479,sqrt,600,10.0,16,6,
7,PRUNED,0.38663916088588784,10.236698,sqrt,700,30.0,6,5,
8,PRUNED,0.3159368931497058,3.986721,sqrt,500,6.0,18,6,
9,PRUNED,0.3822303445362584,5.870762,log2,400,10.0,6,2,
10,COMPLETE,0.44170202010363563,29.630696,float,1000,,12,4,0.30419802806907204
11,COMPLETE,0.44170202010363563,33.145322,float,1000,,12,4,0.3076157963068337
12,PRUNED,0.3556324973087026,18.827608,float,1100,,11,3,0.32278491645910584
13,PRUNED,0.3555961755881918,29.276602,float,1000,,9,4,0.5713159428447726
14,PRUNED,0.39645887512304173,43.963167,float,1000,20.0,13,1,0.5511218635601574
15,PRUNED,0.35603227378873464,27.921261,float,1200,,8,4,0.4646146633144077
16,PRUNED,0.38798431668606814,30.734907,float,1000,8.0,13,7,0.8329514613788551
17,PRUNED,0.35344865191510166,20.33703,float,800,,14,4,0.7056358853852686
18,COMPLETE,0.4507754710746935,47.57135,float,900,,2,3,0.4610508991175081
19,COMPLETE,0.4496957569953873,38.779804,log2,900,20.0,2,1,
20,COMPLETE,0.4486014323218595,32.340432,log2,700,20.0,2,1,
21,COMPLETE,0.4486014323218595,29.228767,log2,700,20.0,2,1,
22,PRUNED,0.4023482038443218,21.570339,log2,900,20.0,2,2,
23,PRUNED,0.3976258203536223,20.277589,log2,800,20.0,4,1,
24,PRUNED,0.35578338251058034,13.845363,log2,900,20.0,4,3,
25,PRUNED,0.3343709426819303,7.908695,log2,600,8.0,2,2,
26,PRUNED,0.39424594334602997,16.546472,log2,700,20.0,6,1,
27,PRUNED,0.39978281037718394,21.080448,log2,900,15.0,4,3,
28,COMPLETE,0.4620075264572555,12.56708,log2,300,20.0,7,2,
29,PRUNED,0.35463369031479836,4.679133,log2,300,20.0,7,3,
30,PRUNED,0.31084455644536124,12.875192,log2,1100,6.0,5,2,
31,PRUNED,0.3962743702107352,7.673638,log2,300,20.0,3,1,
32,PRUNED,0.4013142306093063,12.588426,log2,500,20.0,3,2,
33,PRUNED,0.3527046399490623,12.435757,log2,800,20.0,8,1,
34,PRUNED,0.3958077500427631,32.960771,sqrt,1100,30.0,3,3,
35,PRUNED,0.3929491995741534,19.47151,log2,800,15.0,5,2,
36,PRUNED,0.3353054062969523,11.128759,log2,900,8.0,2,1,
37,PRUNED,0.35590414733590187,8.290324,log2,500,20.0,10,5,
38,PRUNED,0.3470800019509081,8.948826,log2,700,10.0,5,10,
39,PRUNED,0.3525833375163068,10.097197,sqrt,600,20.0,7,8,
40,PRUNED,0.3501864664232414,14.778775,sqrt,900,30.0,20,3,
41,COMPLETE,0.4486014323218595,29.155949,log2,700,20.0,2,1,
42,PRUNED,0.40127594345705764,18.328367,log2,700,20.0,3,1,
43,PRUNED,0.3084596522502271,8.878443,log2,800,6.0,2,2,
44,PRUNED,0.4013142306093063,14.557343,log2,500,20.0,4,2,
45,PRUNED,0.39673609948265015,14.316797,log2,600,15.0,18,1,
46,PRUNED,0.4400441715821125,100.081353,float,900,,3,2,0.949593054349227
47,PRUNED,0.3508478188151921,6.743567,log2,400,10.0,5,1,
48,COMPLETE,0.4508989163212764,84.376941,float,800,20.0,6,2,0.6849653003821572
49,PRUNED,0.38410820017822916,60.752504,float,1000,,9,6,0.6835935368794925
