feature,importance
family_normalized_halides,0.1260509043931961
family_normalized_perovskites,0.11923540383577347
mean_r_all_pm,0.07468786090612411
delta_n_host_cation,0.05430854484438896
abs_delta_entropy_c_l,0.04103947430849075
abs_delta_n_Li,0.0390532910823822
mean_n_Li,0.03853433206677437
delta_r_minus_pm,0.03278318792581558
delta_n_Li,0.03213627636432648
mean_log10_phi_plus_incl_li,0.03138961270451546
delta_r_all_pm,0.029295029118657112
mean_field_x_r_diff,0.02824598178267479
mean_atwt_geometric_mean_all,0.02763453498482704
delta_entropy_c_l,0.02744661457836628
abs_delta_field_x_r_diff,0.026370171457529068
mean_log10_rho_plus_incl_li,0.02359778806567192
mean_entropy_c_l,0.0226049292832613
delta_atwt_geometric_mean_all,0.022027812898159027
abs_delta_log10_rho_plus_incl_li,0.02194511890411377
mean_chi_all,0.021599292755126953
composition_L1_distance,0.02002554200589657
delta_chi_minus,0.01940307393670082
delta_field_x_r_diff,0.01914098486304283
delta_ir_mean_square_all,0.01814434677362442
delta_chi_all,0.017674535512924194
abs_delta_log10_phi_plus_incl_li,0.016563780605793
delta_log10_rho_plus_incl_li,0.013868176378309727
delta_log_rho_ratio,0.013604963198304176
delta_log10_phi_plus_incl_li,0.013466273434460163
family_normalized_garnet,0.00812224019318819
family_normalized_antiperovskite,0.0
family_normalized_argyrodites,0.0
family_normalized_chlorides,0.0
family_normalized_lanthanumlithiumoxide,0.0
family_normalized_lgps,0.0
family_normalized_lisicon,0.0
family_normalized_hexaoxometalates,0.0
family_normalized_molybdates,0.0
family_normalized_nasicon,0.0
family_normalized_oxides,0.0
family_normalized_phosphates,0.0
family_normalized_sulfide,0.0
family_normalized_sulfides,0.0
family_normalized_thio_lisicon,0.0
family_normalized_thio_phosphate,0.0
