trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.4707935418487098,9.979024,600,10,0.07259248719561363,4.550475813202184,0.6624074561769746,0.5779972601681014,3.200866785899844e-08,0.6245760287469893,0.49120728102827715
1,COMPLETE,0.3646930739927299,7.556602,1100,3,0.13826189316223852,10.779361932748845,0.6849356442713105,0.5909124836035503,3.939402261362697e-07,5.472429642032198e-06,0.22356209648036382
2,COMPLETE,0.46729055246590423,14.754566,700,5,0.05243180891902853,0.8364645453054501,0.7168578594140873,0.6831809216468459,9.275538076980542e-05,0.1165691561324743,0.007833642249746978
3,COMPLETE,0.20599940258081081,5.893056,800,7,0.011340440501807348,4.702115628087815,0.6682096494749166,0.5325257964926398,1.7960847528705854,4.905556676028774,4.161912539691215
4,COMPLETE,0.45252118909865613,6.814457,500,3,0.06378528225249058,2.5358333235759627,0.6488152939379115,0.7475884550556351,1.9913367728263115e-08,1.527156759251193,0.014407524139905934
5,PRUNED,0.3052177726537826,3.058347,1000,5,0.04089285700048085,3.7569262495760847,0.6739417822102108,0.9847923138822793,0.05531681668096113,2.854239907497756,10.144964926243938
6,PRUNED,0.37317247964711087,7.929409,900,10,0.012707942999213693,1.0302587393796305,0.6180909155642152,0.6626651653816322,2.4048726561760165e-05,2.7678419414850017e-06,5.132846974139577
7,PRUNED,0.24092820741191917,4.520893,600,5,0.043477055106943,0.8408897660399112,0.9208787923016158,0.5372753218398854,3.845031120156871,0.08916674715636537,0.007756650107886999
8,PRUNED,0.4441131620298696,2.550847,200,9,0.06781546492336318,7.360091638366141,0.9085081386743783,0.5370223258670452,1.3130541002425655e-05,1.1036250149900698e-07,7.315073480547534
9,PRUNED,0.3808982236849393,6.418221,1000,5,0.011878194167382767,1.5746438450976663,0.7300733288106989,0.864803089169032,0.0035163599046376553,0.9658611176861268,0.13006590833121745
10,PRUNED,0.26616303403304875,3.573959,1400,8,0.02300787305719081,15.579555455108695,0.8085360047450805,0.8451235367845725,1.3543760466887401e-08,0.00407745022049304,0.3584362893339596
11,COMPLETE,0.48948246867794315,10.851746,500,6,0.10587366386835911,0.6545821079287675,0.7737425087025646,0.6712579968688783,1.2255527414175436e-06,0.0029151336209232927,0.0010977518826291112
12,COMPLETE,0.46501792468117875,9.306924,300,7,0.11816729311576762,0.5240624908414092,0.8072278933968182,0.6372424866412404,1.4201541894681798e-06,0.0014682999463881982,0.0010620452901273685
13,COMPLETE,0.48730067543372674,5.940442,400,10,0.0964579596467654,2.2510457472970016,0.7667698433310003,0.7484483315394533,3.494184547839812e-07,0.00012813500886762333,0.8737151548232001
14,COMPLETE,0.5031880173134443,6.849857,400,8,0.09675277618178336,1.9787029019317903,0.8524337374155861,0.7655620151757302,1.0997212026523018e-06,3.9794797075090296e-05,1.4323330878861038
15,PRUNED,0.4103216918456784,4.86302,400,8,0.08601525214764137,0.5206853334788992,0.8634491180134073,0.8349075096833006,0.000627617274972775,9.479148193841332e-06,0.061043816823093365
16,PRUNED,0.3740364722178383,2.376727,200,6,0.023132306297354834,1.2434338605860678,0.8642396983313834,0.788474586944839,4.943992384059384e-06,1.757807193950478e-08,0.0011455259736432694
17,COMPLETE,0.4967688603316107,12.917639,500,8,0.02639595556759427,1.7058400684452146,0.8505915654206465,0.9478668969549888,2.673709299023316e-07,0.00022139685293606914,1.7036310045963763
18,COMPLETE,0.4890083021988357,15.480886,700,8,0.027568648697525074,1.8639367149818271,0.9625096430050373,0.9746879509429125,9.346895001424408e-08,0.0001402154720337061,1.5352516539585945
19,PRUNED,0.39417505500537264,2.801403,400,9,0.02961917019736433,2.7930663933373268,0.8502850456691396,0.9164733153211085,0.0005246429441394229,3.359183778987816e-07,22.578474361313386
20,COMPLETE,0.5101987724144232,33.287224,1400,9,0.01643716064688254,1.3481006155227904,0.9978714866451384,0.9192935333529578,1.611222583959168e-07,5.921562564933489e-05,1.9588290844961265
21,COMPLETE,0.5112947943016357,31.925386,1300,9,0.016638689816595744,1.3981709494393009,0.9893716564113967,0.9210327745514459,1.5820995347698474e-07,3.7062520158134615e-05,1.8452326584711154
22,PRUNED,0.43649734793962947,16.025133,1400,9,0.016700892080006406,1.305292611935568,0.9974301116506077,0.8936470541851865,1.8935167927799457e-06,1.3707461054401982e-05,2.4378070173305084
23,PRUNED,0.4154417292213414,12.632145,1300,9,0.01654961494797953,1.066090909146895,0.9847439984611582,0.8055484978469067,7.468632918885687e-08,5.545679857051563e-05,0.6895298073449174
24,PRUNED,0.4014033278187718,11.358071,1200,9,0.01516506181673173,1.9689119370500638,0.9448122340810033,0.9204784421050348,6.550303939883555e-05,1.556871321823913e-06,21.59498249573234
25,PRUNED,0.47721552187009425,15.590585,1300,7,0.020821968766274207,3.2774285380181074,0.9032710624901972,0.9991298866423729,6.442274493789199e-06,0.0015332079538135268,0.05459600521955568
