feature,importance
mean_r_all_pm,11.987070808755778
family,11.539796237299122
mean_atwt_geometric_mean_all,8.244257471346474
mean_field_x_r_diff,6.457021056476743
delta_atwt_geometric_mean_all,5.936030868510661
composition_L1_distance,5.89620322655641
delta_entropy_c_l,5.344219005504954
mean_n_Li,4.445537591615737
abs_delta_field_x_r_diff,4.366702878806438
delta_chi_all,3.931273774384646
mean_entropy_c_l,3.6732584709284666
mean_log10_phi_plus_incl_li,3.2085005170833054
mean_log10_rho_plus_incl_li,3.0694586111588857
delta_field_x_r_diff,2.6709885033070417
abs_delta_n_Li,2.6107964457924293
delta_log_rho_ratio,2.1748565424725874
delta_ir_mean_square_all,1.9397259222901424
mean_chi_all,1.7800264596184208
delta_r_all_pm,1.5264025892391506
abs_delta_log10_rho_plus_incl_li,1.4368489633557733
delta_log10_rho_plus_incl_li,1.3367849835643444
delta_n_host_cation,1.2950325495395811
delta_n_Li,1.2472464899898672
abs_delta_log10_phi_plus_incl_li,1.2198341782357531
abs_delta_entropy_c_l,0.8443082231486925
delta_log10_phi_plus_incl_li,0.784720580031828
delta_chi_minus,0.761851326648466
delta_r_minus_pm,0.27124572433831706
