doi,cv_fold
10.1002/adma.201803075,1
10.1007/s10008-012-1780-x,1
10.1016/0167-2738(81)90021-7,1
10.1016/j.cej.2021.130630,1
10.1016/j.mseb.2004.07.003,1
10.1016/j.ssi.2012.03.045,1
10.1016/j.ssi.2015.09.001,1
10.1016/s0167-2738(02)00007-3,1
10.1016/s0167-2738(98)00070-8,1
10.1021/acs.chemmater.5c00627,1
10.1021/acs.chemmater.8b01504,1
10.1021/acs.energyfuels.6c01704,1
10.1021/acsaem.6c01288,1
10.1021/am503731h,1
10.1021/jacs.0c10735,1
10.1021/jacs.8b10282,1
10.1038/s41467-024-45864-1,1
10.1038/srep18053,1
10.1039/c3cp50991e,1
10.1039/c4ta05231e,1
10.1039/d5ta05447h,1
10.1088/1757-899x/924/1/012037,1
10.1126/sciadv.abh1896,1
10.1149/1.1379028,1
10.1002/aenm.202405760,2
10.1002/anie.202217581,2
10.1016/0167-2738(86)90179-7,2
10.1016/0167-2738(93)90387-i,2
10.1016/j.est.2024.111700,2
10.1016/j.jallcom.2017.05.278,2
10.1016/s0167-2738(00)00761-x,2
10.1021/acs.jpclett.5c00947,2
10.1021/acsami.8b00842,2
10.1021/ic400577v,2
10.1021/ja308741y,2
10.1038/nenergy.2016.30,2
10.1039/c2jm31413d,2
10.1039/d0ee01017k,2
10.1006/jssc.1995.1140,3
10.1016/0025-5408(89)90053-6,3
10.1016/j.mseb.2007.07.009,3
10.1016/j.physb.2011.11.006,3
10.1016/j.ssi.2004.05.010,3
10.1016/s0378-7753(97)02645-1,3
10.1021/acs.chemmater.7b05139,3
10.1021/acsami.6b14402,3
10.1021/cm020609u,3
10.1023/a:1026135806929,3
10.1039/b301189e,3
10.1063/1.2357843,3
10.1063/1.3356981,3
10.1149/1.2086597,3
10.1002/adma.202501838,4
10.1002/smll.202407418,4
10.1016/j.jssc.2005.12.025,4
10.1016/j.ssi.2014.07.018,4
10.1016/s0167-2738(98)00414-7,4
10.1021/acs.chemmater.0c04150,4
10.1021/acs.chemmater.8b02759,4
10.1021/acs.chemmater.8b03175,4
10.1021/acs.inorgchem.7b00816,4
10.1021/acsnano.4c16514,4
10.1021/am4060194,4
10.1021/cm970078n,4
10.1021/jacs.7b06327,4
10.1021/jp304737x,4
10.1039/a807007e,4
10.1039/d2ta01462a,4
10.1107/s2052520615022283,4
10.1149/1.2096693,4
10.1149/2.024205esl,4
10.3389/fenrg.2016.00028,4
10.1002/pssa.201001117,5
10.1006/jssc.2002.9701,5
10.1007/s11581-006-0011-9,5
10.1007/s11581-007-0097-8,5
10.1016/0025-5408(76)90169-0,5
10.1016/j.cej.2022.140509,5
10.1016/j.jeurceramsoc.2014.11.023,5
10.1016/j.jpowsour.2011.05.031,5
10.1016/j.jpowsour.2013.03.166,5
10.1016/j.materresbull.2007.10.035,5
10.1016/j.ssi.2008.10.022,5
10.1016/j.ssi.2012.05.011,5
10.1016/j.ssi.2015.10.016,5
10.1016/s0955-2219(99)00055-2,5
10.1016/s1003-6326(25)66819-1,5
10.1021/acs.chemmater.7b05108,5
10.1021/acs.chemmater.8b00266,5
10.1021/acs.inorgchem.5b01895,5
10.1021/acs.jpcc.5c05412,5
10.1021/acsami.2c21022,5
10.1021/acsami.4c01352,5
10.1021/cm001207u,5
10.1021/ic030208w,5
10.1039/c4fd00143e,5
10.1039/c7ta08581h,5
10.1111/j.1551-2916.2005.00060.x,5
10.1134/s002016851103006x,5
