pair_id,group_id,doi,化学式_a,化学式_b,family,trend_label,pair_weight_group_equal,delta_entropy_c_l,delta_log10_rho_plus_incl_li,delta_log10_phi_plus_incl_li,delta_field_x_r_diff,delta_n_Li,delta_log_rho_ratio,delta_r_all_pm,delta_n_host_cation,delta_ir_mean_square_all,delta_atwt_geometric_mean_all,delta_chi_all,delta_chi_minus,delta_r_minus_pm,mean_entropy_c_l,mean_log10_rho_plus_incl_li,mean_log10_phi_plus_incl_li,mean_field_x_r_diff,mean_n_Li,mean_r_all_pm,mean_atwt_geometric_mean_all,mean_chi_all,abs_delta_entropy_c_l,abs_delta_log10_rho_plus_incl_li,abs_delta_log10_phi_plus_incl_li,abs_delta_field_x_r_diff,abs_delta_n_Li,composition_L1_distance
trpair_000002,trgrp_0002,10.1002/adma.201803075,Li3YCl6,Li3YBr6,halides,increase,1.0,0.0,0.0,0.0,-0.28391523362862614,0.0,0.10373248946187452,9.0,0.0,3393.0,14.973285393046115,-0.12000000000000055,-0.20000000000000062,15.0,0.0,11.099464641133629,-1.7229025635944273,-2.1556264113253434,0.3,142.945,31.315951294319284,2.252,0.0,0.0,0.0,0.28391523362862614,0.0,1.2
trpair_000003,trgrp_0003,10.1002/adma.202501838,Li6PI3,Li3YbCl6,halides,decrease,0.16666666666666666,0.0,0.04245991634835811,0.1249074642783563,0.08311753285543677,-0.3,-0.01088089644640955,9.829999999999998,0.1,28.74899999999252,6.195183031110503,0.8283333333333336,0.6175000000000002,-37.00000000000003,0.0,11.11589254212689,-1.7668500406918466,-2.188070863201912,0.44999999999999996,132.615,22.372649723656867,2.019166666666667,0.0,0.04245991634835811,0.1249074642783563,0.08311753285543677,0.3,1.4000000000000001
trpair_000004,trgrp_0003,10.1002/adma.202501838,Li6PI3,Li3LuCl6,halides,decrease,0.16666666666666666,0.0,0.005800365145589126,0.1069320627968644,0.2121556007226748,-0.3,-0.04754044764917986,10.716666666666683,0.1,190.53611111110513,6.223405937277963,0.685,0.6175000000000002,-37.00000000000003,0.0,11.097562766525504,-1.7758377414325928,-2.123551829268293,0.44999999999999996,133.05833333333334,22.3867611767406,1.9475,0.0,0.005800365145589126,0.1069320627968644,0.2121556007226748,0.3,1.4000000000000001
trpair_000005,trgrp_0003,10.1002/adma.202501838,Li6PI3,Li3YCl6,halides,decrease,0.16666666666666666,0.0,0.004802057180919306,0.10640120923659757,0.21596083511859998,-0.3,-0.04853875561384968,10.74499999999999,0.1,195.96524999999383,4.554250389694609,0.7070000000000003,0.6175000000000002,-37.00000000000003,0.0,11.09706361254317,-1.776103168212726,-2.1216492120703303,0.44999999999999996,133.0725,21.55218340294892,1.9585000000000001,0.0,0.004802057180919306,0.10640120923659757,0.21596083511859998,0.3,1.4000000000000001
trpair_000006,trgrp_0003,10.1002/adma.202501838,Li3YbCl6,Li3LuCl6,halides,unchanged,0.16666666666666666,0.0,-0.03665955120276898,-0.017975401481491904,0.12903806786723804,0.0,-0.03665955120277031,0.8866666666666845,0.0,161.7871111111126,0.028222906167460593,-0.14333333333333353,0.0,0.0,0.0,11.118792724699684,-1.7133840092934145,-2.0819930628405743,0.3,137.97333333333336,25.48435269229585,2.361666666666667,0.0,0.03665955120276898,0.017975401481491904,0.12903806786723804,0.0,0.2
trpair_000007,trgrp_0003,10.1002/adma.202501838,Li3YbCl6,Li3YCl6,halides,unchanged,0.16666666666666666,0.0,-0.0376578591674388,-0.018506255041758735,0.1328433022631632,0.0,-0.03765785916744013,0.914999999999992,0.0,167.2162500000013,-1.640932641415894,-0.1213333333333333,0.0,0.0,0.0,11.118293570717348,-1.713649436073548,-2.080090445642612,0.3,137.9875,24.64977491850417,2.372666666666667,0.0,0.0376578591674388,0.018506255041758735,0.1328433022631632,0.0,0.2
trpair_000008,trgrp_0003,10.1002/adma.202501838,Li3LuCl6,Li3YCl6,halides,unchanged,0.16666666666666666,0.0,-0.00099830796466982,-0.0005308535602668307,0.003805234395925172,0.0,-0.00099830796466982,0.028333333333307564,0.0,5.429138888888701,-1.6691555475833546,0.02200000000000024,0.0,0.0,0.0,11.099963795115965,-1.7226371368142939,-2.0155714117089927,0.3,138.43083333333334,24.6638863715879,2.301,0.0,0.00099830796466982,0.0005308535602668307,0.003805234395925172,0.0,0.2
trpair_000009,trgrp_0008,10.1002/aenm.202405760,Li2.4Zr0.8Zn0.2Cl6,Li2ZrCl6,halides,decrease,1.0,-0.5004024235381879,0.02825170827068746,0.04580024274307748,-0.2717160717343434,-0.03309692671394798,0.028251708270687237,3.496453900709213,0.004728132387706849,840.3416075650057,1.738186641481903,0.05669030732860536,0.0,0.0,0.25020121176909393,11.2654469919831,-1.5920101525099877,-2.8309035975611283,0.2387706855791962,142.58510638297872,26.538731611596095,2.44387706855792,0.5004024235381879,0.02825170827068746,0.04580024274307748,0.2717160717343434,0.03309692671394798,0.10874704491725772
trpair_000010,trgrp_0009,10.1002/aenm.202405760,Li3Zr0.5Zn0.5Cl6,Li2.8Zr0.6Zn0.4Cl6,halides,increase,0.06666666666666667,-0.020135513550688766,0.01046831477572141,0.018140404950814926,-0.09391115247821169,-0.01428571428571429,0.010468314775721188,1.50918367346938,0.002040816326530595,362.71887755102216,0.6739801210214189,0.024469387755101657,0.0,0.0,0.683079423784601,11.222407579854055,-1.6638931002315613,-2.429614122542454,0.2928571428571428,136.87125850340135,23.83362875135817,2.351234693877551,0.020135513550688766,0.01046831477572141,0.018140404950814926,0.09391115247821169,0.01428571428571429,0.046938775510204006
trpair_000011,trgrp_0009,10.1002/aenm.202405760,Li3Zr0.5Zn0.5Cl6,Li2.6Zr0.7Zn0.3Cl6,halides,increase,0.06666666666666667,-0.08228287850505178,0.021811284970691958,0.037445743039601576,-0.19751607570142982,-0.02916666666666662,0.021811284970691514,3.081249999999983,0.004166666666666666,740.5510416666657,1.3966084640366319,0.04995833333333355,0.0,0.0,0.6520057413074194,11.22807906495154,-1.654240431187168,-2.481416584154063,0.28541666666666665,137.65729166666665,24.194942922865774,2.3639791666666667,0.08228287850505178,0.021811284970691958,0.037445743039601576,0.19751607570142982,0.02916666666666662,0.09583333333333331
