feature,importance
mean_r_all_pm,1797.0
mean_atwt_geometric_mean_all,1473.0
mean_chi_all,1243.0
mean_field_x_r_diff,1230.0
mean_entropy_c_l,1180.0
abs_delta_field_x_r_diff,1148.0
mean_log10_rho_plus_incl_li,1022.0
mean_n_Li,1018.0
composition_L1_distance,987.0
delta_entropy_c_l,944.0
delta_atwt_geometric_mean_all,930.0
delta_field_x_r_diff,832.0
mean_log10_phi_plus_incl_li,809.0
delta_chi_all,786.0
abs_delta_log10_rho_plus_incl_li,658.0
abs_delta_log10_phi_plus_incl_li,635.0
delta_r_all_pm,613.0
delta_ir_mean_square_all,610.0
abs_delta_n_Li,566.0
delta_log_rho_ratio,553.0
abs_delta_entropy_c_l,544.0
delta_n_host_cation,468.0
delta_log10_rho_plus_incl_li,457.0
delta_log10_phi_plus_incl_li,380.0
delta_n_Li,322.0
family,220.0
delta_chi_minus,189.0
delta_r_minus_pm,114.0
