trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
0,COMPLETE,0.48981972162172294,10.069451,3,1300,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451
1,COMPLETE,0.5167160456013278,15.940736,8,500,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923
2,COMPLETE,0.4717291199079085,4.144101,6,300,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934
3,COMPLETE,0.47577693047550024,39.87984,8,1400,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195
4,COMPLETE,0.4849163102596383,13.083741,4,1200,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535
5,PRUNED,0.4557711190207804,1.994114,8,600,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745
6,PRUNED,0.4569872150890937,3.900383,6,700,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583
7,COMPLETE,0.5148485643908712,4.35487,4,1400,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245
8,PRUNED,0.4332373747573778,3.793003,3,1300,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965
9,COMPLETE,0.5076291518056593,17.720853,6,800,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537
10,PRUNED,0.45859785260673924,1.395074,5,200,0.027143052490931286,29,41,0.7521171841007243,0.97988537297271,0.004137630881036838,0.0014242579528577909
11,COMPLETE,0.5087734718768099,17.312778,-1,1000,0.12952647434903783,52,60,0.9573646608130978,0.6855298666711207,0.016181314918516,0.44569666302466543
12,PRUNED,0.11080914176327701,0.870004,10,500,0.07775659572760531,43,43,0.7509977141542071,0.8138214726279749,8.443329429009065,0.14281931360567254
13,PRUNED,0.49047637369434727,8.660795,4,1000,0.03442997054287974,10,51,0.9202581903589193,0.696097047293015,0.019249200560385617,1.5861237381035707
14,PRUNED,0.47008906486636015,1.730063,4,400,0.019846667073159092,11,35,0.6144950752479589,0.7836811366354441,9.099113145644093e-05,0.0016283889364508933
15,PRUNED,0.46254957972649,6.710447,8,900,0.04285614978404616,60,50,0.7583512765500741,0.6145345554111966,0.0011625342853840673,0.07503293560778605
16,COMPLETE,0.4976658562215345,16.694554,10,1100,0.08523976432210613,20,39,0.694092258266721,0.8671553784997498,0.12042653671267692,0.5976980736584748
17,PRUNED,0.4593266792001173,4.097461,5,700,0.018933849135702705,16,56,0.8160380080454376,0.7206008940034518,9.89503798689999e-06,3.6807105601309584
18,COMPLETE,0.5223864306260473,10.679871,-1,500,0.030065718437486528,38,45,0.9102470420771133,0.6411219363029519,0.04616341048701021,0.004263140665273523
19,PRUNED,0.4502148590573924,7.006158,-1,500,0.02961917019736433,39,45,0.99620316344506,0.7491025122658856,5.799449092292779e-05,0.006228278427487057
20,PRUNED,0.4396195286437684,2.862946,-1,200,0.015114937260340383,48,30,0.6515300616141898,0.6428913045671069,0.008930190530111222,0.0037088425557519396
21,COMPLETE,0.5231741169947435,7.197023,8,400,0.04514661010942607,36,54,0.9097018947429927,0.5609425551974193,0.1207873111743582,0.047240563392112515
22,COMPLETE,0.5146776351909572,6.385468,8,400,0.05816474743581128,35,37,0.9049257361076003,0.5507099483880998,0.07859836948544442,0.043188371396050175
23,PRUNED,0.46223576549859313,4.053529,8,500,0.04080481238021312,30,59,0.8743102919363277,0.6348927878304199,0.0010999259697737807,0.003023193245460444
24,PRUNED,0.5068045791414898,6.912004,-1,300,0.029913480811557744,46,46,0.9353758881226356,0.5687615778811453,0.06125495231451698,0.0011882395990658412
25,PRUNED,0.473353053307944,6.479473,8,600,0.024509499219521082,34,54,0.8004318296683695,0.6650037445234849,0.002163667403528837,0.01034995019234026
26,PRUNED,0.11080914176327701,0.622591,8,400,0.03718041933546563,38,47,0.9536592383103019,0.7094030161237102,6.144286017951827,0.0035227183911039433
27,PRUNED,0.4685706925247557,3.753556,-1,600,0.04636557888832807,27,19,0.7153519098863783,0.5392661283932232,0.3519981104350362,0.037209633156370485
28,PRUNED,0.47049633968455473,2.608759,8,300,0.01642897453439589,57,42,0.8336143755466924,0.7498168662908588,0.02303795987408089,0.00923381291805157
29,PRUNED,0.4544586662216993,2.13381,3,700,0.05676913461068035,7,34,0.9691557573464816,0.8870737086931336,0.00017522862089164933,0.004201238604590107
30,COMPLETE,0.5075629863456956,6.870486,5,500,0.034842593938738516,27,50,0.7934321918890359,0.6177911163224279,2.2261431603897654e-05,0.05223061747998332
31,PRUNED,0.4589574770928724,2.092369,4,800,0.09352091428509941,13,52,0.8719690389459023,0.5862019543923442,0.46850657518009853,0.3302851609914381
32,COMPLETE,0.5227385329218529,1.996467,4,300,0.046427584840427305,14,55,0.9284868347310712,0.5851171734544505,0.9200250551533913,0.10714299287249304
33,COMPLETE,0.5179761410744864,6.29863,10,300,0.04951626974676174,38,57,0.9794994904266288,0.5211849001076837,0.03351662911432928,0.026040067452811722
34,PRUNED,0.3922883187588133,0.579496,10,300,0.06530335173657476,36,58,0.982539706560533,0.5190099180757283,3.2826045727531143,0.021647624437833204
35,PRUNED,0.4741379107199574,1.913237,10,200,0.05019057470800904,43,56,0.9352468471293442,0.5303658555091706,0.04203757996997027,0.07789051110918728
36,PRUNED,0.40050705899530037,0.94993,10,400,0.051279625381872945,51,55,0.8929903058187041,0.5021345958158535,1.845772540841437,0.0909840067793892
37,PRUNED,0.45240752468669665,0.912923,4,300,0.06767325544888084,9,60,0.997563598244872,0.5695662368252599,0.21769083214964371,0.023567647346958584
38,PRUNED,0.47091964750374493,1.21368,6,200,0.031947756822435766,33,50,0.9463218000160498,0.6109513288699826,0.6415468114119863,0.00983933615475894
39,PRUNED,0.4565452243455869,3.887981,3,400,0.04132163532994222,7,45,0.9117410755321224,0.5802544339470305,0.004527459816436092,0.8381232494069981
40,COMPLETE,0.5140519050234479,4.967871,10,300,0.04724217058152245,40,57,0.8725944694177871,0.5412987149017029,0.14535727450230881,0.18120032319447504
41,PRUNED,0.47402047804017977,5.355511,8,600,0.027122777574325355,31,52,0.9709091801316412,0.6590048713019632,0.008007657458772919,0.001726162878009639
42,PRUNED,0.4880402593427133,4.238422,4,500,0.0228889918903176,12,48,0.8937275184729021,0.7956052304186468,0.0007052903112292281,0.014826408624153065
43,PRUNED,0.4720981076654262,3.404865,8,400,0.05626744150527319,21,54,0.9663814820256769,0.5996261818087791,0.03686577175100135,0.005601328132328852
44,PRUNED,0.3790026513298099,1.095641,-1,300,0.03717155274659809,43,48,0.8544772163348326,0.5192325425710855,2.0331355878320903,0.0024801897443174604
45,PRUNED,0.4621268717726768,5.590086,6,600,0.026164040898969055,37,23,0.937967905806989,0.6785925550301813,0.0026156126020938707,0.2000334534642373
46,PRUNED,0.46158417727848233,1.036817,4,200,0.03244025629426369,14,43,0.7338151547313536,0.8389977506334704,9.984837371101858e-08,0.02970348349100196
47,PRUNED,0.4299449743699527,6.196011,8,500,0.07355061960085797,25,54,0.9205200061672765,0.6335415627546239,0.013536050106996376,0.10967814985011141
