feature,importance
family,6.42420831151228
mean_r_all_pm,5.531052612885728
composition_L1_distance,4.662591997369643
delta_n_li_x_r_minus_pm,4.06016814621255
mean_field_x_r_diff,3.732757912569151
a_chi_range_x_r_avg,3.563296437854066
b_chi_range_x_r_avg,3.501828558449305
a_phi_plus_excl_li,3.376194954176306
b_phi_plus_excl_li,3.1074180086245025
a_r_all_pm,2.7830232434010345
b_r_all_pm,2.6603750100604366
delta_chi_all,2.6033299275175175
a_r_plus_incl_minus_r_minus,2.425138061998187
b_r_plus_incl_minus_r_minus,2.363310842503327
mean_entropy_c_l,2.3073058737551206
mean_n_Li,2.2185383340070377
delta_atwt_geometric_mean_all,2.145578577421069
abs_delta_field_x_r_diff,1.984808049951236
b_r_plus_excl_minus_r_minus,1.8533551505198493
delta_chi_plus_excl_minus_chi_minus,1.8388890590101925
delta_entropy_c_l,1.831674976110011
mean_atwt_geometric_mean_all,1.818975645851912
delta_r_plus_incl_li_pm,1.8183494721588944
a_r_plus_excl_minus_r_minus,1.653904625811226
a_field_x_r_diff,1.6444192833113913
a_n_li_x_r_minus_pm,1.5188215470928157
b_field_x_r_diff,1.490052398231947
b_chi_plus_excl_minus_chi_minus,1.4897856658822926
delta_n_Li,1.2833809511810872
a_r_plus_incl_li_pm,1.2219674264813172
delta_log10_rho_plus_incl_li,1.210313794014694
a_chi_plus_excl_minus_chi_minus,1.2098658734380123
b_n_li_x_r_minus_pm,1.138322906033649
a_chi_plus_incl_minus_chi_minus,1.0959043656194336
mean_log10_phi_plus_incl_li,1.0504310445362641
delta_field_x_r_diff,1.0498602015483018
b_rho_plus_excl_li_c_m3,1.035420810557927
a_rho_plus_excl_li_c_m3,1.0048048087041608
delta_r_plus_excl_minus_r_minus,0.9538051176151771
delta_phi_plus_excl_li,0.9205509705945168
abs_delta_entropy_c_l,0.9035916650357168
delta_chi_range_x_r_avg,0.894086223369674
abs_delta_log10_phi_plus_incl_li,0.8277359420422584
delta_chi_plus_incl_minus_chi_minus,0.819484437625097
b_r_plus_incl_li_pm,0.8117859814594465
delta_rho_plus_excl_li_c_m3,0.7933908093795387
mean_log10_rho_plus_incl_li,0.7910093269065616
b_chi_all,0.7689393948939209
delta_r_all_pm,0.7629758542303646
b_chi_plus_incl_minus_chi_minus,0.6165516874430131
delta_r_plus_incl_minus_r_minus,0.6082824151096061
abs_delta_log10_rho_plus_incl_li,0.5625328309592094
delta_log_rho_ratio,0.5473545361626854
a_chi_all,0.49633341044896817
delta_ir_mean_square_all,0.21216453036033903
