feature,importance
mean_atwt_geometric_mean_all,1256.0
composition_L1_distance,1131.0
abs_delta_field_x_r_diff,1031.0
mean_r_all_pm,917.0
mean_entropy_c_l,871.0
a_chi_plus_excl_minus_chi_minus,828.0
delta_atwt_geometric_mean_all,800.0
b_chi_plus_excl_minus_chi_minus,765.0
a_r_all_pm,737.0
a_chi_plus_incl_minus_chi_minus,722.0
b_chi_plus_incl_minus_chi_minus,688.0
mean_field_x_r_diff,676.0
b_r_all_pm,675.0
b_r_plus_excl_minus_r_minus,647.0
b_r_plus_incl_minus_r_minus,642.0
delta_chi_plus_excl_minus_chi_minus,633.0
a_r_plus_incl_minus_r_minus,609.0
delta_chi_plus_incl_minus_chi_minus,605.0
abs_delta_log10_phi_plus_incl_li,593.0
a_r_plus_excl_minus_r_minus,589.0
b_chi_all,578.0
a_chi_all,565.0
delta_r_plus_incl_minus_r_minus,549.0
a_chi_range_x_r_avg,542.0
b_chi_range_x_r_avg,527.0
mean_log10_rho_plus_incl_li,513.0
delta_entropy_c_l,505.0
mean_n_Li,485.0
delta_r_all_pm,480.0
a_field_x_r_diff,474.0
abs_delta_entropy_c_l,474.0
delta_chi_all,473.0
delta_r_plus_excl_minus_r_minus,458.0
abs_delta_log10_rho_plus_incl_li,457.0
mean_log10_phi_plus_incl_li,447.0
b_field_x_r_diff,416.0
delta_chi_range_x_r_avg,412.0
delta_field_x_r_diff,408.0
a_phi_plus_excl_li,402.0
b_n_li_x_r_minus_pm,380.0
b_phi_plus_excl_li,372.0
a_n_li_x_r_minus_pm,357.0
delta_ir_mean_square_all,357.0
delta_r_plus_incl_li_pm,350.0
b_r_plus_incl_li_pm,350.0
delta_log10_rho_plus_incl_li,340.0
a_r_plus_incl_li_pm,306.0
delta_n_Li,299.0
delta_rho_plus_excl_li_c_m3,282.0
delta_n_li_x_r_minus_pm,277.0
delta_phi_plus_excl_li,265.0
delta_log_rho_ratio,264.0
a_rho_plus_excl_li_c_m3,210.0
b_rho_plus_excl_li_c_m3,193.0
family,0.0
