trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5704547406694787,5.027227,3,600,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451,0.29080057737994297,0.031172065562325338,"[0.5611212225539255, 0.6148575019818642, 0.5733644511096196, 0.5836374701011574, 0.5192930576008267]"
1,COMPLETE,0.5628253549078914,9.023597,8,300,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923,0.2919040972743092,0.04709744939533498,"[0.5775851358768181, 0.6185726177795675, 0.5628155427576448, 0.578959179212613, 0.47619429891281345]"
2,COMPLETE,0.4962200492886663,2.091821,6,200,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934,0.24951654976221382,0.08095881069402802,"[0.5347983828153537, 0.5830006077098568, 0.48123191162160134, 0.5344075698123644, 0.3476617744841554]"
3,COMPLETE,0.5608619158921322,13.446643,8,600,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195,0.2907806737191166,0.046166303351875757,"[0.5010933229006526, 0.639637557664046, 0.5686634184994744, 0.5625992835113253, 0.5323159968851628]"
4,COMPLETE,0.5148301150202393,7.386542,4,600,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535,0.26178903927207253,0.08115930545783015,"[0.5446968052225711, 0.6213354378631423, 0.4768048377150646, 0.5505590421868453, 0.3807544521135739]"
5,PRUNED,0.5670924883745424,2.286808,8,300,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745,,,
6,PRUNED,0.5752875535987986,3.197931,6,400,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583,,,
7,COMPLETE,0.5271144418866534,3.381333,4,600,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245,0.2686235363836701,0.07012382504860114,"[0.5832941171112488, 0.6119761463906858, 0.48098288458831595, 0.541291631162725, 0.4180274301802911]"
8,PRUNED,0.5547187452869508,2.020271,3,600,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965,,,
9,COMPLETE,0.5686049116778483,13.771671,6,400,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537,0.2941791163820494,0.05382292888096146,"[0.5804309935490246, 0.6337305968499334, 0.5665029950405467, 0.5915855291784169, 0.47077444377132]"
10,COMPLETE,0.5637581065905011,6.982385,3,500,0.047485900137168094,7,37,0.9630659181130071,0.9856177842864579,3.9951522674461425e-06,0.0014789444031615955,0.2884180494504818,0.0383932511826866,"[0.6017058244953479, 0.5891744338860104, 0.5738706088065957, 0.5622513917699723, 0.4917882739945785]"
11,COMPLETE,0.5730698190263807,38.351221,-1,400,0.02622984807833443,52,17,0.9980728171748331,0.9066933545805345,1.307413288946424e-08,0.012118324237802236,0.2964414117505657,0.059874832329197845,"[0.5787317414511758, 0.6748496681033892, 0.560429227610299, 0.5636189738073893, 0.4877194841596498]"
12,COMPLETE,0.5700574818907796,42.582777,-1,400,0.03149460957943924,63,18,0.9830568459874234,0.932267465370485,1.3764936682901636e-06,0.005860724888707041,0.2930629000042225,0.04910990742573281,"[0.5682121010008085, 0.6517578113558796, 0.5681061522985932, 0.5653275306114819, 0.496883814187135]"
13,COMPLETE,0.5659321097800165,32.312293,10,500,0.04949531124869078,52,16,0.9824778446456214,0.8675516528360194,1.6853924717731589e-07,0.11634973913360995,0.2912382629952538,0.04236700089141216,"[0.5759836547969849, 0.6327704679238103, 0.5587060877729265, 0.5621458660332963, 0.5000544723730642]"
