feature,importance
mean_field_x_r_diff,0.040234543118374134
mean_r_all_pm,0.03956376981102409
b_r_plus_incl_minus_r_minus,0.03931936742874086
a_r_plus_incl_minus_r_minus,0.03872002334063373
a_phi_plus_excl_li,0.028737885199026366
b_r_all_pm,0.028393743656671522
a_r_all_pm,0.02839168546492133
b_phi_plus_excl_li,0.028250275254216514
b_chi_range_x_r_avg,0.02404605223873544
a_chi_range_x_r_avg,0.0237809224489083
b_chi_plus_incl_minus_chi_minus,0.023594744471829635
a_field_x_r_diff,0.02294905425242315
delta_chi_all,0.02235477046193907
composition_L1_distance,0.021244547370884652
a_chi_plus_incl_minus_chi_minus,0.021143901401264383
b_field_x_r_diff,0.020985280339684286
abs_delta_field_x_r_diff,0.020815050513844725
delta_r_plus_incl_li_pm,0.020798803647356555
delta_n_li_x_r_minus_pm,0.020542128630485067
delta_atwt_geometric_mean_all,0.020183928646124446
mean_atwt_geometric_mean_all,0.01917420669987526
a_chi_all,0.018707520746377087
delta_field_x_r_diff,0.018546152998156193
delta_entropy_c_l,0.01833141986212884
b_chi_all,0.0170108069690785
mean_log10_phi_plus_incl_li,0.016919990607855824
a_rho_plus_excl_li_c_m3,0.01645403989337639
a_chi_plus_excl_minus_chi_minus,0.015824572958339733
b_rho_plus_excl_li_c_m3,0.01576053577180871
b_chi_plus_excl_minus_chi_minus,0.015244668957535278
delta_chi_plus_incl_minus_chi_minus,0.015021843722292542
delta_chi_plus_excl_minus_chi_minus,0.014564261876976693
a_n_li_x_r_minus_pm,0.01448502733295544
delta_log_rho_ratio,0.013939108261025377
b_n_li_x_r_minus_pm,0.013685802006984776
delta_r_plus_excl_minus_r_minus,0.013457426775717504
delta_log10_rho_plus_incl_li,0.013311614531986971
delta_n_Li,0.013099242282271599
delta_chi_range_x_r_avg,0.012517834729750276
mean_log10_rho_plus_incl_li,0.0124995524936141
a_r_plus_incl_li_pm,0.012430528751153384
delta_r_plus_incl_minus_r_minus,0.012175701410531719
mean_entropy_c_l,0.012119416405914017
a_r_plus_excl_minus_r_minus,0.012032275205927445
b_r_plus_excl_minus_r_minus,0.011944710647741965
b_r_plus_incl_li_pm,0.011359309885843041
abs_delta_log10_rho_plus_incl_li,0.010396876119697652
mean_n_Li,0.01037813021951559
delta_ir_mean_square_all,0.010004858236742858
delta_r_all_pm,0.009281688936843101
delta_phi_plus_excl_li,0.009018722906153642
abs_delta_log10_phi_plus_incl_li,0.008822113891528833
abs_delta_entropy_c_l,0.008752464837079421
delta_rho_plus_excl_li_c_m3,0.008078302492835327
family_chalcogenidotetrelates,0.0025399278795599062
family_halides,0.001899373135194828
family_thio_lisicon,0.001517715675776418
family_chlorides,0.0011276407246545526
family_perovskites,0.0008350681140185235
family_oxyhalides,0.0007611265647530798
family_thio_phosphate,0.0006902708107196428
family_lgps,0.0006660018606635836
family_argyrodites,0.00039946529294203955
family_sulfides,8.39137560096267e-05
family_antiperovskite,4.4486104753108105e-05
family_lisicon,2.4916608822829086e-05
family_nasicon,7.37757392420114e-06
family_garnet,1.5087755040514925e-06
family_garnet_like,1.6508992305257087e-19
family_phosphates,0.0
