trial,state,value,duration_seconds,param_max_features_kind,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1,param_max_features_float
0,COMPLETE,0.5261036651308272,13.532841,log2,500,10.0,20,9,0.2738325606083979,0.0873319221966376,"[0.5151687246531457, 0.6511789742132313, 0.48235617915525486, 0.5857215049554477, 0.3960929426770563]",
1,COMPLETE,0.5220247965779852,8.252184,sqrt,300,10.0,10,8,0.26532881750819515,0.06350087080268417,"[0.5277911769767464, 0.6101890960173062, 0.4564662189544251, 0.569706317481053, 0.4459711734603953]",
2,COMPLETE,0.5291477459337512,26.81092,float,500,10.0,15,5,0.2713994773344218,0.07353612705199727,"[0.5458772767503023, 0.6379633380598655, 0.4898513342328432, 0.5554981035182518, 0.4165486771074935]",0.3325152889039984
3,COMPLETE,0.5419544889513602,17.569638,log2,700,30.0,16,10,0.27985071267275197,0.07406963205891966,"[0.5409593965184804, 0.6460534436838935, 0.4915353177650689, 0.5951861285261121, 0.43603815826324643]",
4,COMPLETE,0.5478979427180439,23.69165,float,300,15.0,12,2,0.2769287769853303,0.07332592347818886,"[0.5957117435877456, 0.6296381145437091, 0.5477913575736952, 0.5522304419800331, 0.4141180559050362]",0.36194475143634364
5,PRUNED,0.5741530507473875,9.437148,float,300,6.0,4,9,,,,0.8405713385076601
6,PRUNED,0.5586639049106521,4.453828,sqrt,300,10.0,16,6,,,,
7,PRUNED,0.5863242017913151,11.361505,sqrt,400,30.0,6,5,,,,
8,PRUNED,0.5597878095899527,4.423946,sqrt,300,6.0,18,6,,,,
9,PRUNED,0.5641099745635774,3.355377,log2,200,10.0,6,2,,,,
10,COMPLETE,0.5595926258895935,51.449089,float,700,15.0,11,1,0.2843322629708863,0.07818526475750037,"[0.6021909534640563, 0.6369548068412416, 0.5522126074235459, 0.5937830570523931, 0.4128217046667299]",0.3266249092444586
11,COMPLETE,0.5489999528766493,42.13428,float,700,15.0,11,1,0.27848761963943314,0.07148484481010667,"[0.5891306394341402, 0.6372728205983077, 0.5594228441690071, 0.5361677178444799, 0.42300574233731125]",0.3097981653924465
12,COMPLETE,0.5507709047059938,46.55173,float,700,15.0,10,1,0.2809020823959664,0.08814087748425985,"[0.5895034313226991, 0.631408115276809, 0.5617955585859516, 0.5909744005068435, 0.3801730178376655]",0.31992467687406
13,PRUNED,0.597209885828962,15.855797,float,600,8.0,9,3,,,,0.5719310438521931
14,COMPLETE,0.5433943876871055,57.528248,float,600,20.0,13,1,0.27429529730648256,0.08632043458473877,"[0.5833238434593883, 0.6471678678410874, 0.5473736017412305, 0.5531354509115061, 0.3859711744823149]",0.521268962174959
15,PRUNED,0.6004494452060984,32.638282,float,600,15.0,7,3,,,,0.8012637928499462
16,PRUNED,0.6076853455866552,23.626116,float,700,,8,4,,,,0.47662493678709805
17,PRUNED,0.6026479528031644,33.343022,float,600,15.0,3,1,,,,0.698695604282408
18,COMPLETE,0.5544099210363512,54.031606,float,700,15.0,13,3,0.2785717208097578,0.0782727899683083,"[0.6018754643103579, 0.6511261770678322, 0.550271592303854, 0.5522222615462758, 0.41655410995343667]",0.43491223771154097
19,PRUNED,0.5830990752454807,5.617734,log2,500,,14,3,,,,
20,COMPLETE,0.5486538990905855,108.798789,float,700,20.0,18,4,0.2792365719372489,0.07024395332390512,"[0.6073229441450753, 0.6201274526095558, 0.5408257744844475, 0.5529903426677969, 0.42200298154605137]",0.9749771457053122
21,PRUNED,0.6082805347157614,21.655538,float,700,15.0,12,2,,,,0.4309695559291289
22,COMPLETE,0.5421715379846377,46.1064,float,600,15.0,10,1,0.27570790389770194,0.08586699233874068,"[0.5856657370829038, 0.6455945929774761, 0.550731653647267, 0.54227161714706, 0.38659408906848175]",0.41742076220861446
23,PRUNED,0.5940089930003669,16.070267,float,700,15.0,13,2,,,,0.30213090260762376
24,PRUNED,0.5963058424346004,11.57121,float,600,8.0,9,4,,,,0.40792321526675857
25,PRUNED,0.6108277567083307,31.666618,float,700,15.0,11,2,,,,0.6108980135397243
26,PRUNED,0.6109003513450433,17.790622,float,400,15.0,13,3,,,,0.49642645674186214
27,COMPLETE,0.5516970908686154,43.629787,float,600,15.0,8,1,0.276388293741737,0.07539624188734463,"[0.5898361524147888, 0.6440221330409681, 0.5597859695883064, 0.5486798276699156, 0.41616137162909794]",0.38728838235313373
28,PRUNED,0.590485068571164,7.926276,sqrt,600,15.0,5,2,,,,
29,PRUNED,0.5841396172983372,5.88242,log2,500,20.0,2,1,,,,
30,PRUNED,0.5648641645897228,3.911256,log2,500,6.0,20,3,,,,
31,PRUNED,0.6051978233905104,19.437787,float,700,15.0,9,1,,,,0.38229007067779874
