feature,importance
family_argyrodites,0.03874809294939041
mean_r_all_pm,0.038055241107940674
mean_field_x_r_diff,0.031157895922660828
a_r_plus_incl_minus_r_minus,0.02846246026456356
b_r_plus_incl_minus_r_minus,0.02828991413116455
a_phi_plus_excl_li,0.028020424768328667
b_phi_plus_excl_li,0.027970336377620697
delta_n_li_x_r_minus_pm,0.02659730240702629
delta_chi_all,0.02293640561401844
a_chi_range_x_r_avg,0.02192392759025097
b_chi_range_x_r_avg,0.02188936620950699
mean_log10_phi_plus_incl_li,0.021326081827282906
a_rho_plus_excl_li_c_m3,0.021127283573150635
b_rho_plus_excl_li_c_m3,0.02020232006907463
abs_delta_field_x_r_diff,0.02013680711388588
family_halides,0.019571833312511444
b_chi_plus_excl_minus_chi_minus,0.019124027341604233
composition_L1_distance,0.019025016576051712
delta_field_x_r_diff,0.01749347522854805
b_r_all_pm,0.017335567623376846
a_r_all_pm,0.016935281455516815
a_field_x_r_diff,0.01657779887318611
a_chi_plus_incl_minus_chi_minus,0.016125651076436043
b_field_x_r_diff,0.01579887792468071
a_chi_plus_excl_minus_chi_minus,0.015620180405676365
abs_delta_entropy_c_l,0.015506254509091377
mean_log10_rho_plus_incl_li,0.015325753018260002
delta_r_plus_incl_li_pm,0.015158155933022499
a_n_li_x_r_minus_pm,0.015074647963047028
delta_entropy_c_l,0.014901647344231606
a_r_plus_incl_li_pm,0.01471634954214096
b_n_li_x_r_minus_pm,0.014545349404215813
b_chi_plus_incl_minus_chi_minus,0.014487192034721375
a_r_plus_excl_minus_r_minus,0.014081585220992565
delta_r_plus_excl_minus_r_minus,0.013956448994576931
b_r_plus_incl_li_pm,0.013719462789595127
b_chi_all,0.01351337879896164
family_lgps,0.013206287287175655
mean_atwt_geometric_mean_all,0.013155716471374035
a_chi_all,0.013127326965332031
delta_rho_plus_excl_li_c_m3,0.01302295085042715
delta_log10_rho_plus_incl_li,0.012929144315421581
delta_r_plus_incl_minus_r_minus,0.012846150435507298
delta_atwt_geometric_mean_all,0.012819582596421242
abs_delta_log10_rho_plus_incl_li,0.012795967981219292
delta_chi_plus_excl_minus_chi_minus,0.012721247039735317
delta_chi_range_x_r_avg,0.012568148784339428
delta_log_rho_ratio,0.0125034861266613
delta_n_Li,0.01221757847815752
b_r_plus_excl_minus_r_minus,0.01208962220698595
delta_phi_plus_excl_li,0.011983578093349934
delta_chi_plus_incl_minus_chi_minus,0.011725868098437786
mean_entropy_c_l,0.011649904772639275
mean_n_Li,0.011509815230965614
abs_delta_log10_phi_plus_incl_li,0.010681657120585442
family_oxyhalides,0.009725093841552734
delta_ir_mean_square_all,0.00827409140765667
delta_r_all_pm,0.007324622478336096
family_perovskites,0.0056843082420527935
family_chalcogenidotetrelates,0.0
family_chlorides,0.0
family_antiperovskite,0.0
family_garnet,0.0
family_garnet_like,0.0
family_nasicon,0.0
family_lisicon,0.0
family_phosphates,0.0
family_sulfides,0.0
family_thio_lisicon,0.0
family_thio_phosphate,0.0
