feature,importance
family,7.585096094997952
composition_L1_distance,5.911784841098906
mean_atwt_geometric_mean_all,4.132750910777085
mean_r_all_pm,3.9942642531179935
b_r_plus_incl_minus_r_minus,3.7461101140999093
a_r_plus_incl_minus_r_minus,3.5644854332509803
mean_entropy_c_l,3.2360588655767244
b_chi_range_x_r_avg,3.0616109294745413
delta_chi_all,2.814759825213486
abs_delta_field_x_r_diff,2.654813781847967
delta_entropy_c_l,2.4440780527986194
delta_n_li_x_r_minus_pm,2.4408612847397415
delta_atwt_geometric_mean_all,2.404985808913368
mean_field_x_r_diff,2.3462826415374014
a_chi_range_x_r_avg,2.3018278678376958
a_r_plus_excl_minus_r_minus,2.1038856434722266
abs_delta_entropy_c_l,2.0616796425110686
delta_r_plus_incl_li_pm,1.957631956546559
b_r_plus_excl_minus_r_minus,1.8996921504163222
a_rho_plus_excl_li_c_m3,1.6991587083628052
mean_log10_phi_plus_incl_li,1.6092184371279017
b_r_all_pm,1.5837142480919533
b_rho_plus_excl_li_c_m3,1.5429761418198307
a_r_all_pm,1.4937848979830468
delta_chi_range_x_r_avg,1.4567511453511148
a_phi_plus_excl_li,1.4331365126380091
mean_n_Li,1.39639347886369
delta_chi_plus_incl_minus_chi_minus,1.3798140025117978
delta_r_plus_incl_minus_r_minus,1.3402672991464097
b_chi_plus_excl_minus_chi_minus,1.3302267033000572
delta_log_rho_ratio,1.325200230187799
delta_chi_plus_excl_minus_chi_minus,1.2715171619302204
b_chi_plus_incl_minus_chi_minus,1.2572797886163236
a_n_li_x_r_minus_pm,1.195126169900157
a_chi_plus_incl_minus_chi_minus,1.1189315106783135
b_n_li_x_r_minus_pm,1.1183607231155104
delta_r_plus_excl_minus_r_minus,1.1155796075263957
delta_field_x_r_diff,1.0897967772299528
b_phi_plus_excl_li,1.0846799255168458
abs_delta_log10_rho_plus_incl_li,1.0603540219166412
b_r_plus_incl_li_pm,0.9753223919716711
a_r_plus_incl_li_pm,0.9430212187464114
mean_log10_rho_plus_incl_li,0.9244524921419881
a_chi_all,0.8953000408484268
b_chi_all,0.8652597647523915
delta_n_Li,0.8542526797019121
a_field_x_r_diff,0.8402227584300349
delta_log10_rho_plus_incl_li,0.8278050219172595
a_chi_plus_excl_minus_chi_minus,0.8200204093454627
abs_delta_log10_phi_plus_incl_li,0.6532752720306819
b_field_x_r_diff,0.6339596512554132
delta_rho_plus_excl_li_c_m3,0.6033731397430895
delta_ir_mean_square_all,0.597674806150336
delta_phi_plus_excl_li,0.5711905279869232
delta_r_all_pm,0.4299422349346926
