feature,importance
mean_entropy_c_l,220.0
mean_r_all_pm,215.0
b_r_all_pm,212.0
a_r_all_pm,191.0
delta_chi_plus_excl_minus_chi_minus,188.0
composition_L1_distance,184.0
mean_atwt_geometric_mean_all,183.0
b_chi_range_x_r_avg,179.0
a_chi_range_x_r_avg,178.0
mean_field_x_r_diff,175.0
b_chi_plus_incl_minus_chi_minus,167.0
a_chi_plus_incl_minus_chi_minus,162.0
delta_chi_plus_incl_minus_chi_minus,160.0
a_r_plus_incl_minus_r_minus,146.0
a_chi_plus_excl_minus_chi_minus,146.0
b_r_plus_incl_minus_r_minus,145.0
delta_atwt_geometric_mean_all,131.0
b_chi_plus_excl_minus_chi_minus,128.0
abs_delta_field_x_r_diff,128.0
b_field_x_r_diff,126.0
a_field_x_r_diff,125.0
delta_entropy_c_l,121.0
delta_n_Li,117.0
a_n_li_x_r_minus_pm,111.0
b_n_li_x_r_minus_pm,108.0
mean_n_Li,108.0
a_chi_all,105.0
b_chi_all,104.0
a_phi_plus_excl_li,100.0
delta_r_plus_incl_minus_r_minus,100.0
a_r_plus_incl_li_pm,100.0
abs_delta_log10_phi_plus_incl_li,97.0
b_r_plus_excl_minus_r_minus,97.0
a_r_plus_excl_minus_r_minus,94.0
b_r_plus_incl_li_pm,94.0
mean_log10_rho_plus_incl_li,93.0
delta_phi_plus_excl_li,92.0
b_phi_plus_excl_li,92.0
delta_chi_all,87.0
abs_delta_entropy_c_l,86.0
delta_chi_range_x_r_avg,82.0
delta_log_rho_ratio,76.0
mean_log10_phi_plus_incl_li,73.0
delta_r_plus_excl_minus_r_minus,71.0
delta_r_plus_incl_li_pm,70.0
delta_field_x_r_diff,65.0
delta_log10_rho_plus_incl_li,65.0
delta_n_li_x_r_minus_pm,63.0
abs_delta_log10_rho_plus_incl_li,62.0
delta_r_all_pm,62.0
delta_ir_mean_square_all,60.0
delta_rho_plus_excl_li_c_m3,59.0
b_rho_plus_excl_li_c_m3,47.0
a_rho_plus_excl_li_c_m3,42.0
family,27.0
