trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
0,COMPLETE,0.5612203225194594,4.166078,3,600,0.05092911283433821,8,6,0.9879639408647978,0.9162213204002109,8.148018307012941e-07,0.006517070593249451,0.29128382491912946,0.07048205020978004,"[0.4398011264033627, 0.6113332849340303, 0.5239130126321602, 0.627659293721619, 0.6033948949061246]"
1,COMPLETE,0.5230443004412823,4.904021,8,300,0.026969628335735185,32,48,0.6798695128633439,0.7571172192068059,0.0021465011216654484,0.0016142252267366923,0.2709135751812366,0.09521887144624608,"[0.3412191274642951, 0.596727385917695, 0.6033801157781062, 0.5382002677954114, 0.5356946052509036]"
2,COMPLETE,0.510119990289867,1.098776,6,200,0.06378528225249058,32,11,0.798070764044508,0.5171942605576092,1.527156759251193,0.014407524139905934,0.26199442933847394,0.08261496822189376,"[0.40463764417354603, 0.5323775810478228, 0.6495168157936859, 0.5093754391766434, 0.45469247125763657]"
3,COMPLETE,0.5111911250558865,8.146992,8,600,0.11282325501221332,41,56,0.6353970008207678,0.5979914312095727,2.5529693461039728e-08,0.02861167865082195,0.2669807656328501,0.07899159794877011,"[0.3574383348676175, 0.5634456841350932, 0.5369408575691096, 0.5236101484365602, 0.5745206002710522]"
4,COMPLETE,0.5321641039848881,4.769456,4,600,0.012237095811188047,16,48,0.679486272613669,0.5027610585618012,0.2183498289760726,1.4611205138065535,0.26815889062348025,0.08339761443709859,"[0.3794287649035466, 0.5830539100346145, 0.6131665557002415, 0.5103417297004493, 0.5748295595855887]"
5,COMPLETE,0.5253432523610982,4.513491,8,300,0.011878194167382767,24,23,0.8918424713352255,0.8187787356776066,0.9658611176861268,0.13006590833121745,0.2697064550613269,0.08267718123370786,"[0.42076251996549446, 0.5636296577879426, 0.6632138453685279, 0.49967247345753113, 0.47943776522599474]"
6,PRUNED,0.43976225242769473,2.368563,6,400,0.0107126079864151,13,6,0.8545641645055122,0.6571779905381634,0.0003776906385115029,11.568715753891583,,,
7,PRUNED,0.4712960676514858,0.978263,4,600,0.08921200800254407,13,53,0.9214688307596458,0.5932850294430179,1.0790237065789294,0.25983677354021245,,,
8,PRUNED,0.45619403597572195,1.884242,3,600,0.01019005058575656,8,28,0.6888431241882921,0.5599326836668415,1.0927895733904103e-05,16.65409649522965,,,
9,PRUNED,0.4749319399661429,3.269075,6,400,0.02258709352990118,23,7,0.8438257335919588,0.7513395116144308,2.906088000706637e-08,0.01768210672688537,,,
10,COMPLETE,0.5659788659746801,4.272253,3,500,0.047485900137168094,7,37,0.9630659181130071,0.9856177842864579,3.9951522674461425e-06,0.0014789444031615955,0.2908312452848235,0.06571114185172894,"[0.45288673491616777, 0.6246832187887811, 0.5479955156025675, 0.6368886916241941, 0.56744016894169]"
11,COMPLETE,0.5575911413528156,4.169655,3,500,0.05002988362391992,7,39,0.9986123773344664,0.9839751282764463,1.7607887936376668e-06,0.0010490453191542403,0.2901740928239348,0.07093165888011717,"[0.4335436220629592, 0.5982943482273451, 0.5518637907553283, 0.6474716525073787, 0.5567822932110666]"
12,PRUNED,0.4747236492681993,13.061845,-1,500,0.03669507380849082,63,19,0.9795279426095465,0.9954450905644118,1.973957138371604e-06,0.004343817871720166,,,
13,PRUNED,0.48429425937458465,5.949753,10,500,0.06835574656464205,48,36,0.9447026844362558,0.8996631699506739,1.648656857002823e-05,0.005152303103816134,,,
14,PRUNED,0.5026264775800914,3.778278,5,500,0.03495337593931401,10,41,0.7977906253843277,0.9022281125265504,3.0903419157408205e-07,0.09064387940297619,,,
15,PRUNED,0.5213139560965585,2.697198,3,400,0.1380224717621954,7,17,0.9604805130376306,0.9066854646023761,0.010836930382935919,0.0032451859142959764,,,
16,PRUNED,0.48641582593046695,1.8447,3,500,0.019911930587846922,7,29,0.8995085787618868,0.8423093398354504,4.610741600292928e-05,0.5976980736584748,,,
17,COMPLETE,0.5561173726868545,4.93588,3,600,0.0491340625842868,7,33,0.7509376605388809,0.951221333098946,4.6381853540146774e-07,0.01027969797799985,0.28833968050127984,0.06909749852938558,"[0.42749131481556163, 0.6013870961544515, 0.5644400975271283, 0.6282320231957592, 0.5590363317413715]"
18,PRUNED,0.4829806707403864,4.560856,10,500,0.07302308254305051,23,44,0.8608311295074931,0.8264423346529435,0.00015175570761518284,0.05147787121950577,,,
19,PRUNED,0.49164872839727575,2.345179,-1,300,0.029303137342200435,18,14,0.9993872961970738,0.6810687466455014,3.359183778987816e-07,0.002413571195564605,,,
20,COMPLETE,0.5426529727012355,5.574657,5,400,0.05285932365854232,11,60,0.9354348266823663,0.942889792593914,1.2722974438529015e-08,1.617477360371179,0.2829490010415646,0.08143558652010732,"[0.38961641864040125, 0.6042293943946443, 0.6175646186381735, 0.5409710551745284, 0.5608833766584296]"
21,COMPLETE,0.5617995925523582,4.162747,3,500,0.05037082030953316,7,38,0.9969318153071244,0.9911681998944329,1.977327705571141e-06,0.0010568568649032487,0.29312014264283925,0.06846898780947332,"[0.4373340910151114, 0.5923684461821633, 0.5571908413982619, 0.6437707743505962, 0.5783338098156589]"
22,COMPLETE,0.5617038541716732,4.197249,3,500,0.04135921991551681,7,25,0.9688498848250248,0.9494436211897809,6.445982018802956e-06,0.001259871110942672,0.29219124602941976,0.08006029795655976,"[0.41803395719799047, 0.6180834384731598, 0.5867205621931486, 0.6460558945576667, 0.5396254184364007]"
23,COMPLETE,0.5548805232852445,4.346394,3,500,0.042404782922350476,7,27,0.9108513527255745,0.9983105518326221,6.331894397258689e-06,0.001291527494364246,0.29059041759920795,0.07757472444936479,"[0.41390981612191746, 0.6480476875524047, 0.5591794459352606, 0.5935372982612832, 0.5597283685553561]"
24,PRUNED,0.4748294767321019,1.620461,3,500,0.017531486471750995,7,33,0.9591814763814972,0.8664251782936299,0.0002147606231447947,0.0027049794878258116,,,
25,COMPLETE,0.5682559294051279,3.448406,3,400,0.0884302560371828,7,23,0.953804579442357,0.9393639595427458,7.271009603492964e-08,0.0010096999733961774,0.29336835327660926,0.0522711590414484,"[0.49639030849449944, 0.5890597275171944, 0.576638446127231, 0.6491055676674515, 0.5300855972192632]"
26,COMPLETE,0.5571768863005151,3.250365,3,400,0.09425705694290694,7,36,0.8799531333011068,0.7916708501803247,8.018391532539752e-08,0.00847296053555482,0.28865473142863335,0.06351787648790631,"[0.45224498535396224, 0.5861134685270734, 0.5553276055438621, 0.6475348879748303, 0.5446634841028476]"
27,PRUNED,0.5120452726791237,1.414515,3,400,0.07842336064531219,7,21,0.8272946922853733,0.961503727304276,2.103290673514129e-07,0.02597387684988598,,,
28,PRUNED,0.5027415691716438,2.731158,-1,300,0.14074873104889082,19,44,0.9373752369358296,0.8632964161556949,9.645416888584492e-08,0.002503480503409556,,,
29,PRUNED,0.4851023567737276,0.839796,3,200,0.05842625198606096,7,32,0.7501446413828543,0.9243305473989472,1.6605483898357974e-06,0.005789309077513013,,,
30,COMPLETE,0.5623634911340638,5.313498,5,400,0.08728065372724104,11,40,0.982266449122032,0.8808651909871612,0.0042291816323132905,6.085011942895192,0.2865299221770505,0.06844670845090631,"[0.4493716602528457, 0.604925785332363, 0.6540813589011293, 0.5415386338769484, 0.5619000173070323]"
31,PRUNED,0.4976376081222895,2.178671,5,400,0.10596692707142143,10,39,0.975699203449031,0.8765175138610373,0.03061051068245411,2.9727115404444815,,,
32,PRUNED,0.49837849287085545,2.266288,5,400,0.08084930996370662,10,47,0.9994935955039268,0.9763066332644152,0.0017559701922466335,5.069511418074818,,,
33,PRUNED,0.500980213619153,1.8301,5,300,0.10686281049166767,12,36,0.9502086094391481,0.9263808931286369,0.0016432486731649614,0.326535808312156,,,
34,PRUNED,0.5014214939548387,1.597282,4,300,0.06089886438642285,9,43,0.9155748529595362,0.9671709650014908,0.042199598519599035,0.0010196670147005942,,,
35,PRUNED,0.479323822289928,2.606397,8,400,0.1229675043762191,16,50,0.971283401611718,0.7833852895309387,3.6979442734248005e-05,0.002061882770237821,,,
36,PRUNED,0.4545140293687432,2.705454,10,500,0.028737511453996632,28,39,0.9311729787234834,0.7087124905867132,0.0006303577767968985,29.72779724186021,,,
37,PRUNED,0.39535816069150453,0.491961,6,200,0.09191120422154478,39,31,0.8832137965487561,0.9305674231739262,6.8657275946606875,0.5265554790879424,,,
38,PRUNED,0.48994883816765145,4.880548,8,600,0.06331022922045436,15,22,0.9852645259556202,0.8865243379334843,0.01160504728721061,0.05105614851427965,,,
39,PRUNED,0.502884869063861,2.351613,5,400,0.04297201437705203,9,51,0.6248792191099846,0.9773049797270068,7.923271740898415e-05,0.011886677779961044,,,
