feature,importance
b_r_plus_incl_minus_r_minus,0.03585551025027858
b_r_all_pm,0.03547446790913887
a_r_plus_incl_minus_r_minus,0.03210854917052181
b_chi_range_x_r_avg,0.030429296475584074
mean_r_all_pm,0.030357016132953937
a_r_all_pm,0.030193958040994257
a_chi_range_x_r_avg,0.02824436399910034
mean_field_x_r_diff,0.025478590342278465
mean_atwt_geometric_mean_all,0.023761591569622865
a_phi_plus_excl_li,0.023701876284667512
b_phi_plus_excl_li,0.02324588259645211
b_chi_plus_incl_minus_chi_minus,0.022759313744959098
b_field_x_r_diff,0.02099256483208449
a_chi_plus_incl_minus_chi_minus,0.02043537328075072
mean_log10_phi_plus_incl_li,0.02042853164408725
a_field_x_r_diff,0.02039691893841944
b_n_li_x_r_minus_pm,0.018808650507961985
b_chi_all,0.01848320736368146
b_chi_plus_excl_minus_chi_minus,0.018354996425247027
b_r_plus_excl_minus_r_minus,0.017870628920842468
mean_log10_rho_plus_incl_li,0.01713937173255231
delta_atwt_geometric_mean_all,0.016867563842042587
composition_L1_distance,0.01677729686434716
a_rho_plus_excl_li_c_m3,0.01672574119150855
a_n_li_x_r_minus_pm,0.016667636487797934
a_chi_plus_excl_minus_chi_minus,0.016556234572253813
delta_chi_all,0.015995632358773392
mean_n_Li,0.015874427879541186
b_rho_plus_excl_li_c_m3,0.015762441275016817
delta_log_rho_ratio,0.015707416385513564
delta_chi_range_x_r_avg,0.015656804979772187
a_chi_all,0.01560195848234064
delta_field_x_r_diff,0.015574759133276337
delta_n_li_x_r_minus_pm,0.015286882610993811
abs_delta_field_x_r_diff,0.015273344418366426
a_r_plus_excl_minus_r_minus,0.015245237042855025
b_r_plus_incl_li_pm,0.015108946834474706
a_r_plus_incl_li_pm,0.014524183595822535
delta_r_plus_incl_minus_r_minus,0.014293687607883035
delta_chi_plus_incl_minus_chi_minus,0.014099469280419061
delta_r_plus_incl_li_pm,0.01379069028738389
delta_ir_mean_square_all,0.013664822855639792
delta_log10_rho_plus_incl_li,0.013150431358801179
delta_r_all_pm,0.012909999294031426
delta_r_plus_excl_minus_r_minus,0.012646729986536997
delta_n_Li,0.012439341682023769
delta_entropy_c_l,0.012341149357512222
mean_entropy_c_l,0.012103291310206927
delta_chi_plus_excl_minus_chi_minus,0.011949726195937826
family_halides,0.010903685039353456
abs_delta_log10_rho_plus_incl_li,0.01067947507937072
delta_phi_plus_excl_li,0.01049218132560664
delta_rho_plus_excl_li_c_m3,0.009936963504605777
abs_delta_entropy_c_l,0.009367411640810695
abs_delta_log10_phi_plus_incl_li,0.008402594757842273
family_lgps,0.0026283776197394255
family_chlorides,0.0019221222590908213
family_oxyhalides,0.0014813295341852993
family_chalcogenidotetrelates,0.0014391148002584864
family_Thiophosphate mixture,0.0013456308669606426
family_lisicon,0.0008853151283268324
family_perovskites,0.0007191896886893135
family_argyrodites,0.0006557546332346845
family_thio_lisicon,0.0006187645828207018
family_antiperovskite,0.0003385434101403849
family_garnet,0.000313250228615879
family_oxides,0.0002179174683429779
family_thio_phosphate,0.00020234389403770315
family_lanthanumlithiumoxide,0.00010926279720814234
family_sulfides,0.0001070433602914957
family_phosphates,6.780985121374657e-05
family_nasicon,4.9411196001944104e-05
family_molybdates,3.2199065230137785e-18
family_hexaoxometalates,0.0
family_hydrides,0.0
family_garnet_like,0.0
